##name	9300+ Computer Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/11/13, 23:35
##author	Carlos Guerrera
##email	mlenha@yahoo.com
##description	This is a very extensive glossary of computer acronyms. With a list of over 9300 computer acronyms, you're sure to find what you're looking for.
##browsingEnabled	
##bgl_creationTime	2002/11/13, 23:13
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
(ISC)2	International Information System Security Certification Consortium
1GL	First Generation Language
24/7	24 hours a day/7 days a week
2D	Double Density
2G	Second Generation
2GL	Second Generation Language
2HD	2 sides, High Density
2PC	2-Phase Commit
2S	2 Sides
2S2D	2 Sides, Double Density
2SHD	2 Sides, High Density
3D	3Dimensional
3DES	Triple Data Encryption Standard
3G	Third Generation
3GIO	Third Generation Input Output
3GL	3rd Generation Language
4G	Fourth Generation
4GL	4th Generation Language
4GT	4 Gigabyte memory Tuning
5GL	Fifth Generation Language
6DOF	Six Degrees Of Freedom
a	atto
A/P	Accounts Payable
A/PC	Auto Personal Computer
A/R	Accounts Receivable
A/UX	Apple UniX
AA	Advertising Agent<HR>Anti-Aliasing<HR>Auto Answer<BR><BR> <BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR><BR>
AAA	Asp Application Aggregator
AAB	All-to-All Broadcast
AAC	Advanced Audio Coding
AAF	Advanced Authoring Format
AAL	Atm Adaption Layer
AAP	Applications Access Point
AARP	Appletalk Address Resolution Protocol
AAS	All-to-All Scatter
AASP	Ascii Asynchronous Support Package
AAT	Average Access Time
AATP	Authorized Academic Training Program
ABA	Address Book Archive
ABC	Atanasoff-Berry Computer
ABEL	Advanced Boolean Expression Language
ABEND	ABnormal END
ABI	Application Binary Interface
ABIOS	Advanced Basic Input Output System
ABIST	Automatic Built-In Self-Test
ABLE	Adaptive Battery Life Extender
ABM	Asynchronous Balanced Mode
ABNF	Augmented Backus Naur Form
ABR	Available Bit Rate
ABRS	Automated Book Request System
ABS	ABSolute
ABT	ABorT
ABTS	Ascii Block Terminal Services
AC	Authentication Center
ACAP	Application Configuration Access Protocol
ACC	ACCumulator
ACD	Automatic Call Distribution
ACDI	Asynchronous Communications Device Interface
ACE	Automatic Computing Engine
ACF	Access Control Field
ACH	Automated Clearing House
ACIA	Asynchronous Communication Interface Adapter
ACIAS	Automated Calibration Interval Analysis System
ACID	Atomicity, Consistency, Isolation and Durability
ACIS	American Committee for Interoperable Systems
ACK	ACKnowledge
ACL	Access Control List
ACM	Afp Conversion Module
ACMS	Application Control Management System
ACNM	Application Centric Network Management
ACO	Alternate Checksum Option
ACP	Active Code Page
ACPI	Advanced Configuration and Power Interface
ACR	Allowed Cell Rate
ACROSS	Automated Cargo Release and Operations Service System
ACS	Asynchronous Communication Server
ACSE	Association Control Service Element
ACSI	American Customer Satisfaction Index
ACSM	Application Centric Storage Management
ACSS	Aural Cascading Style Sheets
ACT	Application Compatibility Toolkit
ACTS	Advanced Communication Technology Satellite
ACTT	Advanced Communication and Timekeeping Technology
ACU	Automatic Calling Unit
ACVC	Ada Compiler Validation Capacity
AD	Active Directory
ADA	Adobe Developers Association
ADAPT	Architecture, Design, Analysis and Planning Tool
ADB	Apple Desktop Bus
ADBS	Advanced Data Broadcast System
ADC	Active Directory Connector
ADCCP	Advanced Data Communication Control Procedures
ADD	Adapter Device Driver
ADE	Application Data Export
ADF	Automatic Document Feeder
ADI	AutoCad Device Interface
ADK	Appliance Development Kit
ADL	Address Data Latch
ADLAT	ADaptive LATtice filter
ADLC	Asynchronous Data Link Control
ADM	Application Distribution and Management
ADMACS	Apple Document Management And Control System
ADMD	ADministrative Management Domain
ADML	Application Description Markup Language
ADMS	Adstar Distributed Management System
ADO	Activex Data Object
ADODB	Activex Data Object DataBase
ADP	Access Database Project
ADPCM	Adaptive Differential Pulse Code Modulation
ADR	ADdRess
ADR2	Advanced Digital Recording 2nd generation
ADS	Application Development Solutions
ADS/O	Application Development System / Online
ADSC	Adobe Document Structuring Conventions
ADSI	Active Directory Service Interface
ADSL	Asymmetric Digital Subscriber Line
ADSM	Advanced Data Storage Management
