##name	Alternative Medicine Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Jos-hua Medicine man
##email	info@hps-online.com
##description	Comprehensive review of alternative medicine and alternative health issues. FREE glossary, and expert advise for healthy active living.
##browsingEnabled	
##bgl_creationTime	2000/08/09, 13:41
##bgl_middleUpdated	2000/08/09, 14:03
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Acupressure	Acupressure is a type of body work based on the same concept as ACUPUNCTURE. Rather than inserting needles into the body for treatment, Acupressure uses pressure applied from the finger tip or knuckle, or from a blunt tip instrument to stimulate specific points on the acupuncture meridians (Energy Channels) on the patients body.
Acupuncture	Acupuncture is an ancient oriental medical system based on the energy meridians that run the length of the body. These meridians correspond to the major organs of the body and contain hundreds of acupuncture points. These points are stimulated with special needles that regulate the flow of energy. The points can also be stimulated with low power laser and RED L.E.D. devices. Acupuncture is commonly used to treat pain, but also can be used to treat many conditions including drug or alcohol addiction, sinus problems, tendentious and many other symptoms resulting from improper function of the various organs. Acupuncture was fist discovered on the battlefields of ancient China, when soldiers wounded by arrows reported that other long-standing chronic ailments had suddenly disappeared. Before long, Chinese physicians found that the body has a complex network of invisible energy channels which Ki, the vital energy of life travels. They found 12 major and dozens of minor channels and discovered that each one was functionally related to specific organs and glands. These channels, though invisible to the eye, have been 'mapped' by Kirlian photography in Russia.
Applied Kinesiology	Applied Kinesiology or A.K. is used as a diagnostic tool to evaluate healing systems and treat an individual’s structural, chemical and mental aspects. Through muscle testing to diagnose, a patients condition including nutrition, muscle manipulation and diet and evaluated, strengthened and balanced. Acupressure, exercise and education are used to help restore balance and harmony in the body and maintain well being throughout life.
Aromatherapy	Aromatherapy is the therapeutic use of ESSENTIAL OILS extracted from the flowers, stems, leaves, roots, or fruits of a plant or tree. These oils are the most potent form of herbal use and are known for their beneficial healing properties. The physiological and psychological benefits of the Essential Oils are achieved by absorption through the skin and <a href="http://www.hps-online.com/haroma.htm">inhalation</A>. The latter can be accomplished through either natural evaporation or some type of diffusing device.
Ayurveda	Ayurveda is the ancient Indian art & science of healing & rejuvenation. It is a preventive and holistic system of medicine that aims at a balanced state of inner harmony, health, & natural well-being. It provides the individual with a complete life - regimen and deals with the body and mind through an integrated science of lifestyle counseling combined with the use of natural herbs, roots and minerals. Ayurveda is the medicine of nature and of life.
Bach Flower Remedies	Bach Flower Remedies are a set of 38 different herbal remedies (plus one combination remedy) made from the specially prepared, "potentized" essence of the petals and heads of flowers. Each essence is made from a particular type of flower and preserved in unflavored brandy to prevent spoilage. Bach Flower Remedies are non-toxic, non-addictive, and utilize the mood-altering properties of the plants to harmonize and balance emotional sensitivities. The remedies act as catalysts to alleviate the underlying causes of stress.
Bioenergetics	Bioenergetics is a method of studying and understanding the human personality in terms of the body and its energetic processes. In Bioenergetic theory, it is believed that the body and the mind are functionally identical. What happens in the mind reflects what is happening in the body and vice versa. It is a therapeutic technique that utilizes many bodywork methods and exercises to help an individual become aware of tensions in the body and release them through appropriate movement. Bioenergetics also involves verbal exploration of emotional conflicts and their relationship to an individual's personal history.
Bowen Therapy	Bowen therapy is a gentle, yet powerful healing technique that utilizes a specific series of muscle and connective tissue movements to treat a wide range of chronic musculo-skeletal problems and sports related injuries. This unique physical/vibrational approach to healing sends a gentle signal to the body that allows the neuromuscular system to reset all tension levels thus promoting natural healing. The relaxation and relief one feels is profound and lasting, affecting the muscular, skeletal, digestive, respiratory and energetic systems. Bowen Therapy is a way of giving the body the gentle hint that it needs to find its own way back to health and balance.
Breathing Therapy	Breathing therapy is the art and science of cultivating Ki through correct breathing and circulating it through body & mind with soft rhythmic exercises. In Taoist therapy, Ki is literally referred to as 'medicine'. Patients under breathing therapy are advised to spend an hour or two each day 'sitting still doing nothing' as they practice breath control to balance their energies. If the patient is too weak to do the related calisthenics, or even sit up straight, the breathing is performed in reclining position, in which case the mind rather than the body 'moves energy' (yun-chee) to distribute it to the diseased areas. People often turn to Taoist healing arts as a last resort- out of sheer desperation to live. Prior to falling ill they never give Tao a thought. Owing to the life-and-death nature of their struggle, such patients usually manage to master the methods taught very quickly, and they have no trouble mustering sufficient discipline to sit still and breath deeply for up to eight hours per day. It is amazing what the body and mind are capable of when life is at stake. Such examples should, however, serve as lessons to ordinary healthy people who still claim they 'don't have time' to practice for Tao. Practicing a little deep breathing every day in one of the best preventatives against disease and premature death. Learning how to breath correctly on your deathbed is a bit late in the game for health and longevity.
