##name	Architecture and interior design
##sourceLang	Hebrew
##targetLang	Russian
##bgl_defaultCharset	cp1255
##bgl_sourceCharset	cp1255
##bgl_targetCharset	cp1251
##bgl_defaultEncoding	cp1255
##bgl_sourceEncoding	cp1255
##bgl_targetEncoding	cp1251
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 21:44
##author	Amir Bishevski
##description	Professional Hebrew-Russian Glossary.\nThe glossary consist a lot of definitions that could be helpful not only for professional architects and interior designers.\nThe glossary based on actual expirience of work in Israel.\nIt's expected to be extended and updated.
##browsingEnabled	
##bgl_creationTime	2003/06/23, 21:30
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
U פרופיל	швелер
אבן	камень
אגף	крыло; неф
אדום	красный
אדם-דם	красноватый
אדריכל	архитектор
אדריכלות	архитектура
אודם	румянец
אום	гайка; шайба
אומנות	мастерство; искусство; ремесло
אופ וויט	светло-бежевый; кремовый; почти белый цвет
אופנה	мода
אזור	район; область
אחוזי בנייה	разрешенная площадь застройки
איור	книжная иллюстрация
אלומיניום	алюминий
אלטרנטיבה	вариант
אליפסה	элипс
אמבטיה	ванная
אסלה	унитаз
אפור	серый
ארגמן	багровый
ארון חשמל	шкаф для размещения приборов управления электросистемой
ארון כבוי אש	шкаф пожаротушения
ארון תקשורת	шкаф для размещения приборов управления компьютерной и/или связевой сетью/системой
ארונית	шкафчик
אריח	плита; пластина; плитка
אתר	участок; строительная площадка
בהיר	светлый
בוידם	антресоль
בוער	пылающий
בורג	шуруп
בטון	бетон
בטיחות אש	пожарная безопасность
ביוב	канализация
ביסוס	устройство фундамента
בית-שימוש	уборная
בליטה	выступ
בסיס	база колонны; основание
בקשה להיתר בנייה	комплект проекций, описывающий проект, представляемый на рассмотрение в мэрию для получения разрешения на строительство,<BR> "гармошка"<BR>
ברזל	железо
גבול	граница
גבס	гипс
גג	крыша
גג משופע	наклонная кровля
גג רעפים	черепичная крыша
