##name	Chaucer's Middle English Glossary
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2004/02/12, 19:22
##author	Eran Tzelgov
##email	tzel@bgumail.bgu.ac.il
##description	Based on Chaucer's "Canterbury Tales"
##bgl_creationTime	2004/02/12, 11:39
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Alkaron	<I>noun</I> the Koran
Amor vincit omnia	<I>(Latin)</I> Love conquers all
Ave Marie	<I>(Latin)</I> Hail Mary (first words of a Latin prayer)
Bacus	<I>noun</I> Bacchus, god of wine
Barbre nacioun	<I>noun</I> pagan world
Britouns	<I>noun</I> Bretons
Cantebrigge	Cambridge
Depardieux	by God
Deus hic	God is here
Fairye, Fayerye	<I>noun</I> fairyland
Femenye	<I>noun</I> Amazons
Flaundryssh	<I>adj.</I> Flemish
Goost	<I>noun</I> Holy Spirit
Grete See	<I>noun</I> Mediterranean
I nam but	I am as good as ...
Inde	India
Jewerye, Juerie	<I>noun</I> Jewish quarter, ghetto
Lameth	<I>noun</I> Lamech, the first bigamist according to the Bible
Lettow	Lithuania
Luna	<I>noun</I> the moon
Mahoun	Mohammed
Makomete	Mohammed
Moyses	Moses
Noe	Noah
Olifaunt	<I>noun</I> Elephant
Oxenford	Oxford
Parvys	<I>noun</I> the porch of St. Paul's Cathedral
Phebus	<I>noun</I> Phoebus Apollo, the sun
Poo	the river Po
Poules	<I>noun</I> St. Paul's Cathedral
Questio quid iuris	<I>(Latin)</I> The question is, what law applies
Radix malorum est Cupiditas	<I>(Latin)</I> Greed is the root of all evil
Ruce	Russia
See of Grece	the eastern Mediterranean
Seint Julian	patron saint of hospitality
Seinte Loy	St. Eligius
Seinte Poules	St. Paul's Cathedral (in London)
Significavit	<I>noun</I> order for imprisonment (the first word of a writ in which the imprisonment of an excommunicated person is ordered)
Sol	<I>noun</I> the sun
Soler Halle	<I>noun</I> the King's Hall, a college at Cambridge
Sowdan	<I>noun</I> sultan
Sowdanesse	<I>noun</I> sultaness
Te Deum	<I>(Latin)</I> To you O God
Woodnesse	<I>noun</I> Madness
Zephirus	<I>noun</I> the west wind that blows in Spring
a-rewe	<I>adv.</I> in succession
abidyng	<I>verb</I> awaiting
able	suitable
abluciouns	<I>noun</I> cleansings
abood	delay or remained
above	<I>adj.</I> superior
abregge	<I>verb</I> abridge, shorten
abyd|abyde	remain, wait<BR>
abyd, abyde	<I>verb, prsnt.</I> remain, wait;
accidie	sloth, laziness
accord|acord	agreement
accord, acord	<I>noun</I> agreement
achatours	<I>noun</I> buyers
acorded	agreed
adoun	below
adrad	<I>adj.</I> afraid
afered|aferd	afraid
afered, aferd	<I>adj.</I> afraid
affraye	<I>verb, prsnt</I> frighten
affrayed	<I>verb, pst.</I> frightened, afraid
after-mete	<I>prep.</I> the time after diner
agast	<I>verb, pst. prtcpl.</I> frightened
agaste	<I>verb, pst. sg.</I> frightened
agu	<I>noun</I> acute fever
aiel	<I>noun</I> grandfather
aketoun	<I>noun</I> wadded jacket worn under the chain-mail coat
al	<I>conj.</I> although
al bifore	<I>adv.</I> first, before everyone else, heading the procession
al speke he	although he may speak
alauntz	<I>noun</I> wolfhounds
alday	<I>adv.</I> daily
alderbest	best of all
alderfirst	first of all, to begin with
alderlevest	most beloved
aldermost	most of all
aleyes	<I>noun</I> garden paths
algate, algates	<I>adv.</I> always, all the same
alkamystre	<I>noun</I> alchemist
alle and some	one and all, everyone
allegge	<I>verb</I> adduce, cite
allye	<I>noun</I> kinsman
allyen	<I>verb</I> ally oneself, marry
almesdede	<I>noun</I> almsgiving
almesse	<I>noun</I> charity
als cleere	<I>adv.</I> as clearly
alyght	<I>verb</I> arrived
amalgamyng	<I>noun</I> blending, amalgamation
amblere	<I>noun</I> pacing horse
amende	<I>verb</I> improve, correct, remedy
amended	<I>verb, pst. prtcpl.</I> improved, corrected
amonesteth	<I>verb, prsnt. sg.</I> admonishes
angwissous	<I>adj.</I> anxious
anlaas	<I>noun</I> broad two-edged dagger
annueleer	<I>noun</I> chantry priest, a priest who sings anniversary masses for the dead
anon, anoon	<I>adv.</I> straightway, at once, immediately
anoy	<I>noun</I> trouble
antiphoner	<I>noun</I> anthem-book, book of antiphonal hymns
ape	<I>noun</I> 1. fool, dupe; 2. monkey
apertenen	<I>verb</I> befit
aperteneth	<I>verb, prsnt. sg.</I> befits
apiked	<I>verb</I> adorned, trimmed
appalled	<I>adj.</I> pale-looking, faded
apposed	<I>verb</I> questioned
appreved	<I>verb</I> approved, proven, tested
approwours	<I>noun</I> agents
areste	<I>verb</I> stop, restrain
argumentz	<I>noun</I> logical reasoning
aright	<I>adv.</I> certainly
armee	<I>noun</I> military expedition
armure	<I>noun</I> armour, protective covering
array	<I>noun</I> 1. equipment; 2. dress, clothes
arrayed	<I>verb, pst. prtcpl.</I> prepared, adorned
