##name	Computer Abbreviations v1.5
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/09/29, 22:18
##author	ilker akkaya
##description	Computer Abbreviations and File Extensions
##bgl_creationTime	2000/10/12, 20:29
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
.#24	Locoscript 24-pin Printer Data File<BR>
.#IB	Locoscript Dot Matrix Data File<BR>
.#SC	Locoscript Dot Matrix Data File<BR>
.#ST	Locoscript Dot Matrix Printer Definition File<BR> .$$$ Temporary File (various)<BR>
.	Temporary File (file name extension)<BR>
.A	OS/2
.F	OS/2 Database<BR>
.P	OS/2 Notes<BR>
.S	OS/2 Spreadsheet<BR>
.$00	DOS Pipe File (could also be .$01)<BR>
.$A	AutoCAD Autosave File<BR>
.$AC	AutoCAD Autosave File<BR>
.$D$	OS/2 Planner Data File<BR>
.$DB	dBase Temp File<BR>
.$ED	Microsoft C/C++ Temporary Editor File<BR>
.$LN	Borland C++ TLink Response File<BR>
.$VM	Microsoft Windows Virtual Manager Temp File<BR> .$#! Cryptext<BR>
.(D)	pcAnywhere Temporary File<BR>
(Y/N)?	(Asks for a YES or NO decision)
*	Asteriks
*.*	Star-Dot-Star (represents Any file name.Any file name extension)
.0	Inno Setup Binary File<BR>
.000	(000-999) Sequentially Numbered Backup Files<BR> (000-600) Paperport Scanned Image<BR> (.000 is desktop, .100-.600 images - number may include hex "a" to "f")<BR> (000-999) ARJ Multi-volume Compressed Archive (also see .A00)<BR> Microsoft Doublespace Compressed Data File<BR> Geoworks Data File<BR>
.001	(001-999) HJSplit File (file splitter for large files)<BR> (001-0??) Fresh Download Split File (splits files for download and recombines later)<BR> Fax Data File (various) <BR> Tagged Image Format File <BR>
.00B	PenSoft Payroll Backup File<BR>
.01B	PenSoft Payroll Backup File<BR>
.075	Ventura Publisher 75dpi Screen Characters<BR>
.085	Ventura Publisher 85dpi Screen Characters<BR>
.091	Ventura Publisher 91dpi Screen Characters<BR>
.096	Ventura Publisher 96dpi Screen Characters<BR>
.0B	PageMaker Printer Font LineDraw Characters<BR>
.1	Inno Setup Binary File<BR> Roff/nroff/troff/groff Manual Source (UNIX)<BR>
.10X	Gemini Bitmap Printer Graphics File<BR>
.113	Iomega Backup File<BR>
.123	Lotus File<BR>
.12M	Lotus Smartmaster File<BR>
.12U	PageMaker Font File<BR>
.15U	PageMaker Printer Font<BR>
.196	Computer Snooper Log File<BR>
1GL	First General Language (machine language)
.1PE	TurboTax Form File<BR>
.1ST	Information (e.g., README.1ST)<BR>
.1TX	1toX File (Logipole)<BR>
.22	Clipstream 20 Kb Stream<BR>
.24B	24-bit Graphic File<BR>
.261	H.261 Encoded Video File (usually .P64) <BR>
.263	H.263 Encoded Video File <BR>
.286	Windows Standard Mode Driver<BR>
.2BP	Pocket PC Bitmap <BR>
.2D	2D VersaCAD Drawing File<BR> Amapi <BR>
.2DA	Infinity Game Engine AD&D Rule Set <BR>
.2DC	Cadwork 2D Catalog<BR>
.2DR	Cadwork Road<BR>
2GL	Second Generation Language (assembly language)
.2GR	Windows EGA/VGA Screen Grabber<BR>
.3	Solaris Device Configuration Assistant Boot Diskette
.301	Brooktrout Fax-Mail File <BR>
.303	Seq-303 Settings<BR>
.320	Chromelion Demo Data File<BR>
.323	H.323 Internet Telephony<BR>
.32X	Gens 2.0 File (Sega Genesis/Megadrive/32X Emulator)<BR>
.340	Chromelion Demo Data File<BR>
.386	Windows Enhanced Mode Driver or Swap File<BR>
.3A3	STABCAL (stability calculation for aqueous systems) File<BR>
.3A5	STABCAL (stability calculation for aqueous systems) File<BR>
.3B3	STABCAL (stability calculation for aqueous systems) File<BR>
.3B5	STABCAL (stability calculation for aqueous systems) File<BR>
.3C3	STABCAL (stability calculation for aqueous systems) File<BR>
.3C5	STABCAL (stability calculation for aqueous systems) File<BR>
.3CN	Microsoft 3D Movie Maker Scene<BR>
3COM	3 Com Corporation (The 3 Coms are Computer, Communications and Compatibility)
.3D	VersaCAD 3D Drawing File<BR> Al-Arabi Publisher Document (program taken over by WebX PowerPublisher)<BR>
.3DB	3D Mark Database (system testing - unverified)<BR>
.3DM	3D Modeler File<BR>
.3DMF	QuickDraw 3D Metafile<BR>
.3DML	Rover 3D Modeling<BR>
.3DP	Serif 3D Plus<BR>
.3DS	3D Studio Graphic<BR>
.3DV	Visual Component File<BR>
.3DZ	Easy 3D Creator Project File<BR>
.3F	Al-Arabi Publisher Template (program taken over by WebX PowerPublisher)<BR>
.3FX	Corel Chart 3D Effect<BR>
3GL	Third Generation Language (programming language)
.3GR	Windows SVGA/XVGA Screen Grabber<BR>
.3H	Al-Arabi Publisher Tag Header (program taken over by WebX PowerPublisher)<BR>
.3IN	MSN Setup Information<BR>
.3K	Al-Arabi Publisher Keyboard Definition (program taken over by WebX PowerPublisher)<BR>
.3M	Al-Arabi Publisher Macro (program taken over by WebX PowerPublisher)<BR>
.3MM	Microsoft 3D Movie Maker Movie<BR>
.3O3	STABCAL (stability calculation for aqueous systems) File<BR>
.3O5	STABCAL (stability calculation for aqueous systems) File<BR>
.3PI	3rd PlanIt File (CAD program for model railroads)<BR>
.3R	Al-Arabi Publisher Raster Image (program taken over by WebX PowerPublisher)<BR>
.3T4	Binary to ASCII Conversion<BR>
.3TA	Triple-T Animation <BR>
.3TH	Microsoft 3D Movie Maker Actor<BR>
.3TP	Triple-T Plug-in <BR>
.3XE	3DLinX Entity (3D drawing tool)<BR>
.404	FruityLoops Channel State File (replaced by .FST in ver 2.5.0)<BR>
.411	Sony Mavica Data File <BR>
.44	Clipstream 32 Kb Stream<BR>
486	80486 (microprocessor)
.4A3	STABCAL (stability calculation for aqueous systems) File<BR>
.4A5	STABCAL (stability calculation for aqueous systems) File<BR>
.4B3	STABCAL (stability calculation for aqueous systems) File<BR>
.4B5	STABCAL (stability calculation for aqueous systems) File<BR>
.4BIT	GoDot <BR>
.4BT	GoDot <BR>
.4C$	4Cast/2 Data<BR>
.4C3	STABCAL (stability calculation for aqueous systems) File<BR>
.4C5	STABCAL (stability calculation for aqueous systems) File<BR>
.4DB	4D Database Structure File (data fork - .RSR for resource fork)<BR>
.4DD	4D Database Data File (data fork - .4DR for resource fork)<BR>
.4DF	4D Database Windows Search Document<BR>
.4DL	4D Database Windows Log File<BR>
.4DR	4D Database Data File (resource fork - .4DD for data fork)<BR>
.4DS	4D Database Windows Data Segment<BR>
.4DX	4D Database Plug-in (data fork - .RSR for resource fork)<BR>
.4FI	4D Database Windows ASCII Map<BR>
.4FR	4D Database Windows Apply Formula Document<BR>
.4GE	Informix 4GL Compiled Code<BR>
.4GL	Informix 4GL Source<BR>
.4H3	STABCAL (stability calculation for aqueous systems) File<BR>
.4LB	4D Database Windows Label<BR>
.4LK	4D Database Windows Hot Link File<BR>
.4O3	STABCAL (stability calculation for aqueous systems) File<BR>
.4O5	STABCAL (stability calculation for aqueous systems) File<BR>
.4PP	PhotoParade Player (digital slideshow)<BR>
.4QR	4D Database Windows Quick Report<BR>
.4ST	4D Database Windows Saved Set<BR>
.4SW	4DOS Swap File<BR>
.4TH	FORTH Program<BR>
.4UG	4D Database Windows User/Groups Set<BR>
.4V	Quartet Music File<BR>
.4VR	4D Database Windows Saved Variable<BR>
.521	Murray State University Trojan Ring Configuration File<BR>
.602	T602 Text File<BR>
.60D	Vista Columbus Digital CCTV System Recording (also see .60H)<BR>
.60H	Vista Columbus Digital CCTV System Recording (also see .60D)<BR>
.669	669 Tracker Module<BR> Unis Composer Music File<BR>
.699	Portable 699 Loader v0.2 <BR>
.6AM	Haltech ECU Fuel and Ignition Map<BR>
.6CM	Triton FastTracker 6-Channel Music<BR>
6DOF	Six Degrees Of Freedom
.710	Korg Triton Music Workstation<BR>
.73?	TI-Graph Link File<BR>
.73I	TI Bitmap <BR>
.7Z	7-Zip Compressed File<BR>
.8	A86 Assembler Program File<BR>
.82B	TI-82 Graph Link Backup<BR>
.82G	TI-82 Graph Link Group<BR>
.82I	TI Bitmap
.82P	TI-82 Graph Link Program<BR>
.83?	TI-Graph Link File<BR>
.83I	TI Bitmap <BR>
.83P	TI-Graph Link (TI-83 Program)<BR>
.85I	TI Bitmap <BR>
.86I	TI Bitmap <BR>
.86P	TI-86 Calculator File (mainly a game file)<BR>
.89?	TI-Graph Link File<BR>
