##name	Country Phone Codes
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/01/20, 11:57
##author	Nivi Naor
##description	Just about every international phone code you can think of.
##browsingEnabled	
##bgl_creationTime	2001/01/17, 15:12
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
1	America On Line Clients
1201	United States - New Jersey
1202	United States - Dist. of Columbia
1203	United States - Connecticut
1204	Canada - Manitoba
1205	United States - Alabama
1206	United States - Washington
1207	United States - Maine
1208	United States - Idaho
1209	United States - California
1212	United States - New York
1213	United States - California
1214	United States - Texas
1215	United States - Pennsylvania
1216	United States - Ohio
1217	United States - Illinois
1218	United States - Minnesota
1219	United States - Indiana
1242	Bahamas
1264	Anguilla (BWI)
1301	United States - Maryland
1302	United States - Delaware
1303	United States - Colorado
1304	United States - West Virginia
1305	United States - Florida
1307	United States - Wyoming
1308	United States - Nebraska
1309	United States - Illinois
1310	United States - California
1312	United States - Illinois
1313	United States - Michigan
1314	United States - Missouri
1315	United States - New York
1316	United States - Kansas
1317	United States - Indiana
1318	United States - Louisiana
1319	United States - Iowa
1401	United States - Rhode Island
1402	United States - Nebraska
1403	Canada - Alberta
1404	United States - Georgia
1405	United States - Oklahoma
1406	United States - Montana
1407	United States - Florida
1408	United States - California
1409	United States - Texas
1410	United States - Maryland
1412	United States - Pennsylvania
1413	United States - Massachusetts
1414	United States - Wisconsin
1415	United States - California
1416	Canada - Ontario
1417	United States - Missouri
1418	Canada - Quebec
1419	United States - Ohio
1501	United States - Arkansas
1502	United States - Kentucky
1503	United States - Oregon
1504	United States - Louisiana
1505	United States - New Mexico
1506	Canada - New Brunswick
1507	United States - Minnesota
1508	United States - Massachusetts
1509	United States - Washington
1510	United States - California
1512	United States - Texas
1513	United States - Ohio
1514	Canada - Quebec
1515	United States - Iowa
1516	United States - New York
1517	United States - Michigan
1518	United States - New York
1519	Canada - Ontario
1601	United States - Mississippi
1602	United States - Arizona
1603	United States - New Hampshire
1604	Canada - Br. Columbia
1605	United States - South Dakota
1606	United States - Kentucky
1607	United States - New York
1608	United States - Wisconsin
1609	United States - New Jersey
1612	United States - Minnesota
1613	Canada - Ontario
1614	United States - Ohio
1615	United States - Tennessee
1616	United States - Michigan
1617	United States - Massachusetts
1618	United States - Illinois
1619	United States - California
1701	United States - North Dakota
1702	United States - Nevada
1703	United States - Virginia
1704	United States - North Carolina
1705	Canada - Ontario
1706	United States - Georgia
1707	United States - California
1708	United States - Illinois
1709	Canada - Newfoundland
1712	United States - Iowa
1713	United States - Texas
