##name	Diabetes Dictionary
##sourceLang	Spanish
##targetLang	Spanish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	U.S. Department of Health and Human Services
##description	Diccionario de t�rminos y informaci�n b�sica sobre diabetes, sus efectos y su cuidado.
##browsingEnabled	
##bgl_creationTime	2000/08/04, 13:26
##bgl_middleUpdated	2000/08/07, 07:29
00A78CDE.png	File: 00A78CDE.png
0C1B59A7.png	File: 0C1B59A7.png
315AD3C3.png	File: 315AD3C3.png
35458A9D.png	File: 35458A9D.png
42A13903.png	File: 42A13903.png
4C1AB547.png	File: 4C1AB547.png
776D97FE.png	File: 776D97FE.png
7F1882C4.png	File: 7F1882C4.png
7FC5578D.png	File: 7FC5578D.png
84CE227F.png	File: 84CE227F.png
860030D8.png	File: 860030D8.png
8A1D87D4.png	File: 8A1D87D4.png
8EAF66FD.bmp	File: 8EAF66FD.bmp
9D6F9028.html	File: 9D6F9028.html
ACB42547.png	File: ACB42547.png
B25AEA4A.png	File: B25AEA4A.png
BB026A58.png	File: BB026A58.png
BD21A5CF.png	File: BD21A5CF.png
BFE7996B.png	File: BFE7996B.png
C2EEF3F6.html	File: C2EEF3F6.html
DF0FCADA.png	File: DF0FCADA.png
E94647F0.png	File: E94647F0.png
Acción máxima (Peak Action)|Acción máxima|Peak Action	El periodo durante el cual algún efecto alcanza su mayor intensidad, como cuando la insulina produce su mayor efecto sobre la glucosa (azúcar) en la sangre.
Acetohexamida (Acetohexamide)|Acetohexamida|Acetohexamide	Píldora que se toma para bajar el nivel de glucosa (azúcar) en la sangre. Solamente toman esta píldora las personas con diabetes no insulinodependiente. <I>Véase también:</I> Agentes hipoglucémicos orales.
Acetona (Acetone)|Acetona|Acetone	Es una sustancia química que se forma en la sangre cuando el organismo utiliza grasa en vez de glucosa (azúcar) como fuente de energía. Si se forma acetona, esto usualmente indica que las células carecen de suficiente insulina o que no pueden utilizar la presente en la sangre para convertir glucosa en energía. La acetona sigue su curso corporal hasta llegar a la orina. El aliento de personas que tienen gran cantidad de acetona en el organismo exhala olor a fruta y a veces se le denomina &quotaliento de acetona". <I>Véase también:</I> Cuerpos cetónicos.<BR>
