##name	Diabetes Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Deb Butterfield
##email	dbutterfield@insulinfree.org
##description	Life with diabetes is complicated enough! The Insulin-Free World Foundation's glossary gives you straight forward definitions to help!
##browsingEnabled	
##bgl_creationTime	2000/08/08, 12:33
##bgl_middleUpdated	2000/08/08, 14:54
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Acute	Happens for a limited period of time; abrupt onset; sharp, severe.
Albuminuria	More than normal amounts of a protein called albumin in the urine. Albuminuria is an early indicator of diabetic <A href="bword://nephropathy">nephropathy</A> (kidney disease) and affects more than a third of all those who have had diabetes for more than 20 years.
Allograft	A tissue or organ transplanted from one member of a species to another member of the same species. A kidney from a human donor to a human recipient is an allograft. Synonym: Allogeneic graft, homologous graft.
Alpha Cell	A type of cell in the islets of Langerhans in the pancreas that make and release a hormone (glucagon) that raises the level of glucose in the blood. <BR>See also <A href="bword://beta cell">beta cell</A> ; <A href="bword://delta cell">delta cell</A> .
Amino Acid	The building blocks of proteins; the main material of the body's cells. Insulin is made of 51 amino acids joined together.
Amylase	An enzyme excreted by the <A href="http://www.insulinfree.org/glossary.htm#exocrinepancreas">exocrine pancreas</A> whose role is to divide starch and glycogen into simple sugars as part of the digestion process. Amylase concentration in the blood is called Serum Amylase. In normal circumstances such concentration is marginal but when high it could be an indicator of pancreatitis. Due to the inflamatory process the enzyme leaked through the capillary barrier and reach the blood stream. In the case of an individual with a pancreas transplant elevated Serum Amylase could indicate a process of rejection going on. Nevertheless, rejection can occur in the abcense of a significant Serum Amylase increase. A widely used site to attach the pancreas is the bladder. This allows the incorporation of the graft to important veins and arteries in the recipient , the secure attachment to another organ and the excreation of Amylase through urine. Low Urine Amylase has become an important marker for rejection as it is known that such process attack the exocrine tissue. Glucose rise when 95% of the pancreas has been destroyed by rejection and in most cases the process cannot be reversed.
Angiopathy	Disease of the blood vessels (arteries, veins, and capillaries) that effects most people with diabetes over time. There are two types of angiopathy: macroangiopathy and microangiopathy. In macroangiopathy, fat and blood clots build up in the large blood vessels, stick to the vessel walls, and block the flow of blood. In microangiopathy, the walls of the smaller blood vessels become so thick and weak that they bleed, leak protein, and slow the flow of blood through the body.
Antagonist	One agent that opposes or fights the action of another. For example, insulin lowers the level of glucose in the blood and glucagon raises it; therefore, insulin and glucagon are antagonists.
Antibodies	Proteins that the body makes to protect itself from foreign substances. Occasionally, the body also makes proteins against normal parts of the body. These proteins are called autoantibodies.
Antigens	Substances that cause an immune response in the body. The body recognizes antigens as harmful or foreign and produces antibodies to try to fight them.
Artery	A large blood vessel that carries blood from the heart to other parts of the body. Arteries are thicker and have walls that are stronger and more elastic than the walls of veins. See also: Blood vessels.
Asymptomatic	No symptoms; no clear sign of disease present.
Autograft	A tissue or organ removed from an individual and transplanted back into the same individual. For instance, an individual suffering from pancreatitis requiring removal of the pancreas could have (if he or she is not diabetic), his or her islets extracted from the pancreas and transplanted into the liver as an "autograft" to prevent diabetes.
Autoimmune Disease	Disorder of the body's immune system in which the immune system mistakenly attacks and destroys body tissue that it believes to be foreign. Insulin-dependent diabetes is an autoimmune disease because the immune system attacks and destroys the insulin-producing beta cells.
Autonomic Neuropathy	A disease of the nerves affecting mostly the internal organs such as the bladder muscles, the cardiovascular system and the digestive system. These nerves are not under a person's conscious control and function automatically. Also called visceral neuropathy. <BR>See also: <A href="bword://Neuropathy">Neuropathy</A> .
Beta Cell	A type of cell in the Islets of Langerhans in the pancreas that make and release insulin. <BR>See also: <A href="bword://alpha cell">alpha cell</A> and <A href="bword://delta cell">delta cell</A> .
Beta Cell Transplantation	See: <A href="bword://Islet cell transplantation">Islet cell transplantation</A> .
Blood Glucose	Glucose that is derived from food carried to each cell through the bloodstream. However, cells cannot use glucose without the help of insulin and so, for people with diabetes, the blood glucose level is the measure by which insulin doses and diet requirements are determined.
Blood Pressure	The force of the blood on the walls of arteries. Two levels of blood pressure are measured-the higher, or systolic pressure, which occurs each time the heart pushes blood into the vessels, and the lower, or diastolic, pressure, which occurs when the heart rests. In a blood pressure reading of 120/80, for example, 120 is the systolic pressure and 80 is the diastolic pressure. A reading of 120/80 is said to be in Sthe normal range.
Blood Urea Nitrogen (BUN)|BUN|Blood Urea Nitrogen	A waste product of the kidneys. Increased levels of BUN in the blood may indicate early kidney damage.
Brain Death	When the brain has permanently stopped working, as determined by the attending physician and appropriate consultants. Donor organs can only be taken from persons declared brain dead.
Brittle Diabetes	A term used when a person's <A href="bword://blood glucose">blood glucose</A> (sugar) level often swings quickly from high to low and from low to high. Also called labile and unstable diabetes.
C-Peptide	A substance that the pancreas releases into the bloodstream as a byproduct of insulin production. The C-peptide level is a rough indication of how much insulin the body is making.
Capillary	The smallest of the body's blood vessels. Capillaries have walls so thin that oxygen and glucose can pass through them and enter the cells, and waste products such as carbon dioxide can pass back into the blood to be carried away and taken out of the body. The capillaries of people who have had diabetes for a long time become weak---especially those in the kidney and the retina of the eye.
Capitation	A fixed price for a medical service.
Carbohydrate	One of the three main classes of foods and a source of energy. Carbohydrates are mainly sugars and starches that the body breaks down into glucose (a simple sugar that the body can use to feed its cells).
Cardiologist	A doctor who sees and takes care of people with heart disease; a heart specialist.
Cardiovascular	Relating to the heart and blood vessels (arteries, veins, and capillaries); the circulatory system.
Cerebrovascular Disease	Damage to the blood vessels in the brain, resulting in a stroke. The blood vessels become blocked because of fat deposits or they become thick and hard, blocking the flow of blood to the brain. Sometimes, the blood vessels may burst, resulting in a hemorrhagic stroke. People with diabetes are at higher risk of cerebrovascular disease.
Charcot Foot	A foot complication associated with diabetic neuropathy that results in almost painless destruction of joints and soft tissue. Also called "Charcot's joint" and "neuropathic arthropathy."
Chronic	Present over a long period of time. Diabetes is an example of chronic disease.
Clinical Trial	A scientifically controlled study carried out in people, and within the guidelines of the Institutional Review Board in order to assure safety. Clinical trials are usually undertaken to test the effectiveness of a new treatment or drug.
Coalition on Donation	A non-profit alliance of health and science professionals, patients, voluntary and transplant organizations. The Coalition serves to increase national public awareness of the critical organ shortage, thus creating a greater willingness and commitment to organ and tissue donation.
Conventional Therapy	A system of diabetes management wherein one or two insulin injections are taken each day, blood glucose is monitored daily and a program of nutrition and exercise is followed. The main objective in this form of treatment is to avoid very high and very low blood glucose (sugar).Also called: "Standard Therapy."
Coronary Disease	Damage to the heart. Not enough blood flows through the vessels because they are blocked with fat or have become thick and hard; this harms the muscles of the heart. People with diabetes are at a higher risk of coronary disease.
Coxsackie B4 Virus	An agent that has been shown to damage the beta cells of the pancreas in lab tests. This virus may be one cause of insulin-dependent diabetes.
Creatinine	An end-product of protein metabolism found in the blood and urine, that can be used to help assess if the kidneys are working adequately. A related test, using simultaneous measurements of a timed urine sample plus a blood creatinine test, is called the creatinine clearance.
Creatinine Clearance	A test to measure the kidneys' capacity to excrete body waste product as createnine. The test requires a urine sample over a period of time (usually 24 hours) and a blood sample. A comparison between the createnine concentration in blood and the amount of createnine removed from blood by the kidney in units of time is done. Values are given in terms of 1.73m2 in order to give a common ground for comparison. While serum createnine level reflects other factors such as body weigh. height and body muscle mass, createnine clearance is a standarized measurement of glomerular filtration. In general, the higher the createnine clearance the better the kidneys are working, the higher the serum createnine the worst the kidneys are working. Normal values are between 100-140 ml/min.
Crossmatch	A test for patient antibodies against donor antigens. A positive crossmatch shows that the donor and patient are incompatible. A negative crossmatch means there is no reaction between donor and patient and that the transplant may proceed.
Cryopreservation	Maintenance of the extracted tissue or organ at extremly low temperature.
Cyclosporine	A drug used following organ transplantation to prevent rejection of the transplanted organ by suppressing the immune system
Dehydration	Great loss of body water. A very high level of glucose (sugar) in the urine causes loss of a great deal of water, and the person becomes very thirsty.
Delta Cell	A type of cell in the pancreas in areas called the islets of Langerhans. Delta cells make somatostatin, a hormone that is believed to control how the beta cells make and release insulin and how the alpha cells make and release glucagon.
Diabetes Control and Complications Trial (DCCT)|DCCT|Diabetes Control and Complications Trial	A multicenter randomized clinical trial designed to test the hypothesis that tight control to maintain close-to-normal blood glucose profiles can delay or prevent diabetes's secondary complications. People between 13-39 with IDDM defined by impaired production of C-peptides were divided in two groups.and randomized to be treated with Conventional Therapy or Intensive Therapy. The Prevention group consisted of individuals with no evidence of severe diabetic complication and who have IDDM from 1-5 years. The Intervention group was constituted by individuals that had IDDM for 1-15 years and present mild complications. In general, results show that Intensive Therapy reduced risk of complications as well as the incidence of complications such as nephropathy , retinopathy and neuropathy in the prevention group. In the intervention group a slow in progression and reduce risk is patent except for neuropathy. Although the study was not designed to asses the impact on macrovascular disease, levels of cholesterol were lower with Intensive Therapy. The Intensive Therapy's side effects are mainly hypoglycimia and weight gain.
Diabetes Insipidus	A disease of the pituitary gland or kidney, not diabetes mellitus. Diabetes insipidus is often called "water diabetes" to set it apart from "sugar diabetes." The cause and treatment are not the same as for diabetes mellitus. "Water diabetes" has diabetes in its name because most people who have it show most of the same signs as someone with diabetes mellitus-they have to urinate often, get very thirsty and hungry, and feel weak. However, they do not have glucose (sugar) in their urine.
