##name	Dictionary Of Cooking And Food Terms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Dirk Merkel
##email	webmaster@recipearchive.com
##description	An easily searchable online dictionary and glossary for terms related to food and cooking.
##browsingEnabled	
##bgl_creationTime	2000/08/07, 12:23
##bgl_middleUpdated	2000/08/07, 12:57
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
a la	(French) The style of, such as: a la Francaise (The style of the French).
a la Bourgeoise	(French) The style of the family (family style).
a la Broche	(French) Cooked on a skewer over a flame. See Brochette.
a la Carte	(French) Each menu item is priced separately: Foods prepared to order.
a la King	(French) A Bechemel sauce containing mushrooms, green peppers, and red peppers or pimentos.
a la Mode	(French) Refers to ice cream on top of pie.
a la Provencale	(French) Dishes prepared with garlic and olive oil. See Provencale.
a la Russe	(French) The Russian way.
A.P.	As Purchased.
Abaisee	The french term for a sheet of puff pastry which has been rolled very thinly. Sometimes it refers to a thin slice of sponge cake used in a dessert.
Abaisse	A French term for a sheet of rolled out pastry which is usually used as base in a dessert. It can also mean a cookie or slice of sponge cake on which a filling (preserves or cream) is to be spread.
Aboukir	A Swiss dessert made of sponge cake and chestnut-alcohol flavored cream.
Aboukir Almonds	A sugar-glazed petit-four made by pressing two whole blanched and roasted almonds into the sides of a ball of green-colored marzipan. It is then held with a dipping fork and dipped into boiled sugar syrup and left to sit on parchment paper until firmly set.
Absinthe	Also wormwood. An aromatic plant that contains an alkaloid used to make medicinal drinks in the Middle Ages. The first absinthe liquer was made by HL Pernod in the late 1700's. Later it was discovered that absinthe had dangerous effects on the nervous system and was outlawed in 1915. Pernod is now flavored with aniseed.
Accolade	En accolade means presenting two similar kinds of food leaning on each other on the same plate. The term usually applies to poultry and game hens.
Acetic Acid	A natural organic acid which is also known as vinegar. It is used in sugar and confectionery recipes, in pavlovas (as a stabilizer for the eggs), and in royal icing (to help the icing set).
Acetomel	A mixture of honey and vinegar that produces a sweet/ sour syrup. Although it is rarely used today, in the past it was used to preserve fruits.
Achar	A yellowish, strongly spiced pickle popular in Indian cuisine. It is usually made from a mixture of chopped fruit and vegetables steeped in a spicy sauce. A typical achar might include carrots, peppers, cucumbers, green beans, cabbage, cauliflower, and lemons steeped in salt. The whole mixture would then be preserved in an oil spiced with onion, ginger, cayenne, vinegar and saffron.
Acidulate	To give a dish or liquid a slightly acidic, tart or piquant taste by adding some lemon juice, vinegar, or unripened fruit juice. Also, one can acidulate fresh cream by adding lemon juice to get sour cream.
Acidulated Water	Water to which a mild acid, usually lemon juice or vinegar, has been added to prevent sliced fruits (especially apples and pears) and peeled or cut up vegetables (i.e. artichokes and salsify) from turning dark during preparation. To make acidulate water, squeeze half of a lemon into a medium bowl of water.
Advocaat	A thick, yellow liqueur made from egg yolks, sugar, and alcohol. It can be served before and after dinner, on desserts, or in mixed drinks.
Affriander	(French) To give a dish a more appetizing appearance by garnishing it.
Affriter	A French term used to describe the seasoning of a pan. This can be achieved by rubbing it with salt or by heating a little bit of oil in the pan and then drying it with a cloth.
Agar-agar	An extract of seaweed (also know as Bengal isinglass and Japanese or Ceylon moss) from the Pacific and Indian Oceans. It comes in either small transparent strips or powdered form. The Japanese use it in soups. However, its most common use is in commercial food products such as deserts, soups, ice creams, and sauces. Probably, because agar-agar dissolves in water over low heat and upon cooling sets into a jelly.
Agave	A Mexican plant with large, fleshy leaves. Its fermented sap is used to make tequila, pulque, and mescal.
Aging	A term used to describe the holding of meats at a temperature of 34 to 36 degrees F. for a period of time to break down the tough connective tissues through the action of enzymes thus increasing tenderness.
Agneau	(French) Lamb.
Agnes Sorel	A garnish made of mushrooms, chicken, and pickled tongue named after the mistress of King Charles VII of France. In Agnes Sorel soup, the garnish is cut into thin strips and added to the thickened soup.
Agnolotti	A kind of ravioli in which the pasta is cut into small, round pieces. They are usually stuffed with meat and vegetables and then folded over like turnovers. Agnolotti are popular in the Piedmont region of Italy,where they are boiled in stock and served with butter and grated cheese.
Agraz	A North African sorbet made from almonds, verjuice, and sugar. It has an acidic flavor and goes well with Kirsch.
Aioli	A Provencal garlic-mayonnaise sauce. In fact, the name is derived from ail (garlic) and oli (oil). It is served with cold fish, eggs, salad, snails, and cold meat.
Al Dente	Italian for 'to the tooth'. It refers to the firm but trender consistency a perfectly (in some opinions) cooked piece of pasta will have.
Alabaster	A shaker dish of mashed potatoes and turnips, name after the silvery white color.
Albondigas	Meatballs
Allspice	A single spice whose flavor is reminiscent of a blend of nutmeg, cloves juniper berries, pepper, and cinnamon. It is processed from the fruit of an evergreen tree found in the Western Hemisphere.
Allumette Potatoes	(French) Potatoes cut like large match sticks.
Almond Paste	A mixture of ground almonds, sugar, and glucose. The Odense brand of almond paste is a good one to try. It can be found in the baking aisle in most grocery stores.
Alphabet Pasta	Pasta shapes in the form of letters and numbers. This favorite kids' shape is usually used in soups for a fun meal anytime.
Amandine	(French) Prepared with or garnished with almonds.
Amaretti	Italian almond cookies reminiscent of the macaroon.
Amaretto	An almond flavored liqueur (made from apricot pits) from Italy. Disaronno Amaretto is a good brand to try.
Anaheim Chiles	Mild, long green chiles named for the area near Los Angeles where they were once cultivated. You can buy them canned (whole or chopped) and fresh.
Ancho Chiles	Dried poblano chiles that come in color ranging from dark red to almost black. They are moderately hot with a smokyflavor. Pasilla chiles are a good substitute.
Angel Hair	Capellini ("Fine Hairs") A thin, delicate pasta. These strands are best if used with thinner, delicate sauces. Other uses: break in half and put in soup; use in salads or stir-fry meals.
Anglaise	(French) The English way.
Anis	(Spanish) Anise
Anise	A spice whose flavor is reminiscent of licorice, usually bought ground. (although seed form is also common). It is found in cookies, cakes and liqueurs.
Arborio Rice	A short grain white rice from Northern Italy. The length of the grain is often less than two times its width. It is used often in risotto due to its ability to absorb flavor as it cooks, yet remain somewhat firm in the center. The Spanish Valencia rice is a good substitute.
Armagnac	A member of the brandy family known for its distinct, unpolished flavor with hints of prune. Armagnac can be found in most liquor stores.
Arrowroot	A white, powdery thickener finer than flour. It is quite expensive and preferable to cornstarch because it provides a clear finish. Its extracted from rhizomes. It was originally used by American Indians to heal arrow wounds, hence the name 'arrowroot'.
Arroz A La Espanola	Spanish rice.
Arroz Con Pollo	Chicken with rice.
Arugula	Also known as rocket. Arugula is a pepper and mustard flavored green that is used in many salads and as a sandwich condiment. Watercress is a good substitute if you can't find it. Although, most American farmers' and gourmet markets carry it.
Asafran	(Spanish) Saffron
Asiago	An Italian cheese (known as poor man's Parmesan) mainly used for grating. It is reminiscent of cheddar. Although, it is traditionally made with sheep's milk, today it is often made with cow's milk.
Aspic	(English) Clear meat, poultry, or fish jelly.
