##name	Dictionary of Medicine (Shahram)
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/24, 16:59
##author	Shahram Shahsavari
##email	shahram_3000@hotmail.com
##description	Dictionary of Medicine. Includes over 12,500 entries. Clear definitions in simple English. Example sentences show usage. Covers British and American English terms on topics such as surgery, general practice, hospitals, clinics and nursing. Quotations from journals and magazines. Line drawings of anatomical features. Tables of vitamins and calorie counts.  Homepage:  http://www.ShahramSh.s5.com/  ,  Email: ShahramShahsavari@hotmail.com.  Note that this is the testing version of the Dictionary , Since I have got lots of other works to do as well, the final version this Dictionary may come out a little bit later. For more information contact me through my Email.
##browsingEnabled	
##bgl_creationTime	2003/04/24, 13:15
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
-ase	<I>suffix </I><BR>meaning an enzyme
-blast	<I>suffix </I> <BR>referring to a very early stage in the development of a cell
-cele	<I>suffix </I> <BR>referring to a hollow
-cide	<I>suffix </I> <BR>referring to killing
-coele	<I>suffix </I> <BR>referring to a hollow
-dynia	<I>suffix </I> <BR>meaning pain
-ectomy	<I>suffix </I> <BR>referring to the removal of a part by surgical operation<BR><B>appendicectomy = </B> operation to remove the appendix
-facient	<I>prefix </I> <BR>which makes<BR><B>abortifacient = </B> drug or instrument which produces an abortion
-fuge	<I>suffix </I> <BR>which drives away<BR><B>vermifuge = </B> substance which removes worms
-genic	<I>suffix </I> <BR>produced by <I>or</I> which produces<BR><B>photogenic = </B> produced by light <I>or</I> which produces light
-gram	<I>suffix </I> <BR>meaning a record in the form of a picture<BR><B>cardiogram = </B> X-ray picture of the heart
-graph	<I>suffix </I> <BR>meaning a machine which records as pictures
-grapher	<I>suffix </I> <BR>meaning a technician who operates a machine which records<BR><B>radiographer = </B> technician who operates an X-ray machine
-graphy	<I>suffix </I> <BR>meaning the technique of study through pictures<BR><B>radiography = </B> X-ray examination of part of the body
