##name	Drug information
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/21, 11:54
##author	Kianoosh Fooladi : kfooladi@yahoo.com
##email	kfooladi@yahoo.com
##description	Information on thousands of prescription and over-the-counter medications is provided through two drug resources -- MedMaster, a product of the American Society of Health-System Pharmacists (ASHP), and the USP DI� Advice for the Patient� , a product of the United States Pharmacopeia (USP). \nThis Glossary Provides Hyperlinks to  Drug informations wich hosted by the "U.S. National Library of Medicine" and the  "National Institutes Of Health" .\nhttp://www.nlm.nih.gov/medlineplus/druginformation.html
##browsingEnabled	
##bgl_creationTime	2003/04/15, 12:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
2'DCF	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202650.html'>USP DI</A> - Pentostatin (Systemic)
2-chlorodeoxyadenosine	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a693015.html'>MedMaster</A> - Cladribine <BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202699.html'>USP DI</A> - Cladribine (Systemic)
2.5 Benzagel Acne Gel	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
2.5 Benzagel Acne Lotion	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
206 Shake	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202673.html'>USP DI</A> - Enteral Nutrition Formulas (Systemic)
217	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202515.html'>USP DI</A> - Salicylates (Systemic)
217 Strong	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202515.html'>USP DI</A> - Salicylates (Systemic)
222	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202393.html'>USP DI</A> - Narcotic Analgesics and Aspirin (Systemic)
282	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202393.html'>USP DI</A> - Narcotic Analgesics and Aspirin (Systemic)
292	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202393.html'>USP DI</A> - Narcotic Analgesics and Aspirin (Systemic)
3TC	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a696011.html'>MedMaster</A> - Lamivudine <BR>     <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202791.html'>USP DI</A> - Lamivudine (Systemic)
3TC and AZT	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a601066.html'>MedMaster</A> - Lamivudine and Zidovudine
3TC and ZDV	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a601066.html'>MedMaster</A> - Lamivudine and Zidovudine
3TC and azidothymidine	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a601066.html'>MedMaster</A> - Lamivudine and Zidovudine
4-Way 12-Hour Nasal Spray	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202432.html'>USP DI</A> - Oxymetazoline (Nasal)
5 Benzagel	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
5 Benzagel Acne Gel	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
5 Benzagel Acne Lotion	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
5 Benzagel Acne Wash	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
5 Benzagel Liquid Acne Soap	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202086.html'>USP DI</A> - Benzoyl Peroxide (Topical)
6-MP	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a682653.html'>MedMaster</A> - Mercaptopurine <BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202350.html'>USP DI</A> - Mercaptopurine (Systemic)
642	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202390.html'>USP DI</A> - Narcotic Analgesics For Pain Relief (Systemic)
692	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202393.html'>USP DI</A> - Narcotic Analgesics and Aspirin (Systemic)
8-MOP	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202357.html'>USP DI</A> - Methoxsalen (Systemic)
9-1-1	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202907.html'>USP DI</A> - Corticosteroids Low Potency (Topical)
A-hydroCort	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a682871.html'>MedMaster</A> - Hydrocortisone Injection <BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202018.html'>USP DI</A> - Corticosteroids Glucocorticoid Effects (Systemic)
A.C.&C	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202393.html'>USP DI</A> - Narcotic Analgesics and Aspirin (Systemic)
A.P.L.	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202266.html'>USP DI</A> - Chorionic Gonadotropin (Systemic)
A/B Otic	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202066.html'>USP DI</A> - Antipyrine and Benzocaine (Otic)
A/T/S	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202221.html'>USP DI</A> - Erythromycin (Topical)
AC and C	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202393.html'>USP DI</A> - Narcotic Analgesics and Aspirin (Systemic)
AH-chew	<BR>    <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202653.html'>USP DI</A> - Antihistamines, Decongestants, and Anticholinergics (Systemic)
AHF	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a682075.html'>MedMaster</A> - Antihemophilic Factor (Human) <BR>     <A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a694027.html'>MedMaster</A> - Antihemophilic Factor (Recombinant) <BR>     <A href='http://www.nlm.nih.gov/medlineplus/druginfo/uspdi/202671.html'>USP DI</A> - Antihemophilic Factor (Systemic)
AHG	<A href='http://www.nlm.nih.gov/medlineplus/druginfo/medmaster/a682075.html'>MedMaster</A> - Antihemophilic Factor (Human)
