##name	EUROJARGON - English
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2004/07/29, 11:22
##bgl_middleUpdated	2004/07/29, 11:22
##author	EUROPA: portal site of the European Union
##copyright	� <a href="http://europa.eu.int/">European Communities</a>, 1995-2004
##description	A plain language guide to Eurojargon: People in the EU institutions and in the media dealing with EU affairs are in the bad habit of using words and expressions that they alone understand. We call these words and expressions �eurojargon�. Because outsiders cannot understand it, eurojargon is very unhelpful to ordinary people, and the EU institutions are trying to avoid using it in information for the general public. In the meantime, this �plain language guide� may help you.
##browsingEnabled	
##bgl_creationTime	2004/07/18, 11:09
##purchaseAddress	
##email	linguistic-support@babylon.com
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Absorption capacity|Absorptive capacity	Absorption (absorptive) capacity<br>\nThis usually means the ability of a country or organization to receive aid and use it effectively. Developing countries often lack this capacity. For example, a country may receive enough money to enable all its children to attend primary school - but owing to a lack of teachers, lack of schools or a poor administrative system, it is impossible to spend this money in the short term. Work must first be done to train teachers, build schools and improve the efficiency of the system - thus raising the country's ''absorptive capacity''.
Acceding - country|Acceding country	this is a <A href="bword://candidate country">candidate country</A> that has met the <A href="bword://Copenhagen criteria">Copenhagen criteria</A> and has completed negotiations for joining the European Union.
Acquis communautaire	This is a French term meaning, essentially, "the EU as it is" - in other words, the rights and obligations that EU countries share. The "acquis" includes all the EU's treaties and laws, declarations and resolutions, international agreements on EU affairs and the judgments given by the Court of Justice. It also includes action that EU governments take together in the area of "justice and home affairs" and on the Common Foreign and Security Policy. "Accepting the acquis" therefore means taking the EU as you find it. Candidate countries have to accept the "acquis" before they can join the EU, and make EU law part of their own national legislation. For a fuller explanation, see ''<A href="http://europa.eu.int/scadplus/leg/en/cig/g4000.htm">Community acquis</A>'' in the glossary.
Agenda	This term literally means "things to be done". It normally refers to the list of items for discussion at a meeting, but politicians also use it as a jargon term meaning "things we want to achieve". For example, "<B>Agenda 2000</B>" was the title of a package of proposals to reform the Common Agricultural Policy (see: ''<A href="bword://CAP reform">CAP reform</A>'') and to plan the EU's budget for 2000-2006. Anti-trust The EU aims to guarantee fair and free competition in the single market, and to ensure that companies compete rather than collude. So EU rules prohibit agreements that restrict competition (e.g. secret agreements between companies to charge artificially high prices) and abuses by firms who hold a dominant position on the market. Rules of this kind are known as "anti-trust" legislation. The Commission has considerable powers to prohibit anti-competitive activities, and to impose fines on firms found guilty of anti-competitive conduct.
Applicant country	This means a country that has applied to join the European Union. Once its application has been officially accepted, it becomes a <A href="bword://candidate country">candidate country</A>.<BR>For further details see <A href="http://europa.eu.int/scadplus/leg/en/cig/g4000.htm"> glossary</A>.
Benchmarking	This means measuring how well one country, business, industry, etc. is performing compared to other countries, businesses, industries, and so on. The ''benchmark'' is the standard by which performance will be judged. Benchmarking is one of the techniques used in the ''Lisbon process''.
Brussels has decided	"Brussels has decided..."<br>\nThe term "Brussels" is often used in the media to refer to the EU institutions, most of which are located in the city of Brussels. EU laws are proposed by the European Commission but it is the Council of the European Union (ministers from the national governments) and the European Parliament (elected by the European citizens) that debate, amend and ultimately decide whether to pass these proposed laws.
CAP reform	The Common Agricultural Policy (CAP) was first introduced in 1960, to ensure that Europe had secure food supplies at affordable prices. But it became a victim of its own success, generating unwanted surpluses of some products such as beef, barley, milk and wine. Also, the subsidies paid to European farmers were distorting world trade. So the European Commission began reviewing the CAP in 1999. The EU agreed further reforms in 2003, with the emphasis on high-quality farm produce and animal-friendly farming practices that respect the environment and preserve the countryside. The EU plans to cut back on direct subsidies to farmers, so as to redress the balance between EU agricultural markets and those of the developing world.
Candidate country	This means a country that has applied to join the European Union and whose application has been officially accepted. Before a candidate country can join the EU it must meet the ''<A href="bword://Copenhagen criteria">Copenhagen criteria</A>.''
