##name	EU Terminology
##sourceLang	English
##targetLang	Turkish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1254
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1254
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/10/26, 10:16
##author	SMB
##email	smbulut@hotmail.com
##description	
##browsingEnabled	
##bgl_creationTime	2002/10/26, 10:15
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
abolish	kaldırmak, lağvetmek
abolition of obstacles to freedom of movement	dolaşım serbestisini kısıtlayan engellerin kaldırılması
abolition of restrictions (eec57(3))|abolition of restrictions (eec57	kısıtlamaların kaldırılması
absence	yokluk, bulunmayış
absence of an opinion	görüş yokluğu
absence of customs protection	gümrük korumasının yokluğu
absolute majority (eec141)|absolute majority	salt çoğunluk
abstain	Kaçınma
abuse (eec86)|abuse	kötüye kullanma
abuse of a dominant position	hakim durumun kötüye kullanılması
acceptance	kabul
acceptance of appointment	görev kabulü
acceptance of appointments	görev kabulü
access	giriş, girme,katılma; erişim
accession	katılım
Accession Partnership	Katılım Ortaklığı Belgesi
accommodation	konaklama
accommodation facility	konaklama imkanları
accord	muvafakat, razı olma; anlaşma; uygunluk
accorded advantages	tanınan avantajlar
account	hesap
account being taken	tutulmakta olan hesap
Account Experts Board	Hesap Uzmanları Kurulu
accounting officer (eec209c)|accounting officer	sayman
accreditation	akreditasyon
accrue	tahakkuk etmek
achievement of the task	görevin tamamlanması
acquis communautaire	Topluluk Müktesebatı
acquisition	iktisap, kazanım, devralma
acquisition of shares	hisse iktisabı
acquittal	beraat
act	hareket,iş,fiil;belge;kanun,yasa
act declared void	hükümsüz ilan edilen tasarruf
act of the Council	Konsey tasarrufu
act of the Council (Council Act)|act of the Council	Konsey tasarrufu
acting in accordance with the procedure laid down in Article 252 of the Treaty	Antlaşmanın 252. Maddesinde öngörülen usule uygun şekilde hareket ederek
action	eylem;dava; davranış;tutum
action for compensation (ecsc47)|action for compensation	tazminat davası
action programme	eylem programı
Active implantable medical devices	Vücuda yerleştirilebilir aktif tıbbi cihazlar
activity	faaliyet,etkinlik
activity of the Commission	Komisyon faaliyeti
actual competitor	fiili rakip
add	katma, ekleme, ilave
added value	katma değer
Additional Protocol (1970)|Additional Protocol	Katma Protokol (1970)
additive	katkı maddesi
address	hitap etmek
administer	idare etmek, yönetmek
administrative arrangements (ecsc16)|administrative arrangements	idari düzenlemeler
administrative reform	idari reform
admission	kabul
adopt	kabul etmek;kanunlaştırmak (meclis); evlat edinme
adoption	kabul etme, kanunlaştırma, evlat edinme
adulteration	tağşiş
advanced treatment	ileri arıtma
advantage	fayda,yarar,avantaj
advertisement	reklam
advisory commitee on restrictive practices and dominant positions	sınırlayıcı uygulamalar ve hakim durumlar danışma kurulu
advisory committee	istişari komite, danışma komitesi
after consulting the Commission	Komisyona danıştıktan sonra
after the entry into force	yürürlüğe girmesinden itibaren
agency	kurum,ajans, daire,birim
agree	kararlaştırmak, anlaşmak, mutabakata varmak
agreement	anlaşma
Agreement on Pre-Shipment Inspection	Sevkiyat Öncesi Kontrole İlişkin Anlaşma
Agricultural and Forestry Tractors	Tarım veya Ormancılıkta Kullanılan Tekerlekli Traktörler
Agricultural Combat Research Institutes	Zirai Mücadele ve Araştırma Enstitüleri
agricultural currency unit	tarım hesap birimi
Agricultural Markets	Tarımsal Piyasalar
agricultural prices	tarım fiyatları
Agricultural Quarantine Directorates	Zirai Karantina Müdürlükleri
agriculture	tarım
Agriculture Sales Co-Operatives	Tarım Satış Kooperatifleri
aid	yardım
air	hava
air pollution measurement vehicle	hava kirliliği ölçüm aracı
air transport	hava taşımacılığı
alignment	uyumlu hale getirme
alleged infringement of an obligation (eec170(2))|alleged infringement of an obligation (eec170	yükümlülük ihlalinin ileri sürülmesi
allocate	tahsis etme, dağıtma, pay etme
allocated appropriation	tahsis edilen ödenek
allocation	tahsisat, dağıtım
allocation of funds	fon tahsisatı, fon tahsisi
