##name	English Hebrew Paganism
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2005/03/02, 23:59
##author	Carmit Mizrahi
##description	English Hebrew Dictionary for Pagan Religions, Mythology, Wicca, Folklore, Magic and Witchcraft.
##bgl_creationTime	2002/11/12, 08:30
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Aakuluujjusi	<B>(ש"פ) </B>אקולוג'וסי. <BR>אלת הפריון ובוראת העולם במיתולוגיה של שבטי האינואיט.
Aatxe	<B>(ש"פ)</B> אטזה. <BR>במיתולוגיה הבאסקית רוח רעה בדמות פר (לעתים גם בדמות אדם) המגיחה מחורה בימות סערה. משמעות שמו: עגל, פר צעיר.
Abaangui	<B>(ש"פ)</B> אבָּנְגואי. <BR>אל במיתולוגיה של שבט גארני (בוליביה, פרגוואי, ברזיל וארגנטינה). סיפורו הוא סיפור בריאת הירח: האל כרת את אפו, האף התעופף השמימה והפך לסהר.
Abaasy	<B>(ש"פ)</B> אבאסי. <BR>שוכני העולם התחתון בעלי שיני הברזל במיתולוגיה של שבט יקוט (צפון מזרח סיביר וצפון מונגוליה). האבאסי מתהלכים תמיד בשביעיות.
Ababilini	<B>(ש"פ)</B> אבביליני. <BR>רוח האש במיתולוגיה של שבט צ'יקסו האינדיאני (מיסיסיפי, קנטאקי, אלבמה, טנסי, אוקלהומה). משמעות השם: "יושב במרומים".
Abadir	<B>(ש"פ)</B> אב אדיר. <BR>כינוי לאל, מלך האלים במיתולוגיה הפניקית.
Abandinus	<B>(ש"פ)</B> אבנדינוס. <BR>אל קלטי רומאי.
Abaris|Hyperborean|The Hyperborean	<B>(ש"פ)</B> אבריס. <BR>כהן אפולו שנמלט מסקיתיה ליוון בגלל מגפה. אפולו נתן לו חץ זהב מכושף שבכוחו היה להפוך את הכהן לרופא ואינו נראה, לאפשר לו לעוף, לרפא מחלות ולהגיד עתידות. על פי האגדה נתן אבריס את החץ הקסום לפיתגורס.
Abarta	<B>(ש"פ)</B> אברטה. <BR>אל אירי קלטי, מן הטואטה דה דנאן. פירוש שמו 'מבצע מעשי הגבורה'.
Abas	<B>(ש"פ)</B> אבאס. במיתולוגיה היוונית כמה דמויות בשם זה: <BR>1. בן היפרמנסטרה מלכת ארגוס.<BR>2. ע"פ אובידיוס, ידיד דיומדס, שאפרודיטה הפכה לברבור.<BR>3. ע"פ אובידיוס, ידיד פרסאוס.<BR>4. ע"פ וירגיליוס, ידיד טרויאני של איניאס.<BR>5. ע"פ וירגיליוס, ידיד אטרוסקי של איניאס.
Abassi	<B>(ש"פ)</B> אבאסי. במיתולוגיה של האֶפִיק (מזרח ניגריה), האל שברא את בני האדם מעפר במצוות אשתו, אך אסר עליהם להתרבות ולעבוד.
Abathur|Abatur	<B>(ש"פ)</B> אבתור. "בעל המאזניים" במיתולוגיה הפרסית. יצור שוכן שאול שתפקידו לשקול את נשמות המתים ולהחליט האם מקומם בגן העדן או בגיהנום. מסמל את "החיים השלישיים".
Abatur	<B>(ש"פ)</B> אבטור, אבתור. אבי דמיורגוס באמונה הגנוסטית.
Abba Amona	<B>(ש"פ)</B> אבא אמונה. הזיווג האלוהי בקבלה.
Abderus	<B>(ש"פ)</B> אבדרוס. במיתולוגיה היוונית, ידיד הרקלס שהופקד לשמור על סוסות דיומדס, אך הן טרפו אותו. על פי האגדה ייסד הרקלס את העיר אבדרה בתרקיה לזכרו.
Abdiel	<B>(ש"פ)</B> אבדיאל. על פי "גן העדן האבוד" לג'ון מילטון, שרף שעמד לצידו של השטן כשניסה להדיח את המלאכים למרד.
Abdrianahoabu	<B>(ש"פ)</B> אבדריאנוהאבו. במיתולוגיה של תושבי מדגסקר, אלה ממשפחת זנקארי. גבירה נעלה היורדת לעולם בעזרת שלשלת כסף.
Abellio	<B>(ש"פ)</B> אבליו. אל עצי התפוחים הגלי. מקורו בעמק גרון בצרפת.
Abeona	<B>(ש"פ)</B> אבאונה. במיתולוגיה הרומאית, האלה השומרת על הילדים העוזבים את הבית. תאומתה אדאונה שומרת על הילדים השבים הביתה.
Abgal|Apkallu	<B>(ש"פ)</B> אבגל. במיתולוגיה השומרית, שבעת אנשי הדגים החכמים שעלו מן המים המתוקים של אפסו והמשרתים את אנקי אל המים והחוכמה.
Abhean	<B>(ש"פ)</B> אבין, אבאין. אל אירי קלטי, נגן הנבל של הטואטה דה דנאן.
Abnoba	<B>(ש"פ)</B> אבנובה. אלת נהר, יערות וציד קלטית רומאית.
Abora	<B>(ש"פ)</B> אבורה. אל השמים במיתולוגיה של תושבי האי פלמה (האיים הקנריים).
Absu|Abzu|Apsu	<B>(ש"פ)</B> אבזו, אפסו. במיתולוגיה המסופוטמית, אל המים המתוקים. בראשית היו רק אפסו המים המתוקים ותהמת המים המלוחים.
Abuk	<B>(ש"פ)</B> אבוק. במיתולוגיה של שבט הדינקה (דרום סודן), האשה הראשונה ואלת הנשים והגנים.
Abundantia	<B>(ש"פ)</B> אבונדנטיה. במיתולוגיה הרומאית, אלת השפע, הפריון והמזל הטוב. היא אלת קרן השפע, השופעת כסף ותבואה.
Abydos	<B>(ש"פ)</B> אבידוס. במיתולוגיה המצרית, עיר קדושה לאוסיריס, שם על פי האגדה קבורה גופתו.
Ac Yanto	<B>(ש"פ)</B> אק ינטו. אל הגברים הלבנים במיתולוגיה של המאיה.
Acadine	<B>(ש"פ)</B> אקדין. במיתולוגיה היוונית, מעיין אגדי בסיציליה
Acamas	<B>(ש"פ)</B> אקָמס. במיתולוגיה היוונית, בנם של תזאוס ופיידרה. היה אחד מן הלוחמים היוונים שהסתתרו בתוך הסוס הטרויאני.
Acan	<B>(ש"פ)</B> אָקַן. אל היין במיתולוגיה של המאיה.
Acanthia	<B>(ש"פ)</B> אקנתיה. במיתולוגיה היוונית, רוח שיח הקוציץ. היא היתה נימפה שאהבה השמש, וכשמתה הפכה לצמח אוהב שמש.
Acanthis	<B>(ש"פ)</B> אקנתיס. בת אוטונוס והיפומניה, אחות אקנתוס. היא בכתה על מות אחיה והאלים הפכוה לחוחית.
Acanthus	<B>(ש"פ)</B> במיתולוגיה היוונית, בנם של אוטונוס והיפומניה. סוסי אביו קרעוהו לגזרים. אחותו ביכתה את מותו והפכה לחוחית.
Acarnan	<B>(ש"פ)</B> אקרנן. במיתולוגיה היוונית בנו של אלקמנון.
Acastus	<B>(ש"פ)</B> אקסטוס. במיתולוגיה היוונית מלך יולקוס, בנו של פליאס ואחד מן הארגונאוטים.
Acat	<B>(ש"פ)</B> אָקַט. אל הקעקועים במיתולוגיה של המאיה.
Acca Larentia	<B>(ש"פ)</B> אקה לרנטיה. במיתולוגיה הרומאית, מאהבת הרקולס ואשת טרוטיוס. תרמה את הון בעלה לעם הרומאי לאחר מותו ולכן חוגגים לכבודה בחגיגת הלרנטליה (23 דצמבר). הלרנטליה היא במקורה חגיגת מתים לאלה לרנטיה. <HR><B>(ש"פ)</B> אקה לרנטיה. במיתולוגיה הרומאית, אשת הרועה פאוסטולוס, שגידלה את התאומים רומוס ורמולוס מייסדי העיר.
Accolon	<B>(ש"פ)</B> אקולון. במיתולוגיה הארתורית, אחד ממאהביה של מורגן לה פיי. מורגן גנבה את אקסקליבר, חרבו הקסומה של המלך ארתור והעניקה אותה לאקולון במתנה. ארתור יצא לקרב עם אקולון והשיב את החרב.
Acestes|Egestes	<B>(ש"פ)</B> אקסטס, אגסטס. במיתולוגיה היוונית, גיבור טרויאני שסייע לאיניאס בסיציליה.
Acgaeus	<B>(ש"פ)</B> אקגיאוס. במיתולוגיה היוונית נכדו של המלך ארכתאוס.
Achaemenides	<B>(ש"פ)</B> אכימנידס. במיתולוגיה היוונית, אחד ממלווי אודיסאוס שנותרו עם הקיקלופים בסיציליה. אכימנידס עזב את סיציליה עם איניאס שהגיע לאי מאוחר יותר.
Achall	<B>(ש"פ)</B> אכאל. במיתולוגיה האירית קלטית, נערה שמתה מצער לאחר שנהרג אחיה בקרב.
Achates	<B>(ש"פ)</B> אכטיס. במיתולוגיה היוונית, ידיד של איניאס.
Achelois	<B>(ש"פ)</B> אכלואיס. במיתולוגיה היוונית, אלת ירח ושיכוך כאבים. האורקל הדודוני הורה להקריב לה קרבנות.
Achelous	<B>(ש"פ)</B> אכלואוס. אל נהר יווני. בנם הבכור של אוקיינוס ותטיס, נלחם עם הרקולס על ידה של דיאנירה והובס. דמותו גבר מזוקן בעל גוף שור או איש זקן בעל קרניים.
Acheron	<B>(ש"פ)</B> אכרון. נהר ביוון. על פי האמונה היוונית, הוא זורם עד ממלכת האדס בשאול, מפני שבחלקים מסוימים הוא זורם בערוצים צרים, עמוקים וחשוכים. <BR>
Acherusia	<B>(ש"פ)</B> אכרוסיה. במיתולוגיה היוונית, שם מערה אליה גרר הרקלס את קרברוס כלב השאול.
Achilles	<B>(ש"פ)</B> אכילס. גיבור יווני שכל גופו פרט לעקבו היה מחוסן ממוות. נהרג בידי חץ ששילח פריס בעקבו במהלך מלחמת טרויה. מכאן הביטוי 'עקב אכילס'.
Achtan	<B>(ש"פ)</B> אכטן. במיתולוגיה האירית קלטית, גיבורה ואמו של המלך קורמק.
Achtland	<B>(ש"פ)</B> אכטלנד. במיתולוגיה הקלטית, מלכה שלא שבעה תשוקתה מגברים, ולכן לקחה לה ענק לבעל.
Acidalia	<B>(ש"פ)</B> אסידליה. כינוי לאלה היוונית אפרודיטה, על שם מעיין בו נהגה לטבול.
Acis	<B>(ש"פ)</B> אסיס. במיתולוגיה היוונית, רועה צעיר, בנו של דיוניסוס. הקיקלופ פוליפמוס, שנאבק עמו על לבה של גלטאה, השליך עליו אבן והרגו.
Aclla	<B>(ש"פ)</B> אקלה. בתולות השמש הקדושה בתרבות האינקה. האקלה היו כוהנות שהקריבו עצמן בעיתות מצוקה קשות כדי להפיס את זעם האלים.
Acmon	<B>(ש"פ)</B> אקמון. במיתולוגיה היוונית, ידיד של איניאס.
Acoetes	<B>(ש"פ)</B> אקואטס. במיתולוגיה היוונית, רב חובל של אונייה שעל סיפונה הפליג דיוניסוס, מחופש לעלם יפה תואר. הוא הציל את האל מידי הספנים שרצו לחטוף אותו והפך לכהן בנקסוס. דיוניסוס הפך את הספנים לדולפינים.
Acolmitzli	<B>(ש"פ)</B> אייקולמיצלי. אל שאול אצטקי.
Acolnahuacatl	<B>(ש"פ)</B> אייקולנוואקטל. אל שאול אצטקי.
Acoran	<B>(ש"פ)</B> אקורן. אל עליון באי גרן קנריה (האיים הקנריים).
Acrisius|Akrisios	<B>(ש"פ)</B> אקריזיוס. במיתולוגיה היוונית, מלך שכלא את בתו דנאי במגדל ארד לאחר שניבאו לו שבנה יהרוג אותו. זאוס מלך האלים התאהב בדנאי וחדר לכלאה בצורת גשם של זהב. מאיחודם נולד פרסאוס, שלימים הרג את אקריזיוס בתאונה.
Acteon|Actaeon	<B>(ש"פ)</B> אקטאון. צייד יווני שהאלה ארטמיס הפכה לאייל לאחר שראה אותה מתרחצת באגם.
Actor	<B>(ש"פ)</B> אקטור. במיתולוגיה היוונית, מלך אופוס בלוקריס, אבי מנואטיוס ואסטיוכה.
Acuecucyoticihuati	<B>(ש"פ)</B> אֵייקְוֵוקוֹקְיוֹיטִיקִיוָוטי. אלת האוקיינוס, הנהרות, הנחלים, המים הזורמים והלידה במיתולוגיה האצטקית.
Adaheli	<B>(ש"פ)</B> אדהלי. אל השמש בסורינם.
Adamanthea	<B>(ש"פ)</B> אדמנתיאה.
