##name	European Defence Agency Acronyms
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	European Defence Agency 
##copyright	� 2005-2008  <a href="http://www.eda.europa.eu/Default.aspx">European Defence Agency</a>. ( <a href="bword://About the European Defence Agency Acronyms">About</a> )
##description	The List of EDA acronyms (as of 21st September 2007) contains the most relevant acronyms from the field of Europe's defence policy. <p>The European Defence Agency (EPA)was established under a <i>Joint Action of the Council of Ministers on 12 July, 2004</i>, "to support the Member States and the Council in their effort to improve European defence capabilities in the field of crisis management and to sustain the <i>European Security and Defence Policy</i> as it stands now and develops in the future�.</p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/24, 05:38
##bgl_middleUpdated	2008/03/24, 05:51
##bgl_lastUpdated	2008/03/24, 05:51
21st CSS	21st Century Soldier System<br>
3MAV	Materials & Mechanisms for Micro Aerial Vehicle Platform<br>
3yFF	3-year Financial Framework <br>
A/C	Aircraft<br>
AA	Administrative Arrangement<br>
AAR	Air-to-Air-Refuelling<br>
AAW	Anti-Air Warfare<br>
ACC	Air Component Command (or Commander)<br>
ACN	Airborne Communication Nodes <br>
ACOS	Assistant Chief of Staff<br>
ACT	Allied Command Transformation <br>
AD	Air Defence<br>
ADAMS	Allied Deployment and Movement System<br>
ADR	Accord Européen relatif au Transport International des Marchandises Dangereuses par Route<br>
ADT	Air Data Terminal <br>
AEJPT	Advanced European Jet Pilot Training<br>
AESA	Agence Européenne de la Sécurité Aérienne (also see the english acronym EASF)<br>
AET	Agency Establishment Team <br>
AEW	Airborne Early Warning <br>
AFV	Armoured Fighting Vehicle <br>
AGARD	Advisory Group for Aerospace Research & Development <br>
AGS	Air to Ground Surveillance or Alliance Ground Surveillance<br>
AHP	Ad Hoc Project <br>
AHPG	Ad Hoc Project Group<br>
AI	Air Interdiction<br>
AIFV	Armoured Infantry Fighting Vehicle<br>
ALASM	Air Launched Anti-Ship Missile<br>
ALOA	Advanced Low Observable Materials<br>
AMB	Agency Management Board <br>
