##name	Finance, Economy, Law and Business
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2005/08/13, 09:30
##author	Yael Sela-Shapiro
##description	This glossary holds financial, economic and legal terms. All terms are verified. \nPlease note that some terms may have more than one translation.
##browsingEnabled	
##bgl_creationTime	2004/02/25, 07:52
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
BPR	הבנייה מחדש (תהליך ב-TQM)
CEEMEA|Central Eastern Europe Middle East & Africa	Central Eastern Europe Middle East &amp; Africa <BR>מרכז ומזרח אירופה, המזרח התיכון ואפריקה
Exchange Traded Funds|ETF|Exchange Traded Fund	תעודות סל
IAS|international auditing standard	תקן בינלאומי לביקורת פנים (חשבונאות)
IASB|International Accounting Standards Board	מועצת התקינה החשבונאית הבינלאומית
IFRS	תקנים בילאומיים של דיווח כספי<BR>
NFPS	מוסדות ציבוריים שאינם פיננסיים
account balance	יתרת חשבון
accounting cycle	מחזור חשבונאי
accounting estimate|accounting estimates	אומדן חשבונאי
accounting profit|accounting profits	רווח חשבונאי
accounts payable	חשבונות זכאים
accounts receivable|receivable	חשבונות חייבים
accrue	לצבור
accrued	נצבר/ת
accumulated depreciation	פחת צבור
activity	פעילות
actual	בפועל
adjusment	התאמה (סוג של רישום חשבונאי)
adjusting entry	רישום התאמה
affiliated	מסונף
allowance for uncollectible|allowance	הפרשה לחובות מסופקים
american depository Receipt|ADR	תעודת פדיון אמריקאית
amortization	ירידת ערך
analytical review	סקירה אנליטית
annuity	אנונה
annuity due	גמלה חלה
application control	בקרת יישומים
appraisal	הערכה (בניהול איכות)
assets turnover	יחס מחזור נכסים<BR>
associate	גוף מסונף, למשל חברה מסונפת
atrribute	תכונה
attribute sampling	דגימת תכונות
attribution method	שיטת הייחוס
auditor	מבקר
backlog	צֶבר
balance sheet	מאזָן
bank statement	הודעת בנק
batch processing	עיבוד אצוות
beta	בטא (מדד סטטיסטי המבטא את אחוז השינוי בשערו של כל נייר כתוצאה משינוי של אחוז אחד במדד מולו מתבצעת הבדיקה (ברירת המחדל היא מול מדד כללי).)
bid	(להגיש) הצעת מחיר
bill of material	מפרט חומרים
billed price|billed	מחיר בחשבון
blanket order	הזמנה כוללת
bond discount	ניכיון על אג"ח
bond payable|bonds payable	אג"ח לפרעון
book value|book values	ערך מאזני (פנקסי)
breakeven	איזון, נקודת איזון
business combination	שילוב עסקי (חיבור של יחידות עסקיות לישות חשבונאית יחידה)
business interuption	הפרעה לפעילות עסקים
call back|callback	החזרת קריאה
call provision	כפיית המרה
capital budget	תקציב פיתוח / תקציב הון
capital consumption	צריכת הון
capital cost|cost of capital	עלות הון
capital outlay|outlay of capital	הוצאה הונית
carrying amount	סכום פנקסי / סכום בספרים
carrying cost	עלות החזקה
cash balance	יתרת מזומנים
cash disbursement	תשלומי מזומן
cash distribution	חלוקת מזומנים
cash receipt|cash received	תקבולים במזומן
cash sale	מכירה במזומנים
cause	גורם
centralized	ריכוזי
charge account	חשבון חיובים
charter	כתב אמנה
checking digit	ספרת ביקורת
chief operating officer|COO	סמנכ"ל תפעול
chief people officer|cpo	מנהל משאבי אנוש
collection percentage|collections percentage	אחוזי גבייה
collection period	תקופת גבייה
commercial loan	הלוואה מסחרית
common law marriage	ידועים בציבור
common share	מניה רגילה
commonality	אחידות (בניהול איכות)
