##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
A l'indienne|? l'indienne|al'indienne	מינוח קולינרי צרפתי שמשמעו מנה בסגנון הודי, קרי מתובלת בקארי ומוגשת לצד/עם אורז
A la King|? la king|Ala King	(מצרפתית) רוטב בשמל המכיל פטריות, פלפל ירוק ופלפל אדום חריף כלשהו.
A la nicoise|a la ni?oise|a la nicoise|ni?oise|nicoise|ðéñåàæ	ניסואז ("כפי שמכינים בניס") - מרכיבים אינטגרליים במנות ניסואזיות :עגבניות, זיתים שחורים, שום ואנשובי<BR><B>סלט ניסואז</B> - סלט צרפתי קלאסי (כולל בין היתר תפו"א, ביצים, טונה, אנשובי, צלפים, עגבניות, זיתים ופלפלים)<BR>
Abalone|ormer|àåæï äéí	שבלול מאכל המכונה "אוזן הים"
Abbacchio|abbacchio|èìä	טלה
Acerola|West Indian cherry|West Indies cherry|acerola|barbados cherry|surinam cherry	פרי דמוי דובדבן (שיח אמריקאי טרופי) עשיר ביותר בויטמין סי.
Achiote|achiote|annatto oil|annattooil	שמן המופק מזרעי עץ האנטו
Acidic|acidic	חמוץ, חומצתי
Acrid|acrid	חריפות מרירה
Additive|additives	תוסף
Adobo|adobo	במקסיקו אדובו הוא רוטב צ'ילי<BR>מילה אדובו היא רוטב לסלט או חמוצים
Aftertaste|After taste	טעם לוואי שנותר לאחר האכילה/טעימה
Agar|Japanese gelatin	- רב סוכר המשמש לתעשיית המזון ולבישול ביתי<BR>- ג'לי מאצות המשמש כתרבית לבקטריות במעבדה
Agave	אגבה, זן של קקטוס נוי
Aging	יישון
Aioli|àéåìé	רוטב מיונז על בסיס שום (מקורו בפרובנס, צרפת)
Ajwain|Ajowan|Bishop's Weed|Carom	צמח תבלין בעל פירות הדומים לאלו של הקימל.<BR>דומה בטעמו לטימין אך פחות עדין ויותר חזק.
Ajwain Seed|Ajowan|Ajwain Seeds|AjwainSeed	תבלין פקיסטני (לרב משמש לתיבול מאכלי קטניות)
