##name	Glossary of Dance Terminology
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Don Deyne
##email	drdeyne@apci.net
##description	"This is MY glossary, meaning, it's the terms I use in my classes and in my step descriptions".
##browsingEnabled	
##bgl_creationTime	2000/06/19, 07:39
##bgl_middleUpdated	2000/08/02, 13:06
1C4EB105.png	File: 1C4EB105.png
367BE1EC.png	File: 367BE1EC.png
601EB54E.png	File: 601EB54E.png
62D3AFBB.png	File: 62D3AFBB.png
655D490D.png	File: 655D490D.png
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
E8A4818D.png	File: E8A4818D.png
ACROSS	Movement across the Line of Dance <B>or</B> <BR>Movement of one leg in front of the other
ALIGNMENT	The position of the body with relation to the Line of Dance<BR><BR><B>FLOOR ALIGNMENT:</B><BR><IMG src="367BE1EC.png" width="421" height="261"><BR>
AMALGAMATIONS aka CLUSTERS aka COMBINATIONS|AMALGAMATIONS|CLUSTERS|COMBINATIONS	A group or sequence of dance figures or patterns
AND	1 Half of a Quick count ( &amp; 1 or 1 &amp; ) 2 A Call such as &quotready and" 3 Indicates simultaneous action <BR>Note: In my step descriptions, the word &quotand" notes simultaneous actions &nbspwhile the figure "&amp;" indcates movement on a half beat of music
APART	1 Movement away from partner or one foot away from the other 2 Placement of feet apart frome each other (2nd position)
BALANCE	A step, together, hold
BALANCE STEP	A step in any direction, followed by a Close (no weight) and a Hold
BALL CHANGE	A change of weight from the ball of one foot to the other foot
BEHIND	A step with the free foot crossing behind the weighted foot
BODY MOVEMENTS GESTURE	Any movement not connected with supporting the body weight <I>
BODY RISE	The body rises by bracing the leg muscles and stretching the spine then relaxes to a natural stance
BOOGIE	The free hip lifts and moves in a circular motion in the direction of the weighted foot
BOOGIE ROLL	1. Similar to Cuban Motion, using a forward and backward movement of the pelvis 2. A circular movement starting in the pelvis region, moving through the diaphragm, chest and shoulders
BOOGIE WALK	To move the free leg by lifting the hip and stepping forward
BREAK	1 A change or reverse of direction 2 See <A href="bword://Rhythm Break">Rhythm Break </A>
BUMP	Dancers bump hips to the side or the buttocks of their partners
CENTER	<B>Individual</B><BR>: Balance point of the body mass - located near the diaphragm <BR><B>Couples</B><BR>: Center point between partners <BR>
CHAINE'|CHAINE	A 360 degree turn, feet together in first position, changing weight
CHASE	A figure where one partner pursues the other
CLOSE	To bring the feet together without a change of weight
CONGA aka 3 STEP TURN|3 STEP TURN|CONGA	A 360° turn in 2nd dance position, taking three weight changes and ending with a touch or point. Often called a turning or rolling vine, because of it's common usage as a variation within a dance
CONTRA BODY MOVEMENT (CBM)|CBM|CONTRA BODY MOVEMENT	A movement of the body into or from 3rd or 5th foot position which turns the opposite hip and shoulder toward the direction of the moving leg
COUNT	A call used to count the rhythm of foot movements and weight changes, or to count the beats of music
CROSS	To move one foot over the other, either in front or behind
CUBAN MOTION	Hip motion initiated by using the inside edge and ball of the foot during weight transfer
CUP AND PIN	The man holds his left hand with the palm facing inward, thumb over the lady's fingertips. The lady curls her right fingertips over the man's left fingers The hands are held approximately at the lady's waist level. There is resistance needed for many changes of positions and turns.
DANCE	Recurrent flow of foot and body movements
DIAGONAL	45 degrees out from the center of the Line of Dance (direction)
DIG	To touch the ball or heel of the free foot to the floor with a strong emphasis
DRAG aka SLIDE aka DRAW|DRAG|DRAW|SLIDE	To bring the free foot slowly together to the weighted foot<BR>
EXTENDED	Feet apart, heel pointing to instep
EXTENSION	To stretch or extend parts of the body
FAN	Circular motion of the free foot
FAN KICK	High, straight leg kick where the extended leg makes a circular sweep
FAST HEEL SPLIT	takes one beat of music and is counted as " 1" <BR>
FIFTH POSITION	Often used in a rock-step<BR><IMG src="601EB54E.png" width="21" height="56">
FIRST POSITION	Feet together, toes forward and slightly turned out CALLS Home, Center, Together <BR><IMG src="655D490D.png" width="27" height="30">
FLEX	To bend slightly or relax a portion of the body <I>Example</I> the flex of the knee
FLICK	Sharp, quick kick backwards with a pointed toe and a flexed knee
FOLLOW THROUGH	The non-support foot passes by the weighted foot before changing directions
FOOT PARTS	Toe Inside edge of toe Outside edge of toe Ball Inside edge of the ball Outside edge of the ball Heel Inside edge of heel Outside edge of heel Flat Inside edge of the flat foot Outside edge of the fiat foot
FOOTWORK	The use of the five positions of the feet in dancing
FOURTH POSITION	Walking step, forward or back, and rock steps<BR><IMG src="E8A4818D.png" width="27" height="56">
FRAME	Dance posture for the purpose of maintaining balance and appearance
FREE TURN	To turn independently without any body contact
FREEZE	A stop no movement
HEEL FAN	Heel swings outward, pivoting on ball of foot, and back
HEEL SPLIT aka WING SCISSORS PIGEON-TOE BUTTERFLIES ETC ETC ETC|HEEL SPLIT|WING SCISSORS PIGEON-TOE BUTTERFLIES ETC ETC ETC	Feet together with weight on balls of both feet. Move heels apart on count 1, and together on count 2<BR>
HOLD	A count to describe a designated time before taking another step<BR>
HOME	Original starting place
HOOK aka CROOSS|CROOSS|HOOK	The free foot moves as a pendulum in front of or in back of the weighted foot and is kept off the floor The toes pointing downward<BR>
HOOK COMBINATION	A 4 count move using (1) heel (2) hook (3) heel and (4) together
HOP	A spring into the air from one foot and landing on the same foot
IN PLACE,RECOVER|IN PLACE|RECOVER	Return the weight to the original supporting weighted foot
INSIDE	A turn to the left far the lady and right for the man
