##name	Glossary of the European Information Society
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2004/08/08, 09:47
##bgl_middleUpdated	2004/08/08, 09:47
##author	European Information Society
##copyright	� <a href="http://europa.eu.int/">European Communities</a>, 1995-2004
##description	This glossary contains words, abbreviations and acronyms providing easy and effective access to information regarding policies and activities of the EU
##browsingEnabled	
##bgl_creationTime	2004/07/28, 11:18
##purchaseAddress	
##email	linguistic-support@babylon.com
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
ACATS	Advisory Committee on Advance Television Service
ACP	African, Caribbean and Pacific countries
ACPE	Association of European Private Cable Operators
ACTS	ACTS* <font color=#B0B0B0>(* EU Programmes)</font><br>\n<A href="http://www.cordis.lu/acts/home.html" target="_blank">Advanced Communications Technologies and Service</A>
ADB	African Development Bank
ADSL	Asymmetric digital subscriber line
ADTT	Advanced Digital Television Technologies
AHCIET	<A href="http://www.ahciet.es/">www.ahciet.es</A><BR>Asociacion Hispanoamericana de Centros de Investigacion y empresas deTelecomunicaciones
AIM	AIM* <font color=#B0B0B0>(* EU Programmes)</font><br>\nAdvanced Informatics in Medicine
ALINVEST	Investment Program for Latin America
AMTIESA	Association of Management Training Institutions of Eastern and SouthernAfrica
APEC	<A href="http://www.apecsec.org.sg/" target="_blank">Asia-Pacific Economic Co-operation</A>
ASCII (American Standard Code for Information Interchange)|ASCII|American Standard Code for Information Interchange	It is the standard code system used on PCs. This is the de facto world-wide standard for the code numbers used by computers to represent all the upper and lower-case Latin letters, numbers, punctuation, etc. There are 128 standard ASCII codes each of which can be represented by a 7 digit binary number: 0000000 through 1111111.
ASEAN	<A href="http://www.asean.or.id/" target="_blank">Association of South-East Asian Nations</A>.The Association of Southeast Asian Nations or ASEAN was established on 8 August 1967 in Bangkok by the five original Member Countries, namely, Indonesia, Malaysia, Philippines, Singapore, and Thailand. Brunei Darussalam joined on 8 January 1984, Vietnam on 28 July 1995, Laos and Myanmar on 23 July 1997, and Cambodia on 30 April 1999.
ASEM	<A href="http://asem.inter.net.th/" target="_blank">Asian-European Meeting</A>
ASINVEST	Investment Program for Asia
ASYMMETRICAL Digital Subscriber Line (ADSL)|ADSL|ASYMMETRICAL Digital Subscriber Line	Existing telephone networks upgraded to allow VCR-quality video images (but not live orhigh-definition signals) to be transmitted.
ATM (Asynchronous transfer mode)|ATM|Asynchronous transfer mode	It is an international packet switching standard established by the CCITT. It is asystem for organising a digital signal in such a way as to allow very high speed transmission of the signal while making optimum use of the network's transmission capacity. A standard agreed for B-ISDN networks.
ATVA	American Television Alliance
AUPELF/UREF|AUPELF|UREF	Association des Universités Partiellement ou Entièrement de LangueFrançaise - Université des Réseaux d’Expression Française (association of partly or fully French-speaking universities - university of French-speaking networks)
Adapter	It is the PC translator that converts information to tidy packages that neatly flowdown networks wires. Every PC on a corporate network has one of these adapters, which comes in the form of circuit boards.
Addressability	The facility by which the subscriber's home equipment may be controlled remotely by acable operator, in order to allow the provision of pay-per-view programmes, changes in the level of the service, or disconnection.
Applications	Telematic services available in the professional and private spheres such as telework,telemedicine, tele-education and teletraining or telemanagement of traffic.
B-ISDN (Broadband ISDN)|B-ISDN|Broadband ISDN	A single network capable of carrying several different types of service, based onvoice, data, still or moving image - by means of digital transmission techniques. The ISDN (Integrated Services Digital Network) currently being deployed in Europe carries a communication of up to 2 Megabits/second (Narrowband ISDN). Future networks will carry higher speed communications (Broadband ISDN).
BID	Banco Interamericano de Desarollo
Bandwidth	Definition of the transmission capacity of a cable. Highest for fibre optic, lowest for copper telephone wire.
Baud	Numerical data transmission speed unit. 1 baud correspond to 1 bit/second. Theminimum speed of a modem is 9,600 bauds nowadays.
Bits/Bytes|Bits|Bytes|bit|byte	The smallest discrete elements in a binary system: eight bits comprise one byte.
Broadband	A popular way to move large amounts of voice, data and video. Broadband technology letsdifferent networks coexist on a single piece of heavy-duty wiring. It isolates signal as a radio does; each one vibrates at a different frequency as it moves down the line. Its opposite is baseband, which separates signals by sending them at timed intervals.
Bureautique	Hardware and software used in the framework of an office (e.g. word processing).
CALS	Computer-aided Acquisition and Logistic Support
CCITT	Comité Consultatif International Télégraphique et Téléphonique, International Telegraphy and Telephony ConsultativeCommittee (The previous name for the <A href="http://www.itu.int/" target="_blank">ITU</A>-T)
CEECs	Central and Eastern European Countries (<A href="http://europa.eu.int/ISPO/intcoop/i_ceec.html" target="_blank">CEECsand the Information Society</A>)
CEN	Comité Européen de Normalisation; <A href="http://www.cenorm.be/" target="_blank"> European Committee forStandardization</A>. CEN's mission is to promote voluntary technical harmonization in Europe in conjunction with worldwide bodies and its partners in Europe.
CEN-ISSS	<A href="http://www.cenorm.be/isss/" target="_blank">Information Society Standardization System</A>.The mission of CEN/ISSS is to provide market players with a comprehensive and integrated range of standardization-oriented services and products, in order to contribute to the success of the Information Society in Europe.
CENELEC	<A href="http://www.cenelec.be/" target="_blank">European Committee forElectrotechnical Standardization</A>, Comité Européen de Normalisation Electrotechnique. Together with its members, affiliates and co-operating partners is developing and achieving a coherent set of voluntary electrotechnical standards as a basis to a Single European Market / European Economic Area without internal frontiers for goods and services inside Europe.
CEPT	Conference Européenne des Postes et des Télécommunications; <A href="http://www.cept.org/" target="_blank"> European Conference of Postal and Telecommunications Administrations</A>
CERP	Conféderation Europénne des Relations Publiques, <A href="http://www.cerp.org/" target="_blank">Confederation of European Public Relations Professionals</A>. The main objective is to represent the European PR profession and to establish contacts, exchanges, and co-operative links between the PR associations and their members worldwide.
CIM	Computer Integrated Manufacturing
CIRCOM Regional	Association of regional television channels in Europe. <A href="http://www.circom-regio.si/" target="_blank">CIRCOM Regional</A>is a European television organisation formed in 1983 to provide a network for the major decision-makers in Europe's regional television. It yearly honours the best European regional productions with the prestigious Prix Circom.
COM	European Commission; Commission document: COM-documents are issued by theSecretariat-General of the Commission and contain proposals or other communications from the Commission to the Council and/or other institutions. (<A href="http://europa.eu.int/comm/index_en.htm" target="_blank">European Commission</A> on the Interinstitutional Webserver EUROPA)
COMTELCA	<A href="http://www.comtelca.hn/" target="_blank">Technical Commission on Telecommunications for Central America</A>
CORDIS	<A href="http://www.cordis.lu" target="_blank">Community R&amp;D Information Service</A>
COSATI	Committee on Scientific and Technological Information (US)
