##name	Harry Potter Books
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Payam Riahi
##email	payam_riahi_samani@yahoo.com
##description	This is a dictionary of all harry potter books' words and idioms that you can find the meaning of them easily and fast here.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/07/04, 10:45
##bgl_middleUpdated	2008/07/04, 13:58
Accio	Incantation for a summoning charm.<BR>
Acid Pops|pop|pops	Wizarding sweets that burn holes in your tongue. Available Honeydukes in Hogsmeade.
Aconite	plant used in potions. Also known as Monkshood or Wolfsbane.<BR>
Agrippa	A wizard depicted on a wizard trading card.<BR>
Aguamenti	A spell to create water.<BR>
Alchemy	Medieval science that was founded on the search to turn any metal into gold.<BR>
Alecto	A Death Eater, sister to Amycus<BR>
Alohomora	Door-unlocking spell.<BR>
Amortenti	The most powerful love potion in the world.<BR>
Amycus	Death Eater, brother to Alecto<BR>
Anapneo	A spell used to help when someone is choking.<BR>
Animagi	Wizards who can turn themselves into animals at will. The singular form is animagus.
Aparecium	Spell to make invisible ink visible.<BR>
Apparate	To transport oneself instantly to any destination. Apparating is difficult and must not be done without a license from the Department of Magical Transportation. There is a danger of splinching.
Aragog	A huge spider that lives in the Forbidden Forest.<BR>
Arithmancy	Ancient study of the magical properties of numbers.<BR>
Astronomy	Study of the stars and planets.<BR>
Aunt Marge	Dudley Dursley's dreadful aunt, sister to Vernon Dursley and no friend of Harry's.
Auror	Professional Dark-wizard-catcher.<BR>
Avada Kedavra|avada|kedavra	The Killing Curse. It brings about instant death in a flash of green light. There is no way of blocking it. It is one of the three Unforgivable Curses.
Azkaban	Prison fortress where wizarding criminals are sent. Guarded day and night by the terrifying Dementors, who drain peace, hope and happiness out of any human who comes too close to them.
Bagman, Ludo|bagman|ludo	Head of the Department of Magical Games and Sports at the Ministry of Magic. A former Quidditch player, he was a Beater on the Wimbourne Wasps team and played for England. He is large and blond, with a round, pink face.
Bagshot, Bathilda|bagshot|bathilda	Author of A History of Magic.<BR>
Bane	One of the centaurs who lives in the Forbidden Forest.<BR>
Basilisk	Snake-like creature whose eyes will turn you to stone.
Beater	Quidditch player who tries to knock the Bludgers towards the opposing team.<BR>
Beauxbatons Academy of Magic|acedemy|beauxbatons|magic	School of witchcraft and wizardry somewhere in Europe.
Bell, Katie|bell|katie	Chaser on the Gryffindor Quidditch team.<BR>
Bertie Botts' Every Flavor Beans|bertie|bott|botts|flavor bean	Wizarding jellybeans. Come in every flavor, including spinach, liver, tripe,sprout, curry, grass and even bogey and vomit flavors.<BR><BR>
Bezoar	Stone taken from the stomach of a goat. A bezoar will counteract the majority of poisons.
Binns, Professor|binns|professor	History of Magic teacher at Hogwarts. The only ghost teacher at the school. He fell asleep in front of the fire and forgot to wake up.
Black Forest|black|forest	Place in Germany where Professor Quirrel was rumored to have encountered vampires.
Black, Regulus|black|redulus	Sirius’s younger brother. He was killed by the Death Eaters.<BR>
Black, Sirius|black|sirius	Escaped prisoner from Azkaban; Harry’s godfather<BR>
Blast-Ended Skrewt|blast|ended|skrewt	Cross between a manticore and a fire crab. They have no recognisable head or eyes, but they explode intermittently at one end. Males have a sting like a scorpion and females have suckers on their bellies. Adult Skrewts have thick grey armour and may grow to be ten feet long.
Blood-flavored Lollipops|blood|flavored|lollipops	Lollipops for vampires.
Bloody Baron, the|baron|bloody	Resident ghost of Slytherin Tower.<BR>
Bludgers	Black balls that try to knock players off their brooms in Quidditch.<BR>
Bode, Broderick|bode|broderick	An employee in the Department of Mysteries in the Ministry of Magic.
Boggart	Shape-shifter that takes on the likeness of your worst fear.
Bones, Amelia Susan|amelia|bones|susan	Head of the Department of Magical Law Enforcement
Bones, Edgar|bones|edgar	A member of the original Order of the Phoenix; brother of Amelia Bones
Bones, Susan|bones|susan	A member of the D.A. Her aunt is Amelia Bones.<BR>
Borgin and Burkes|borgin|burkes	Dark Arts shop in Knockturn Alley.
Bouncing Bulb	Plant used in Herbology.
Bowtruckles	Magical creatures that appear to be made of bark or twigs; they usually live in trees that supply wand wood and subsist on wood-lice or fairy eggs (when they can get them).
Bozo	Photographer for the Daily Prophet.<BR>
Broomstick Servicing Kit|broomstick	Thirteenth birthday present for Harry from Hermione Granger. A black leather case containing a jar of Fleetwood's High-Finish Handle Polish, Tail-Twig Clippers, brass compass and a Handbook of Do-it-Yourself Broomcare.
Brown, Lavender|brown|lavender	Hogwarts pupil in the same year as Harry. She is in Gryffindor House and her best friend is Parvati Patil.
Bryce, Frank|bryce|frank	Muggle killed by Lord Voldemort. Frank worked as a gardener at the Riddle House in the village of Little Hangleton.
Bubble-Head Charm|bubble-head|charm	Magic that enables you to breathe underwater.<BR>
Bubotuber	Plant that resembles a black slug with swellings that contain a yellowish green liquid. Bubotuber pus is used to cure acne, but undiluted it causes sores and boils.
Buckbeak	Name of a Hippogriff: a large flying creature that is half bird and half horse.
Bulstrode, Millicent|bulstrode|milicent	Hermione Granger's duelling partner in the second year duelling club. Millicent is in Slytherin House, in Harry's year.
Burrow, The|burrow	Home of the Weasley family.
Butterbeer	Frothy, buttery drink served in Hogsmeade.<BR>
Cadogan, Sir|cadogan|sir	Knight from a portrait in the North Tower. Temporary guardian of Gryffindor Tower while the Fat Lady was being repaired.
Canary Creams|canary|cream	Trick custard-cream biscuits that turn the eater briefly into a canary. Invented by Fred and George Weasley.
Care of Magical Creatures|care|creature|creatures|magical	Class at Hogwarts that teaches students how to look after magical creatures.
Centaurs	Half-man, half-horse beings that live in the Forbidden Forest.
Chamber of Secrets, the|chamber|secrets	Concealed room created by Salazar Slytherin wherein he sealed an unknown horror that could only be freed by his true Heir to purge the school of those unworthy to study magic.
Chang, Cho|chang|cho	Seeker of the Ravenclaw Quidditch team. A year above Harry.
Charm	Spell that adds properties to an object or person.
Chaser	Quidditch player who tries to score using the Quaffle.
Chocoballs	Wizarding sweets full of strawberry mousse and clotted cream.
Chocolate Frogs|chocolate|frog	Wizard confectionery that contains collector's cards of famous witches and wizards.
Chudley Cannons, the|cannon|chudley	Ron Weasley's favorite professional Quidditch team. They wear bright orange and black robes and their motto is “Let’s all just keep our fingers crossed and hope for the best.”
Circe	A witch depicted on a wizard trading card.
Cleansweep 7	Type of broomstick used by Fred and George Weasley.
Clearwater, Penelope|clearwater|penelope	Percy Weasley's girlfriend.
Cliodna	A witch depicted on a wizard trading card.
Cockroach Clusters|cockroach	Wizarding sweets made from cockroaches.
Comet	Type of broomstick flown by Cho Chang.
Common Welsh Green|dragon	Type of dragon found in Britain.
Common room|common|room	Meeting room for each Hogwarts house.<BR>
Coote, Ritchie|coote|ritchie	Gryffindor’s newest Beater.<BR>
Cornish Pixies|Cornish|Pixies	Naughty little fairies that create havoc.
Crabbe, Vincent|Crabbe|Vincent	One of Draco Malfoy's stupid henchmen. Thickset and looks very mean. Has a pudding-basin haircut and a very thick neck. He is in Slytherin House.
Crackers	Small cardboard tubes are filled with candy and trinkets, then wrapped in brightly colored paper twisted at each end. When two people pull on opposite ends of the paper, the tube bursts open with a crack and the treats inside fall out.
Creevey, Colin|Colin|Creevey	Admirer of Harry who follows him constantly and is always taking his picture. A year below Harry in Gryffindor House.
Creevey, Dennis|Creevey|Dennis	Hogwarts pupil, younger brother of Colin Creevey. Dennis is three years below Harry in Gryffindor House.
Cribbages Wizarding|Cribbages|Wizarding	Crackers are party favors used in the United Kingdom at Christmastime.<BR>
Crockford, Doris|Crockford|Doris	Witch Harry meets in the Leaky Cauldron.
Crookshanks	Hermione Granger's pet cat. Ginger with thick and fluffy fur, he is a little bow-legged with a slightly crumpled face.
Crouch, Bartemius|Bartemius|Crouch	Head of the Department of International Magical Co-operation at the Ministry of Magic. He looks like a bank manager, with a toothbrush moustache, and is a great believer in rules.
Crouch, Bartemius, Junior|Bartemius|Crouch|Junior	Son of the above. He was imprisoned in Azkaban as a follower of Voldemort.<BR>
Cruciatus Curse|Cruciatus|Curse	Inflicts torture with the command <I>Crucio</I>. One of the three Unforgivable Curses.
Daily Prophet, the|Daily|Daily Prophet|Prophet	The national wizarding newspaper,.<BR>
Dark Mark, the|Dark|Mark	Sign of the Death Eaters: a skull with a serpent in its mouth.
Davies, Roger|Davies|Roger	Captain of the Ravenclaw Quidditch team.<BR>
Dearborn, Caradoc|Caradoc|Dearborn	A member of the original Order of the Phoenix; disappeared while fighting Voldemort.
Death Eaters|Death	Followers of Voldemort. They are summoned by the Dark Mark.
Deathday Party	Celebration held by the ghosts at Hogwarts to commemorate the day they died.
Defense Against the Dark Arts|Dark|Defense	Magic lessons at Hogwarts that teach students how to defend themselves against evil creatures such as werewolves and vampires.
Deflating Draught	Potion that counteracts a swelling solution. Causes swelled body parts to return to normal size.
Delacour, Fleur|Delacour|Fleur	Pupil at Beauxbatons. Beautiful, with long, silvery blonde hair; her grandmother was a Veela.
Delacour, Gabrielle|Delacour|Gabrielle	Younger sister of Fleur.
Delaney-Podmore, Sir Patrick|Delaney-Podmore|Sir Patrick	Leader of the Headless Hunt.
Deletrius	Spell to make something disintegrate.<BR>
Dementor	Creature who feeds on the happy emotions of humans. Dementors are employed as guards at Azkaban. The kiss of a Dementor will suck out a human's soul, leaving an emotionless shell.
Densaugeo	Spell causing teeth to grow.<BR>
Dervish and Banges	Wizarding equipment shop in Hogsmeade.<BR>
Diagon Alley	A long cobbled street filled with the most fascinating wizarding shops in the world. Accessible through the Leaky Cauldron pub in London.
Diffindo	Spell to make something split.<BR>
Diggle, Dedalus|Dedalus|Diggle	Wizard Harry met in the Leaky Cauldron. He also once bowed to Harry in a shop. A member of the revitalized Order of the Phoenix.
Diggory, Amos|Amos|Diggory	Father of Cedric. He is tall and has a brown beard.<BR>
Diggory, Cedric|Cedric|Diggory	Seeker on the Hufflepuff Quidditch team.
Disapparate	To disappear at will.
Disillusionment Charm	Works like an Invisibility Cloak, except instead of becoming invisible, you become the same color as your surroundings.
Dissendium	Spell that opens entrance to secret passage to Hogsmeade.<BR>
