##name	Health Information
##sourceLang	English
##targetLang	English
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	National Institutes of Health
##copyright	<a href='http://www.nih.gov/nidcd/health/glossary/glos1.htm'>National Institute of Deafness and Other Communication Disorders</a>
##description	General reference for frequently used medical terms.
##bgl_creationTime	2000/06/06, 06:15
##bgl_middleUpdated	2000/06/27, 11:15
Acoustic Neurinoma	tumor, usually benign, which may develop on the hearing and balance nerves and can cause gradual hearing loss, tinnitus, and/or dizziness. (sometimes called vestibular schwannoma). Also see Neurofibromatosis Type 2.
Acquired Deafness	loss of hearing that occurs or develops some time during the lifespan but is not present at birth.
Aguesia	loss of the sense of taste.
Albinism	lack of normal pigment in the skin, eyes, and hair.
Alport Syndrome	hereditary condition characterized by kidney disease, sensorineural hearing loss, and sometimes eye defects.
American Sign Language (ASL)|american-sign-language|asl	manual language with its own syntax and grammar, used primarily by people who are deaf.
Anosmia	absence of the sense of smell.
Aphasia	total or partial loss of the ability to use or understand language; usually caused by stroke, brain disease, or injury.
Aphonia	complete loss of voice.
Apraxia	inability to execute a voluntary movement despite being able to demonstrate normal muscle function.
Articulation Disorder	inability to correctly produce speech sounds (phonemes) because of imprecise placement, timing, pressure, speed, or flow of movement of the lips, tongue, or throat.
Assistive Devices	technical tools and devices such as alphabet boards, text telephones, or text-to-speech conversion software used to aid individuals who have communication disorders perform actions, tasks, and activities.
Audiologist	health care professional who is trained to evaluate hearing loss and related disorders, including balance (vestibular) disorders and tinnitus, and to rehabilitate individuals with hearing loss and related disorders. An audiologist uses a variety of tests and procedures to assess hearing and balance function and to fit and dispense hearing aids and other assistive devices for hearing.
Auditory Brainstem Response (ABR) test|auditory-brainstem-response-test	a test for brain functioning in comatose, unresponsive, etc., patients, and for hearing in infants and young children; involves attaching electrodes to the head to record electrical activity from the hearing nerve and other parts of the brain.
Auditory Nerve	eighth cranial nerve that connects the inner ear to the brainstem and is responsible for hearing and balance.
Auditory Perception	ability to identify, interpret, and attach meaning to sound.
Auditory Prosthesis	device that substitutes or enhances the ability to hear.
Augmentative Devices	tools that help individuals with limited or absent speech to communicate, such as communication boards, pictographs (symbols that look like the things they represent), or ideographs (symbols representing ideas).
Aural Rehabilitation	techniques used with people who are hearing impaired to improve their ability to speak and communicate.
Autism	brain disorder that begins in early childhood and persists throughout adulthood; affects three crucial areas of development: communication, social interaction, and creative or imaginative play.
Autoimmune Deafness	individual's immune system produces abnormal antibodies that react against the body's healthy tissues.
Balance	biological system that enables individuals to know where their bodies are in the environment and to maintain a desired position. Normal balance depends on information from the labyrinth in the inner ear, from other senses such as sight and touch, and from muscle movement.
Balance Disorder	disruption in the labryrinth, the inner ear organ that controls the balance system, which allows individuals to know where their bodies are in the environment. The labyrinth works with other systems in the body, such as the visual and skeletal systems, to maintain posture.
Barotrauma	injury to the middle ear caused by a reduction of air pressure.
Benign Paroxysmal Positional Vertigo (BPPV)|benign-paroxysmal-positional-vertigo|bppv	balance disorder that results in sudden onset of dizziness, spinning, or vertigo when moving the head.
Brainstem Implant	auditory prosthesis that bypasses the cochlea and auditory nerve. This type of implant helps individuals who can not benefit from a cochlear implant because the auditory nerves are not working.
