##name	Hepatitis Central (TM) Liver Disease Medical Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Vikki Shaw
##copyright	<a href=http://hepatitis-central.com/hcv/glossary/main.html></a>
##email	hepatitis-central@hepatitis-central.com
##description	Medical terms for liver disease with an emphasis on Hepatitis.
##browsingEnabled	
##bgl_creationTime	2000/08/15, 12:19
##bgl_middleUpdated	2000/08/23, 12:23
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
(-)sense RNA (minus-sense RNA)|(-)sense RNA|minus-sense RNA	A virus with a single-stranded RNA genome of the opposite polarity ('sense') as mRNA <BR>
(+)sense RNA (plus-sense RNA)|(+)sense RNA|plus-sense RNA	A virus with a single-stranded RNA genome of the same polarity ('sense') as mRNA<BR>
(HTL)--Helper T Cell|HTL|Helper T Cell	Helper T Cells are activated by binding to an HTL specific epitope presented by cells in a similar fashion as CTL epitopes are presented. When activated, HTLs help expand the immune response by releasing chemicals which stimulate the CTL response and the B-cell antibody responses
17-KS	17-ketosteroids
A&P	Abdominal & Perineal
a.c.|a c|ac	Ante Cibum--Before Meals
A.E.|A E|AE	Adverse Experience
A.E.R.|A E R|AER	Adverse experience report: A document in a prespecified format used to collect information on all reportable adverse experiences
AABB	American Association of Blood Banks
AAFP	American Academy of Family Physicians
AAH	Acute Alcoholic Hepatitis
AAI	American Association of Immunologists
AAPB	American Association of Pathologists and Bacteriologists
AASLD	American Association for the Study of Liver Disease
AAV	Adeno Associated Virus
ab	Prefix meaning away from, from
Ab	Abbreviation for Antibody
AB	Abdominal
Abacterial	Free from bacteria
Abasia	Inability to walk
Abate	To lessen or decrease
Abatement	A decrease in the severity of a pain or a symptom
ABC	Aspiration biopsy cytology
ABD	Abdomen, Abdominal
ABDOM	Abdomen, Abdominal
Abdomen	Gut, part of the body that contains the stomach, liver, intestines, spleen and other organs. Large cavity between the chest and the pelvis
Abdominal	Related to the gut
Abdominal Distention	Increased abdominal girth
