##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
"Buggin's turn"|buggin's|buggins	A system of rotating the top job as chief of the United Kingdom's defence staff through the three [armed-] services.<BR>
"Co-Fart"	Chief of Field and Regional Training<BR>
"O Level"|Olevel	Organizational Level Maintenance
3M	Maintenance, material, Management
A	Armament
A-10|A10	Thunderbolt armored ground-attack aircraft
A&E	Architectural/Engineering; Ammunition and Explosives
A&T	Assembly and Test
A/A	Air to Air
A/F	Arm/Fire
A/I/M	Accident/ Incident/ Malfunction
A/R	Arrests/RAST
A/S	Anti-Submarine (British usage)
A/V	Air Vehicle
A2C2	Army Airspace Command and Control
AA	Anti-Aircraft
AA&E	Arms, Ammunition and Explosives
AAA	Anti-Aircraft Artillery
AAAM	Advanced Air-to-Air Missile <BR>
AAAS	Anti-Aircraft Artillery Simulator <BR>
AAB	Aviation Armament Bulletin
AABFS	Amphibious Assault Bulk Fuel System
AAC	Aviation Armament Change
AACG	Arrival Airfield Control Group
AACTS	Automatic Anechoic Chamber Test System
AADARS	Afloat Automated Data Acquisition and Retrieval System
AADC	All Applications Digital Computer
AAE	Aerospace Ancillary Equipment; Aircraft Armament Equipment
AAFIS	Advanced Avionics Fault Isolation System
AAI	American Armament, Inc.
AAL	Acquisition After Launch; Additional Authorization List; Authorized Allowance List
AALS	Amphibious assault landing ship
AALW	Assembled Air Launched Weapon
AAM	Air-to-Air Missile; Automated Acquisition Module
AAMO	Assistant Aircraft Maintenance Officer
AAmr	Antiarmor
AAOE	Arrival and Assembly Operation Elements
AAOG	Arrival and Assembly Operations Group
AAP	Allied Administrative Publication
AAR	Aircraft Accident Report
AARB	Advanced aerial refueling boom
AARM	Advanced Anti-Radiation Missile
AAS	Automated Accounting System
AASP	Airfield Ammunition Supply Point
AATS	Armament Auxiliaries Test Set
AAURTS	AMRAAM AUR Test Set
AAV	Airborne Assault Vehicle; Amphibious Assault Vehicle
AAVI	AMRAAM Air Vehicle- Instrumented
AAW	Anti-Air Warfare
AAWC	Anti-Air Warfare Commander/Center
AAWS	Automatic Attack Warning System; Anti-Air Warfare System; Airborne Adverse Weather Weapons System
AAWS-H|aawsh	Advanced Anti-Tank Weapon System - Heavy
AAWS-M|aawsm	Advanced Anti-Tank Weapon System - Medium
