##name	Jargon File
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2001/05/15, 11:49
##author	Kiril Serebnik
##email	Kiril.Serebnik@intel.com
##description	Reproduced from Jargon File version 4.2.0 (www.texudo.org/~esr/jargon). \nVersion 0.3\nThe version contains some minor changes and bug fixes\n(the original .gls file available by request - just drop a mail to me)
##browsingEnabled	
##bgl_creationTime	2000/09/26, 11:34
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
(TM)	<I> // </I> [Usenet] ASCII rendition of the trademark-superscript symbol appended to phrases that the author feels should be recorded for posterity, perhaps in future editions of this lexicon. Sometimes used ironically as a form of protest against the recent spate of software and algorithm patents and `look and feel' lawsuits. See also <B><A href='bword://UN*X'>UN*X</A></B>.
0	<I> </I> Numeric zero, as opposed to the letter `O' (the 15th letter of the English alphabet). In their unmodified forms they look a lot alike, and various kluges invented to make them visually distinct have compounded the confusion. If your zero is center-dotted and letter-O is not, or if letter-O looks almost rectangular but zero looks more like an American football stood on end (or the reverse), you're probably looking at a modern character display (though the dotted zero seems to have originated as an option on IBM 3270 controllers). If your zero is slashed but letter-O is not, you're probably looking at an old-style ASCII graphic set descended from the default typewheel on the venerable ASR-33 Teletype (Scandinavians, for whom Ø is a letter, curse this arrangement). (Interestingly, the slashed zero long predates computers; Florian Cajori's monumental "A History of Mathematical Notations" notes that it was used in the twelfth and thirteenth centuries.) If letter-O has a slash across it and the zero does not, your display is tuned for a very old convention used at IBM and a few other early mainframe makers (Scandinavians curse <EM>this</EM> arrangement even more, because it means two of their letters collide). Some Burroughs/Unisys equipment displays a zero with a <EM>reversed</EM> slash. Old CDC computers rendered letter O as an unbroken oval and 0 as an oval broken at upper right and lower left. And yet another convention common on early line printers left zero unornamented but added a tail or hook to the letter-O so that it resembled an inverted Q or cursive capital letter-O (this was endorsed by a draft ANSI standard for how to draw ASCII characters, but the final standard changed the distinguisher to a tick-mark in the upper-left corner). Are we sufficiently confused yet?
120 reset	<I> /wuhn-twen'tee ree'set/ n. </I> [from 120 volts, U.S. wall voltage] To cycle power on a machine in order to reset or unjam it. Compare <B><A href='bword://Big Red Switch'>Big Red Switch</A></B>, <B><A href='bword://power cycle'>power cycle</A></B>.
1TBS	<I> // n. </I> The "One True Brace Style"; see <B><A href='bword://indent style'>indent style</A></B>.
2	<I> infix. </I> In translation software written by hackers, infix 2 often represents the syllable <EM>to</EM> with the connotation `translate to': as in dvi2ps (DVI to PostScript), int2string (integer to string), and texi2roff (Texinfo to [nt]roff). Several versions of a joke have floated around the internet in which some idiot programmer fixes the Y2K bug by changing all the Y's in something to K's, as in Januark, Februark, etc.
4.2	<I> /for' poynt too'/ n. </I> Without a prefix, this almost invariably refers to <B><A href='bword://BSD'>BSD</A></B> Unix release 4.2. Note that it is an indication of cluelessness to say "version 4.2", and "release 4.2" is rare; the number stands on its own, or is used in the more explicit forms 4.2BSD or (less commonly) BSD 4.2. Similar remarks apply to "4.3", "4.4" and to earlier, less-widespread releases 4.1 and 2.9.
404	<I> // n. </I> [from the HTTP error "file not found on server"] Extended to humans to convey that the subject has no idea or no clue - sapience not found. May be used reflexively; "Uh, I'm 404ing" means "I'm drawing a blank".
404 compliant	<I> adj. </I> The status of a website which has been completely removed, usually by the administrators of the hosting site as a result of net abuse by the website operators. The term is a tongue-in-cheek reference to the standard "301 compliant" Murkowski Bill disclaimer used by spammers. See also: <B><A href='bword://spam'>spam</A></B>, <B><A href='bword://spamvertize'>spamvertize</A></B>.
@-party	<I> /at'par`tee/ n. </I> [from the @-sign in an Internet address] (alt. `@-sign party' /at'si:n par`tee/) A semi-closed party thrown for hackers at a science-fiction convention (esp. the annual World Science Fiction Convention or "Worldcon"); one must have a <B><A href='bword://network address'>network address</A></B> to get in, or at least be in company with someone who does. One of the most reliable opportunities for hackers to meet face to face with people who might otherwise be represented by mere phosphor dots on their screens. Compare <B><A href='bword://boink'>boink</A></B>.<P>The first recorded @-party was held at the Westercon (a California SF convention) over the July 4th weekend in 1980. It is not clear exactly when the canonical @-party venue shifted to the Worldcon but it had certainly become established by Constellation in 1983. Sadly, the @-party tradition has been in decline since about 1996, mainly because having an @-address no longer functions as an effective lodge pin.
abbrev	<I> /a'bend/, /*-bend'/ n. </I> [ABnormal END] 1. Abnormal termination (of software); <B><A href='bword://crash'>crash</A></B>; <B><A href='bword://lossage'>lossage</A></B>. Derives from an error message on the IBM 360; used jokingly by hackers but seriously mainly by <B><A href='bword://code grinder'>code grinder</A></B>s. Usually capitalized, but may appear as `abend'. Hackers will try to persuade you that ABEND is called `abend' because it is what system operators do to the machine late on Friday when they want to call it a day, and hence is from the German `Abend' = `Evening'. 2. [<I>alt.callahans</I>] Absent By Enforced Net Deprivation - used in the subject lines of postings warning friends of an imminent loss of Internet access. (This can be because of computer downtime, loss of provider, moving or illness.) Variants of this also appear: ABVND = `Absent By Voluntary Net Deprivation' and ABSEND = `Absent By Self-Enforced Net Deprivation' have been sighted.
ABEND	<I> /a'bend/, /*-bend'/ n. </I> [ABnormal END] 1. Abnormal termination (of software); <B><A href='bword://crash'>crash</A></B>; <B><A href='bword://lossage'>lossage</A></B>. Derives from an error message on the IBM 360; used jokingly by hackers but seriously mainly by <B><A href='bword://code grinder'>code grinder</A></B>s. Usually capitalized, but may appear as `abend'. Hackers will try to persuade you that ABEND is called `abend' because it is what system operators do to the machine late on Friday when they want to call it a day, and hence is from the German `Abend' = `Evening'. 2. [<I>alt.callahans</I>] Absent By Enforced Net Deprivation - used in the subject lines of postings warning friends of an imminent loss of Internet access. (This can be because of computer downtime, loss of provider, moving or illness.) Variants of this also appear: ABVND = `Absent By Voluntary Net Deprivation' and ABSEND = `Absent By Self-Enforced Net Deprivation' have been sighted.
accumulator	<I> n. obs. </I> 1. Archaic term for a register. On-line use of it as a synonym for `register' is a fairly reliable indication that the user has been around for quite a while and/or that the architecture under discussion is quite old. The term in full is almost never used of microprocessor registers, for example, though symbolic names for arithmetic registers beginning in `A' derive from historical use of the term `accumulator' (and not, actually, from `arithmetic'). Confusingly, though, an `A' register name prefix may also stand for `address', as for example on the Motorola 680x0 family. 2. A register being used for arithmetic or logic (as opposed to addressing or a loop index), especially one being used to accumulate a sum or count of many items. This use is in context of a particular routine or stretch of code. "The FOOBAZ routine uses A3 as an accumulator." 3. One's in-basket (esp. among old-timers who might use sense 1). "You want this reviewed? Sure, just put it in the accumulator." (See <B><A href='bword://stack'>stack</A></B>.)
ACK	<I> /ak/ interj. </I> 1. [common; from the ASCII mnemonic for 0000110] Acknowledge. Used to register one's presence (compare mainstream <EM>Yo!</EM>). An appropriate response to <B><A href='bword://ping'>ping</A></B> or <B><A href='bword://ENQ'>ENQ</A></B>. 2. [from the comic strip "Bloom County"] An exclamation of surprised disgust, esp. in "Ack pffft!" Semi-humorous. Generally this sense is not spelled in caps (ACK) and is distinguished by a following exclamation point. 3. Used to politely interrupt someone to tell them you understand their point (see <B><A href='bword://NAK'>NAK</A></B>). Thus, for example, you might cut off an overly long explanation with "Ack. Ack. Ack. I get it now".<P>There is also a usage "ACK?" (from sense 1) meaning "Are you there?", often used in email when earlier mail has produced no reply, or during a lull in <B><A href='bword://talk mode'>talk mode</A></B> to see if the person has gone away (the standard humorous response is of course <B><A href='bword://NAK'>NAK</A></B> (sense 2), i.e., "I'm not here").
