##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in\ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>.\n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p>\n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
1NCD	1st Naval Construction Division <br>
1st	IOC 1st Information Operations Command (Land) <br>
2-D	two-dimensional   <br>
2E	Role 2 enhanced <br>
2LM	Role 2 light maneuver <br>
3-D	three-dimensional   <br>
A	analog   <br>
A&P	administrative and personnel <br>
A-5	Plans Directorate (COMAFFOR) <br>
A/C	aircraft   <br>
A/D	analog-to-digital   <br>
A/DACG	arrival/departure airfield control group <br>
A/DCG	arrival/departure control group <br>
A/ETF	automated/electronic target folder <br>
A/G	air to ground <br>
A/M	approach and moor <br>
A/NM	administrative/network management  <br>
A/S	anti-spoofing   <br>
AA	assessment agent; avenue of approach  <br>
AA&E	arms, ammunition, and explosives <br>
AAA	antiaircraft artillery; arrival and assembly area; assign alternate area <br>
AAAS	amphibious aviation assault ship <br>
AABB	American Association of Blood Banks  <br>
AABWS	amphibious assault bulk water system  <br>
AAC	activity address code <br>
AACG	arrival airfield control group <br>
AADC	area air defense commander <br>
AADP	area air defense plan <br>
AAEC	aeromedical evacuation control team <br>
AAFES	Army and Air Force Exchange Service <br>
AAFIF	automated air facility information file  <br>
AAFS	amphibious assault fuel system <br>
AAFSF	amphibious assault fuel supply facility  <br>
AAGS	Army air-ground system <br>
AAI	air-to-air interface  <br>
AAM	air-to-air missile  <br>
AAMDC	US Army Air and Missile Defense Command   <br>
AAOE	arrival and assembly operations element  <br>
AAOG	arrival and assembly operations group  <br>
AAP	Allied administrative publication; assign alternate parent <br>
AAR	after action report; after action review <br>
AAST	aeromedical evacuation administrative support team  <br>
AAT	automatic analog test; aviation advisory team <br>
AAU	analog applique unit <br>
AAV	amphibious assault vehicle <br>
AAW	antiair warfare  <br>
AB	airbase   <br>
ABCA	American, British, Canadian, Australian Armies Program <br>
ABCS	Army Battle Command System <br>
ABD	airbase defense  <br>
ABFC	advanced base functional component <br>
ABFDS	aerial bulk fuel delivery system  <br>
ABFS	amphibious bulk fuel system <br>
ABGD	air base ground defense <br>
ABL	airborne laser  <br>
ABLTS	amphibious bulk liquid transfer system  <br>
ABM	antiballistic missile  <br>
ABN	airborne   <br>
ABNCP	Airborne Command Post <br>
ABO	air base operability; blood typing system <br>
AC	Active Component; aircraft commander; alternating current <br>
AC-130	Hercules   <br>
AC/S,	C4I Assistant Chief of Staff, Command, Control, Communications, Computers, and Intelligence (USMC) <br>
ACA	airlift clearance authority; airspace control authority; airspace coordination area <br>
ACAA	automatic chemical agent alarm <br>
ACAPS	area communications electronics capabilities <br>
ACAT	aeromedical evacuation command augmentation team  <br>
ACB	amphibious construction battalion <br>
ACC	Air Combat Command; air component commander; area coordination center <br>
ACCE	air component coordination element <br>
ACCON	acoustic condition  <br>
ACCS	air command and control system  <br>
ACCSA	Allied Communications and Computer Security Agency <br>
ACDO	assistant command duty officer <br>
ACE	airborne command element (USAF); air combat element (NATO); Allied Command Europe; aviation combat element Marine air-ground task force (MAGTF) <br>
ACEOI	Automated Communications-Electronics Operating Instructions <br>
ACF	air contingency force <br>
ACI	assign call inhibit <br>
ACIC	Army Counterintelligence Center <br>
ACINT	acoustic intelligence  <br>
ACK	acknowledgement   <br>
ACL	access control list; allowable cabin load <br>
ACLANT	Allied Command Atlantic <br>
ACM	advanced conventional munitions; advanced cruise missile; air combat maneuver; air contingency Marine air-ground task force (MAGTF); airspace coordinating measure <br>
ACMREQ	airspace control means request; airspace coordination measures request  <br>
ACN	assign commercial network <br>
ACO	administrative contracting officer; airspace control order <br>
ACOC	area communications operations center <br>
ACOCC	air combat operations command center  <br>
ACOS	assistant chief of staff <br>
ACP	access control point; air commander’s pointer; airspace control plan; Allied Communications Publication; assign common pool     <br>
ACR	armored cavalry regiment (Army); assign channel reassignment   <br>
ACS	agile combat support; air-capable ship; airspace control system; auxiliary crane ship <br>
ACSA	acquisition and cross-servicing agreement; Allied Communications Security Agency  <br>
ACT	activity; Allied Command Transformation <br>
ACU	assault craft unit <br>
ACV	aircraft cockpit video; air cushion vehicle; armored combat vehicle <br>
ACW	advanced conventional weapons <br>
AD	active duty; advanced deployability; air defense; automatic distribution; priority add-on <br>
ADA	aerial damage assessment; air defense artillery <br>
ADAFCO	air defense artillery fire control officer <br>
ADAL	authorized dental allowance list <br>
ADAM/BAE	air defense airspace management/brigade aviation element <br>
ADAMS	Allied Deployment and Movement System  <br>
ADANS	Air Mobility Command Deployment Analysis System <br>
ADC	air defense commander; area damage control <br>
ADCAP	advanced capability  <br>
ADCI/MS	Associate Director of Central Intelligence for Military Support  <br>
ADCON	administrative control  <br>
ADD	assign on-line diagnostic <br>
ADDO	Assistant Deputy Director for Operations  <br>
ADDO(MS)	Assistant Deputy Director for Operations/Military Support <br>
ADE	air defense emergency; assign digit editing <br>
ADF	automatic direction finding <br>
ADIZ	air defense identification zone <br>
ADKC/RCU	Automatic Key Distribution Center/Rekeying Control Unit <br>
ADL	advanced distributed learning; armistice demarcation line; assign XX (SL) routing <br>
ADMIN	administration   <br>
ADN	Allied Command Europe desired ground zero number   <br>
ADNET	anti-drug network  <br>
ADOC	air defense operations center <br>
ADP	air defense plan; automated data processing <br>
ADPE	automated data processing equipment <br>
ADPS	automatic data processing system <br>
ADR	accident data recorder; aircraft damage repair; armament delivery recording <br>
ADRA	Adventist Development and Relief Agency  <br>
ADS	air defense section; air defense sector; amphibian discharge site <br>
ADSIA	Allied Data Systems Interoperability Agency  <br>
ADSW	active duty for special work  <br>
ADT	active duty for training; assign digital transmission group; automatic digital tester <br>
ADUSD(TP)	Assistant Deputy Under Secretary of Defense, Transportation Policy  <br>
ADVON	advanced echelon  <br>
ADW	air defense warnings <br>
ADWC	air defense warning condition <br>
ADZ	amphibious defense zone <br>
AE	aeromedical evacuation; assault echelon; attenuation equalizer <br>
AEC	aeromedical evacuation crew <br>
AECA	Arms Export Control Act <br>
AECC	aeromedical evacuation coordination center <br>
AECM	aeromedical evacuation crew member <br>
AECS	aeromedical evacuation command squadron <br>
AECT	aeromedical evacuation control team <br>
AEF	air and space expeditionary force  <br>
AEG	air expeditionary group <br>
