##name	Josh's Network Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Josh Simon
##email	jss@clock.org
##description	Terms and definitions for networking and systems administration,including common telco abbreviations and acronym expansions.
##browsingEnabled	
##bgl_creationTime	2000/06/15, 08:33
##bgl_middleUpdated	2000/07/30, 15:06
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
A record	See <A href="bword://DNS record types">DNS record types, A record </A>.
AAL	See <A href="bword://ATM Adaptation Layer">ATM Adaptation Layer (AAL) </A>.
AARP	See <A href="bword://AppleTalk Address Resolution Protocol (AARP)">AppleTalk Address Resolution Protocol (AARP) </A>.
Abstract Syntax Notation One (ASN.1)|abstract-syntax-notation-one	The <A href="bword://Open Systems Interconnection (OSI)">OSI </A>language for describing abstract syntax, which is a description of data structures independent of machine orientation.
Access Control List (ACL)|access-control-list	Defines the roles that are required to execute a method. Defines the <A href="bword://user">user </A>or <A href="bword://group ID">group IDs </A>of people who do (or do not) have explicit access to a file or directory.
ACL	See <A href="bword://Access Control List (ACL)">Access Control List (ACL) </A>.
adapter	See <A href="bword://Basic Object Adapter (BOA)">Basic Object Adapter (BOA) </A>.
Adaptive Differential Pulse Code Modulation (ADPCM)|adaptive-differential-pulse-code-modulation	A way to reduce the bandwidth needed by digitized voice channels by half (to 32 Kb from 64 Kb).
address	See <A href="bword://mail address">mail address </A>, <A href="bword://network address">network address </A>.
Address Resolution Protocol (ARP)|address-resolution-protocol	An ethernet protocol used to translate <A href="bword://Internet Protocol">IP </A>network addresses into ethernet hardware addresses (also known as <A href="bword://Media Access Control (MAC)">Media Access Control (MAC) </A>addresses).
ADE	See <A href="bword://Advanced Development Environment (ADE)">Advanced Development Environment (ADE) </A>.
adjacent hosts	Two hosts are <I>adjacent</I> if they have permanent <A href="bword://Address Resolution Protocol (ARP)">ARP </A>entries for each other.
administrator	In the context of Tivoli, a user who is authorized to perform some <A href="bword://Tivoli Management Environment (TME)">TME </A>function. See also <A href="bword://system administrator">system administrator </A>.
ADPCM	See <A href="bword://Adaptive Differential Pulse Code Modulation (ADPCM)">Adaptive Differential Pulse Code Modulation (ADPCM) </A>.
ADSL	See <A href="bword://Asynchronous Digital Subscriber Line (ADSL)">Asynchronous Digital Subscriber Line (ADSL) </A>.
Advanced Development Environment (ADE)|advanced-development-environment	A toolkit for programmers to use in developing systems management applications in the <A href="bword://Tivoli Management Environment (TME)">TME </A>. This requires knowledge of how the underlying <A href="bword://object">object </A>system works.
Advanced Technology Adapter (ATA)|advanced-technology-adapter	Another name for <A href="bword://Integrated Disk Electronics (IDE)">Integrated Disk Electronics (IDE) </A>.
