##name	Medieval Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Colleen McEneany
##email	brigatta1@aol.com
##description	Glossary of medieval terms and weapons.  Definitions of popular weaponry and words commonly found from medieval times and in role-playing games
##browsingEnabled	
##bgl_creationTime	2000/08/08, 09:28
##bgl_middleUpdated	2000/08/08, 09:39
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
abbasi	straight-bladed steel sword with a padded hilt; back of the blade was strengthened by supports; often highly decorated with gold inlay and gilt
abbey	A monastic community of either monks or nuns
abbot/abbess|abbess|abbot	Superior of a monastery or nunnery
aclys	wooden Roman throwing stick with a spiked head; attached to user's arm with a strap which enabled it to be retrieved after it had been thrown
adarga	parrying weapon consisting of a small bladed shield attached to a short spear
adze	carpenter's tool; consists of an axe-like blade mounted with the edge at right angles to the handle
ailette	flat plate of leather or parchment which tied to the point of the shoulder; worn between 1250-1350 to display the owner's coat of arms
aketon	a padded and quilted garment, usually of linen, worn under or instead of plate or mail
alamani	curved steel Indian sword with a gilt handle
ama-goi-ken	a Japanese temple sword which represents Amakurikara, or rain dragon; a straight-bladed, double-edged sword
amice	A square of linen (usually white in color), folded diagonally, worn by the celebrant priest, on the head or about the neck and shoulders.
ancus	Indian elephant goad; vary greatly in size from about 40 to 120 centimeters in length; shorter ones were used by riders, while the longer versions were used by the trainers who were on foot
anelace	A heavy, broad-bladed, sharp-pointed, double-edged knife
angolan battle-axe	weapon with blade attached to a wooden handle
apostate	one who leaves a religious order after having professed (usually via vows) to remain in the order
arbalest	A crossbow with a steel box stave
arcane	secret, mysterious, or obscure
argent	1. the heraldic color silver or white 2. silvery or white in color
arit sickle	sickle consisting of a pronounced half-moon blade mounted on a short handle
armet	a closed helmet consisting of the rounded cap of the bascinet with two cheek pieces overlapping at the front when closed
arming cap	small quilted cap worn under a mail coif that offered protection against blows and the friction of mail against the head
arming doublet	quilted garment worn under armour from the early fifteenth century, equipped with points to attach mail gussets and pieces of armour
artillator	Maker of bows, arrows, and other archery goods
aventail	1. a mail garment protecting the neck 2. a "curtain" of mail to protect the neck, suspended from the helmet and reaching to the shoulders
ay-baita axe	Turkish battle-axe; head is mounted with a pick opposite the blade and broad metal bands extend down from the head along the wooden shaft for reinforcement
babanga	African sword consisting of a metal leaf-shaped blade fitted onto a wooden hilt
bacinet	Relatively light helmet with a rounded or pointed top. Sometimes fitted with a visor and called a bassinet.
baculus	heavy European club made of hardwood with a knotty striking head
badelaire	European sword with a heavy, curved blade and S-shaped quillions; used during the 16th century
badge	An emblematic figure, placed on some prominent part of the clothing of servants and retainers, such as the breast, back, sleeve, etc., to show to what household they belonged; found also on flags, and buildings
baggoro club	flat club from Australia made of hardwood with a sharpened edge
bagh nakh	(tiger claw, bich'hwa bagh nakh) bar with four or five curved blades attached; on each end of the bar a ring is attached so forefinger and pinky can be slipped through the rings with the bar in the palm; sometimes fitted with dagger blades
bailey	Defended courtyard of a castle.
bailli/bailiff|bailli|bailliff	Royal officer responsible for the administration of justice and of revenue in a district.
balestarius axe	large Battak axe/adze; head is fitted into the wooden handle and then lashed with reed
baleyn	medieval word for whalebone which was used for weapons and armour during the 14th century
ball & chain	type of European flail; consists of a metal ball attached to a short wooden handle by a chain
ballinger/balinger|balinger|ballinger	1. English sailing barge usually with from forty to fifty oars 2. small oared vessel with single mast and sail.
balta axe	Turkish battle-axe; the axe head was normally engraved and often inlaid with silver or gold
barbut	(also called barbute and barbuta) an open-faced shoulder-length helmet, made in one piece, with a T-shaped face opening
baselard	13th century European thrusting sword with a straight diamond-shaped blade
basilica	rectangular building used as a meeting hall
bassinet	conical helmet with pointed visor
bastard sword	(also known as hand-and-a-half sword) large, double-edged sword with a long grip which could be wielded with either one or two hands
battle-axe	generic term for fighting axes, especially European ones; generally consists of a broad, socketed head attached to a wooden handle; metal reinforcement bands extend down from the head to help prevent it from being broken off in combat
bearded axe	large two-handed war axe used primarily in Europe; socketed metal head fitted to wooden handle
bearded war axe	smaller, one-handed version of the bearded axe; for use as a missile or while mounted; socketed metal head fitted to wooden handle
bec-de-corbin	type of war-hammer used in Europe in the 14th and 15th centuries; pick-like head was fitted with a spear like point for thrusting; normally mounted on a wooden haft with metal reinforcing bands extending down from the head
beladah	steel sword with a sabrelike blade and a knuckle guard
besagues	circular plates laced to the outside of the elbow joint and front of the shoulder to protect the joints in an armour
bevor	high collar of plate covering the lower half of the face
bi-teran	wooden Australian club having a round handle and a flattened end
bilbo	small European thrusting sword with a rapierlike hilt
biliong	Malaysian axe/adze consisting of a square-tanged blade fitted into a wooden handle; blade can be placed in line with the handle for use as an axe or at right angles for use as an adze; handgrip is often quite large and the smaller portion of the handle is very flexible; socket into which the head is fitted is normally bound with cane
binnol	flail consisting of a spiked ball head connected to a wooden handle by a short chain
bipennis	double-bladed European war axe; mounted on a wooden haft
bird's head club	hardwood club with pick-like design as an attempt to improve the wounding capabilities of the weapon; often intricately carved
birnie	(also called byrnie) a mail shirt
bisacuta	double-pointed pick used by European foot soldiers in the 14th century; metal head mounted on a wooden haft
blueing	an oxidized blue surface on plate armour, produced through heat treatment
bodice	1. the close fitting upper part of a woman's dress 2. a woman's wide, sleeveless vest tightly laced in front, worn over a blouse or dress, usually low-cut
bokken	wooden Japanese practice sword
bolas	cord or leather thong with stones attached to each end; second cord with stone is attached to the center of the first to create a three-pronged weapon; weapon is spun around the head and then thrown at the target's legs
bolts|crossbow	shortened arrows used in arbalests; small stocky missiles know for being capable of incredible penetration
boomerang	wooden throwing stick with an effective range of about 20 meters
bouzdykan	all metal mace used in Poland in 17th century
bowyer	bow maker
bracers	plate armour for the arms
braquemar	European sword with a short, double-edged blade.
breeches	trousers reaching to the knees
brigandine	(also brigantine) 1. metal splints sewed upon canvas, linen, or leather and covered with similar materials; a material used in making light armour; a "pair of brigandines" is a body-coat of this material, in two pieces 2. defensive jacket of metal plates on cloth 3. a canvas or leather jacket with small plates of metal stitched inside
broad axe	European war axe having a broad, straight edge; head was socketed and attached to a wooden haft
