##name	Middle-earth v2.2b
##sourceLang	Other
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/11/30, 20:37
##author	MueRTe
##description	A little ;) glossary from/for J.R.R. Tolkien's Middle-earth books, compiled by MueRTe. || Sources: "The Silmarillion" (Index of Names), "Unfinished Tales" & the "Encyclopedia of Arda" (http://www.glyphweb.com/arda) || e-mail your corrections, commentaries & suggestions [muerte at data54 dot com]
##browsingEnabled	
##bgl_creationTime	2003/01/12, 11:47
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Adanedhel	'Elf-man', name given to Túrin in Nargothrond.<BR><HR>The Elf-man of Nargothrond.<BR> Túrin the son of Húrin, though a Man, was raised from childhood in the halls of King Thingol of Doriath. When, later in his life, he went to dwell among the Elves of Nargothrond, they recognised the nobility he had learned in Thingol's kingdom, and gave him the name Adanedhel, meaning 'Elf-man'.
Adorn	Rohan's western border.<BR> A river that rose in the western heights of the White Mountains, and flowed roughly northwestward to meet the Isen on the borders of Enedwaith. It was important as defining the western border of the country of Rohan.
Adrahil #1|Adrahil	A commander of the forces of Gondor against the Wainriders in III 1944; called 'of Dol Amroth', and presumably an ancestor of the second Adrahil.
Adrahil #2|Adrahil	Prince of Dol Amroth, father of Imrahil.<BR><HR>The twenty-first Prince of Dol Amroth, descended in direct line from Galador the first Prince. Adrahil was the son of Angelimar, and father of Imrahil who fought in the War of the Ring.
Aduial	The Elvish name for the twilight of dusk (the dim light of evening). The twilight of dawn they named minuial.
Adunakhôr|Adunakhor	'Lord of the West', name taken by the nineteenth King of Númenor, the first to do so in the Adûnaic (Númenórean) tongue; his name in Quenya was Herunúmen.
Adurant	The sixth and most southerly of the tributaries of Gelion in Ossiriand. The name means 'double stream', referring to its divided course about the island of Tol Galen.<BR><HR>The southernmost of the seven rivers of Ossiriand, in which was the island of Tol Galen.
Adûnaic|Adunaic	'(Language of the) West'. The native tongue of the Númenóreans, the ancestral language of Westron. Evolved from the old tongue used by the Men of the House of Hador.<BR> Though the name Adûnaic cannot have been used before the Edain travelled to Númenor at the beginning of the Second Age, the language itself, or something very close to it, seems to have been spoken in Beleriand during the First Age, at least by the people of the House of Hador. While there is no mention of its use after the Downfall, it cannot have become completely extinct at this date; it seems likely that the scholars of Gondor and of Arnor would have been familiar with the ancient tongue of their ancestors, but in general use Adûnaic was replaced by the Westron (which had developed from it) and Elvish languages.
Aeglos (plant)|Aeglos	The snowthorn of Amon Rûdh.<BR> A tall, thorny plant, apparently related to modern gorse, but somewhat larger than that plant. Its sweet-smelling flowers were white, and from them it took its name: aeglos is Elvish for 'snowthorn'. It was found on the slopes of Amon Rûdh in West Beleriand and surely elsewhere, but if it ever grew east of the Blue Mountains, it is no longer found today. Aeglos shares its name with the famous Spear of Gil-galad, but it isn't clear whether the two names are directly connected with one another.
Aegnor	The fourth son of Finarfin (and elder brother of Galadriel), who with his brother Angrod held the northern slopes of Dorthonion; slain in the Dagor Bragollach. The name means 'Fell Fire'.
Aelin-uial	The 'Meres of Twilight', or 'Lakes of Twilight'; the region of marshes and pools where the river Aros flowed into Sirion.<BR><HR>The maze of lakes and fens formed where the River Aros met the Sirion, before it fell beneath the Andram. These were lands heavy with enchantment, both from the Girdle of Melian guarding Doriath to the north, but also from the power of Ulmo that was strong in Sirion's waters. It was here that Turgon and Finrod were given the idea of building their hidden strongholds at Gondolin and Nargothrond; an idea placed in their dreams by Ulmo.<BR> The Aelin-uial was under the control of the Sindarin Kingdom of Doriath. Thingol's marchwardens maintained secret ferries among the reeds, so that they could cross between Sirion's easten and western banks unregarded, if need be.<BR> At the southern end of the Aelin-uial, Sirion's waters collected together once more from the many paths they took through the marshland and, at the place called the Falls of Sirion, fell in a thundering torrent down into the earth.<BR> Other Names: Meres of Twilight, Twilight Meres, Twilit Meres.
Aerandir	'Sea-wanderer', one of the three mariners who accompanied Eärendil on his voyages. 307
Aerin	A kinswoman of Húrin Thalion in Dor-lómin; taken as wife by Brodda the Easterling after he claimed Hithlum. She secretly aided Húrin's wife Morwen after the disaster of the Nirnaeth Arnoediad.
Afterborn	One of the Elves' many names for Men. Translation of Apanónar.
Aftercomers	The Younger Children of Ilúvatar, Men; translation of Hildor.<BR><HR>One of the many names for the race of Men, who awoke long after the Elves, the Firstborn. 'Aftercomers' is a translation of the Elvish name Hildor, a word also seen in the name Hildórien, the Land of the Hildor, the eastern region where the first Men awoke into the World.
Afterlithe	The seventh month of the Shire Calendar, following, as its name suggests, the midsummer feastdays of Lithe, and approximately equivalent to modern July. In fact, it ran from modern 24 June to 23 July in a normal year.
Afteryule	The first month of the Shire Calendar, thirty days immediately following the holiday of Yule (hence its name). It ran from modern 23 December to 21 January.
Agarwaen	'Blood-stained', name given to himself by Túrin when he came to Nargothrond.
Agathurush	Adûnaic translation of the name Gwathló.
Aghan	The Drûg (Drúadan) in the story of 'The Faithful Stone'.
Aglarond	The 'Glittering Cavern' of Helm's Deep in Ered Nimrais; used also in reference to the fortress more strictly called the Hornburg, at the entrance to Helm's Deep.<BR><HR>The Glittering Caves.<BR><HR>"... gems and crystals and veins of precious ore glint in the polished walls; and the light glows through folded marbles, shell-like, translucent as the living hands of Queen Galadriel."<BR>(From Gimli's description of Aglarond; The Two Towers III 8, The Road to Isengard)<BR><HR>The deep caverns that lay behind Helm's Deep in the White Mountains. When Gimli saw them during the War of the Ring, he was astonished by their beauty. After the War he led a party of Dwarves from Erebor to Aglarond, and became Lord of the Glittering Caves.
Aglon	'The Narrow Pass', between Dorthonion and the heights to the west of Himring.<BR><HR>The narrow pass west of the March of Maedhros.<BR> The pass between Himlad and Lothlann, to the northeast of Beleriand.
Aiglos (Aeglos)|Aeglos|Aiglos	'Snow-point', the spear of Gil-galad, carried by him to the War of the Last Alliance.
Ailinel	The elder of Tar-Aldarion's sisters.
Ainulindalë (Music)|Ainulindale|Ainulindalë	The 'Music of the Ainur', also called The (Great) Music, The (Great) Song, of which its name is the Quenya version. The great song of the Ainur before Ilúvatar at the beginning of time, in which the world was created.
Ainulindalë (Tale)|Ainulindale|Ainulindalë	The name of the account of Creation said to have been composed by Rúmil of Tirion in the Elder Days.
Ainur|Ainu	The 'Holy Ones' (singular Ainu), the first beings created by Ilúvatar, the 'order' of the Valar and Maiar, made before Eä.<BR><HR>The Holy Ones.<BR><HR>"There was Eru, the One, who in Arda is called Ilúvatar; and he made first the Ainur, the Holy Ones, that were the offspring of his thought..."<BR>(First words of the Ainulindalë)<BR><HR>The primordial spirits, who existed with Ilúvatar, and with Him created the world through the Music of the Ainur. After the creation of Arda, many of the Ainur descended into it to guide and order its growth; of these there were fifteen more powerful than the rest. Fourteen of these great Ainur became the Valar, or Powers of Arda. The fifteenth, Melkor, turned aside from that path and became the first Dark Lord. The many lesser Ainur that accompanied the Valar into Arda are known as Maiar.<BR><HR><B>Origins of the Ainur</B>: The Ainur were the first, and mightiest, beings created by Ilúvatar in the depths of time before the beginning of the World. The Ainur were the 'offspring of [Ilúvatar's] thought', and each was given understanding only of that part of the mind of Ilúvatar from which he or she came. The exception to this was Melkor, the greatest of the Ainur, who had a part of the gifts of all the others.<BR> The Ainur were 'kindled with the Flame Imperishable', which can be taken to mean that they were granted free will by their creator. Ilúvatar instructed them in the arts of music, until he brought them together to make the Music of the Ainur; the great song that created the Vision of Ilúvatar and ultimately the real World.<BR><HR><B>The Ainur and the World</B>: Through the Music of the Ainur, Ilúvatar created a Vision of the World; he showed it to the Ainur, and explained much of its nature and destiny to them - so the Ainur have much knowledge of the World, but are not omniscient. Then, Ilúvatar granted the World true being. Melkor and many of the other mighty Ainur desired to descend into it and form it in readiness for the coming of the Children of Ilúvatar (that is, Elves and Men). These became the beings known as the Valar and the Maiar.<BR> Those Ainur who entered the World at its beginning remain bound to it until its end. Though Melkor was eventually thrown into the Void by the others, he is prophesied to return before the end. Little is known of the ultimate future of the Ainur, even by themselves, but it is said that, after the great battle at the end of the World, they will make a Second, even greater, Music with the Children of Ilúvatar.<BR><HR><B>The Line of Melian</B>: Among the many Ainur that entered the World long ago, there was one of the order of the Maiar named Melian. Alone of all the Ainur, she wedded one of the Children of Ilúvatar, King Elu Thingol of Doriath. From her, a strain of the Ainur entered the bloodlines of the Elves and Men, passed down through generation after generation, and was still present at the time of the War of the Ring. Elrond was Melian's great-great-grandson, and Aragorn, too, was her descendant, though through many more generations than Elrond.
Aiwendil	The ancient name of Radagast.<BR> 'Bird-lover', the name in Valinor of the Wizard who became known as Radagast in Middle-earth.
Akallabêth|Akallabeth	'The Downfallen', Adûnaic word equivalent in meaning to Quenya Atalantë. A name of Númenor after its destruction.
Akallabêth (tale)|Akallabeth|Akallabêth	The account of the Downfall of Númenor.
Alatar	One of the five Wizards who came to the northwest of Middle-earth in the Third Age; he journeyed into the east with Pallando, and never returned to the western lands.<BR><HR>One of the lost Blue Wizards.<BR> One of the five Wizards who came to the northwest of Middle-earth in the Third Age; he journeyed into the east with Pallando, and never returned to the western lands.<BR> Alatar was one of the original three Wizards selected by the Valar for the journey from Valinor to Middle-earth (the other two being Curumo and Olórin - Saruman and Gandalf).<BR> Alatar and Pallando arrived in Middle-earth dressed in sea-blue. For this reason, they were together given the name Ithryn Luin, the Blue Wizards. With Saruman, they journeyed into the far east of Middle-earth, but while Saruman returned to the west, Alatar and Pallando did not. Of their fate, we know almost nothing.
Alatáriel|Alatariel|Altariel|Altáriel	'Maiden crowned with a radiant garland'; also Altáriel. An ancient form (Quenya and Telerin) of the name of Galadriel.
