##name	Military glossary by Adel
##sourceLang	English
##targetLang	Arabic
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1256
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1256
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Adel
##description	
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2013/03/20, 20:43
##bgl_middleUpdated	2013/03/20, 20:45
##bgl_lastUpdated	2013/03/20, 20:45
15VPS	Abbr.: 15VPS<br>\nMeaning: 15 Volt Power Supply<br>\nالمعنى العربي: <br>
1SG	Abbr.: 1SG<br>\nMeaning: <br>\nالمعنى العربي: رقيب أول<br>
5VPS	Abbr.: 5VPS<br>\nMeaning: 5 Volt Power Supply<br>\nالمعنى العربي: <br>
7thID(L)	Abbr.: 7thID(L)<br>\nMeaning: seventh infantry division (light)<br>\nالمعنى العربي: فرقة المشاة الخفيفة السابعة<br>
A-10	Abbr.: A-10<br>\nMeaning: Thunderbolt armored ground-attack aircraft<br>\nالمعنى العربي: <br>
A2C2	Abbr.: A2C2<br>\nMeaning: Army airspace command and control<br>\nالمعنى العربي: قيادة وسيطرة على المجال الجوي للجيش<br>
AA	Abbr.: AA<br>\nMeaning: Assembly Area<br>\nالمعنى العربي: منطقة التجمع<br>
AA	Abbr.: AA<br>\nMeaning: Assembly Area, Avenue of Approach<br>\nالمعنى العربي: منطقة تجمع - طريق إقتراب<br>
AA	Abbr.: AA<br>\nMeaning: Avenue of approach or Assembly Area<br>\nالمعنى العربي: طريق إقتراب أو منطقة تجمع<br>
AACG	Abbr.: AACG<br>\nMeaning: Arrival airfield control group<br>\nالمعنى العربي: مجموعة السيطرة على مطار الوصول الميداني<br>
AAR	Abbr.: AAR<br>\nMeaning: After Action Review<br>\nالمعنى العربي: مراجعة ما بعد العمل<br>
AATF	Abbr.: AATF<br>\nMeaning: Air Assault Task Force<br>\nالمعنى العربي: قوة واجب إقتحام جوي<br>
AATFC	Abbr.: AATFC<br>\nMeaning: Air Assault Task Force Commander<br>\nالمعنى العربي: قائد قوة واجب اقتحام جوي<br>
AAV	Abbr.: AAV<br>\nMeaning: Assault amphibious vehicle<br>\nالمعنى العربي: مركبة اقتحام برمائية<br>
ABCCC	Abbr.: ABCCC<br>\nMeaning: aiborne battlefield command and control center<br>\nالمعنى العربي: قيادة وسيطرة معركة محمولة جوا<br>
ABMOC	Abbr.: ABMOC<br>\nMeaning: air battle management operation center<br>\nالمعنى العربي: مركز ادارةعمليات معركة جوية<br>
ACA	Abbr.: ACA<br>\nMeaning: airspace control authority<br>\nالمعنى العربي: سلطة السيطرة على المجال الجوي<br>
ACL	Abbr.: ACL<br>\nMeaning: allowable cargo load<br>\nالمعنى العربي: حولة الشحنة المسموحة<br>
ACO	Abbr.: ACO<br>\nMeaning: airspace control order<br>\nالمعنى العربي: امر سيطرة على المجال الجوي<br>
ACP	Abbr.: ACP<br>\nMeaning: air control point<br>\nالمعنى العربي: نقطة سيطرة جوية<br>
ACR	Abbr.: ACR<br>\nMeaning: armored cavalry regiment<br>\nالمعنى العربي: فوج استطلاع مدرع<br>
ACU	Abbr.: ACU<br>\nMeaning: Armament Control Unit<br>\nالمعنى العربي: <br>
ACofS	Abbr.: ACofS<br>\nMeaning: assistant chief of staff<br>\nالمعنى العربي: مساعد رئيس الأركان<br>
ADA	Abbr.: ADA<br>\nMeaning: air defense artillery<br>\nالمعنى العربي: مدفعية الدفاع الجوي<br>
ADC	Abbr.: ADC<br>\nMeaning: assistant division commander<br>\nالمعنى العربي: مساعد قائد الفرقة<br>
ADC-M	Abbr.: ADC-M<br>\nMeaning: assistant division commander for maneuvre<br>\nالمعنى العربي: مساعد قائد الفرقة للمناورة<br>
ADCS	Abbr.: ADCS<br>\nMeaning: airdefense coordination center<br>\nالمعنى العربي: مركز تنسيق الدفاع الجوي<br>
ADC_S	Abbr.: ADC_S<br>\nMeaning: assistant division commander for support<br>\nالمعنى العربي: مساعد قائد الفرقة للإسناد<br>
ADE	Abbr.: ADE<br>\nMeaning: assistant division engineer<br>\nالمعنى العربي: مساعد مهندس الفرقة<br>
ADSO	Abbr.: ADSO<br>\nMeaning: assistant division signal officer<br>\nالمعنى العربي: مساعد ضابط اشارة الفرقة<br>
ADW	Abbr.: ADW<br>\nMeaning: air defense warning<br>\nالمعنى العربي: تحذير دفاع جوي<br>
AEGR	Abbr.: AEGR<br>\nMeaning: Army Embedded GPS Receiver<br>\nالمعنى العربي: <br>
AFARN	Abbr.: AFARN<br>\nMeaning: air force air request net<br>\nالمعنى العربي: شبكة طلب طيران القوات الجوية<br>
AFSCOORD	Abbr.: AFSCOORD<br>\nMeaning: assistant fire support coordinator<br>\nالمعنى العربي: مساعد منسق اسناد النيران<br>
AFSO	Abbr.: AFSO<br>\nMeaning: assistant fire support officer<br>\nالمعنى العربي: مساعد ضابط اسناد النيران<br>
AFSS	Abbr.: AFSS<br>\nMeaning: Advanced Fire Support System<br>\nالمعنى العربي: <br>
AG	Abbr.: AG<br>\nMeaning: adjutant general<br>\nالمعنى العربي: ضابط مساعد للقائد<br>
AGB	Abbr.: AGB<br>\nMeaning: Accessory GearBox<br>\nالمعنى العربي: صندوق المسننات<br>
AGTM	Abbr.: AGTM<br>\nMeaning: Anti-Tank Guided Missile<br>\nالمعنى العربي: <br>
AGTS	Abbr.: AGTS<br>\nMeaning: Advanced Gunnery Training System<br>\nالمعنى العربي: مشبه رماية خاص بالدبابة م60أ3<br>
AHB	Abbr.: AHB<br>\nMeaning: attack helicopter batallion<br>\nالمعنى العربي: كتيبة مروحيات هجوم<br>
AHMV	Abbr.: AHMV<br>\nMeaning: Advanced High-Mobility Vehicle<br>\nالمعنى العربي: <br>
AI	Abbr.: AI<br>\nMeaning: Armor Institute<br>\nالمعنى العربي: معهد المدرعات<br>
AI	Abbr.: AI<br>\nMeaning: air interdiction<br>\nالمعنى العربي: اعتراض جوي<br>
AIM	Abbr.: AIM<br>\nMeaning: Analog Input Module<br>\nالمعنى العربي: <br>
AIM Tank	Abbr.: AIM Tank<br>\nMeaning: Abrams Integrated Management Tank<br>\nالمعنى العربي: <br>
ALCE	Abbr.: ALCE<br>\nMeaning: airlift control element<br>\nالمعنى العربي: عنصر سيطرة النقل الجوي<br>
ALO	Abbr.: ALO<br>\nMeaning: air liaison officer<br>\nالمعنى العربي: ضابط ارتباط جوي<br>
AM	Abbr.: AM<br>\nMeaning: amplitude modulation<br>\nالمعنى العربي: تعديل سعة<br>
AMB	Abbr.: AMB<br>\nMeaning: air mission brief<br>\nالمعنى العربي: ايجاز مهمة جوية<br>
AMC	Abbr.: AMC<br>\nMeaning: at my command<br>\nالمعنى العربي: تحت قيادتي<br>
AMOPES	Abbr.: AMOPES<br>\nMeaning: Air Mobilization and Operations Planning System<br>\nالمعنى العربي: نظام التعبئة الجوية وتخطيط العمليات<br>
ANGLICO	Abbr.: ANGLICO<br>\nMeaning: Air and Naval Gunfire Liaison Compnay<br>\nالمعنى العربي: سرية إرتباط رماية جوية وبحرية<br>
AO	Abbr.: AO<br>\nMeaning: Area of operations<br>\nالمعنى العربي: منطقة العمليات<br>
AOC	Abbr.: AOC<br>\nMeaning: air operation center<br>\nالمعنى العربي: مركز العمليات الجوية<br>
AOR	Abbr.: AOR<br>\nMeaning: area of responsibility<br>\nالمعنى العربي: منطقة المسئولية<br>
ARFOR	Abbr.: ARFOR<br>\nMeaning: Army forces<br>\nالمعنى العربي: قوات الجيش<br>
ASIC	Abbr.: ASIC<br>\nMeaning: all source intelligence center<br>\nالمعنى العربي: مركز الإستخبارات من كافة المصادر<br>
ASMB	Abbr.: ASMB<br>\nMeaning: medical batallion, area support<br>\nالمعنى العربي: كتيبة طبية اسناد منطقة<br>
ASMC	Abbr.: ASMC<br>\nMeaning: medical company, area support<br>\nالمعنى العربي: سرية طبية اسناد منطقة<br>
ASOC	Abbr.: ASOC<br>\nMeaning: air support operation center<br>\nالمعنى العربي: مركز عمليات اسناد جوي<br>
ASPS	Abbr.: ASPS<br>\nMeaning: all source production section<br>\nالمعنى العربي: قسم انتاج كل المصادر<br>
ASU	Abbr.: ASU<br>\nMeaning: Accessory Stowage (Storage) Unit<br>\nالمعنى العربي: <br>
AT	Abbr.: AT<br>\nMeaning: anti tank<br>\nالمعنى العربي: مضاد للدبابات<br>
ATC	Abbr.: ATC<br>\nMeaning: air traffic control<br>\nالمعنى العربي: مركز السيطرة الجوية<br>
ATCCS	Abbr.: ATCCS<br>\nMeaning: air tactical command and control system<br>\nالمعنى العربي: نظام القيادة والسيطرة التكتيكية الجوية<br>
ATEAM	Abbr.: ATEAM<br>\nMeaning: Advanced Turbine Engine Army Maintenance<br>\nالمعنى العربي: <br>
ATIZ	Abbr.: ATIZ<br>\nMeaning: artillery target intelligence zone<br>\nالمعنى العربي: نطاق استخبارات اهداف المدفعية<br>
ATMCT	Abbr.: ATMCT<br>\nMeaning: air treminal movement control team<br>\nالمعنى العربي: فريق السيطرة على تحركات المطار<br>
ATP	Abbr.: ATP<br>\nMeaning: ammunition transfer point<br>\nالمعنى العربي: نقطة نقل ذخيرة<br>
ATS	Abbr.: ATS<br>\nMeaning: air traffic service<br>\nالمعنى العربي: خدمة المراقبة الجوية<br>
AVIM	Abbr.: AVIM<br>\nMeaning: aviation intermediate maintenance<br>\nالمعنى العربي: صيانة متوسطة للطيران<br>
AVLB	Abbr.: AVLB<br>\nMeaning: armored vehicle launched bridge<br>\nالمعنى العربي: عربة مدرعة نصب جسر<br>
AWACS	Abbr.: AWACS<br>\nMeaning: aiborne warning and control system<br>\nالمعنى العربي: نظام انذار وسيطرة جوية<br>
AWOL	Abbr.: AWOL<br>\nMeaning: absence without leave<br>\nالمعنى العربي: غياب بدون اجازة (إذن)<br>
Advance Party	Abbr.: Advance Party<br>\nMeaning: <br>\nالمعنى العربي: جماعة المقدمة<br>
