##name	Muscle Pain
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/08/30, 04:21
##author	Eduardo Spaccasassi
##description	Medical terms relative to muscle pain
##browsingEnabled	
##bgl_creationTime	2002/07/23, 21:51
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
A band	dark (anisotropic) band that can be seen running across muscle fibers in the light microscope. It is formed by the aligned myosin filaments of many myofibrils and causes the visible striations of skeletal muscle fibers.
Abscess	a circumscribed collection of pus appearing in acute or chronic localized infection and associated with tissue destruction and, frequently, with swelling.
Acetylcholine|Ach	neurotransmitter of the neuromuscular endplate (junction between a motor fiber and a muscle cell) and of many synapses in the peripheral and central nervous system.
Acetylsalicylic Acid|ASA	Aspirin is one of the nonsteroidal anti-inflammatory drugs.
Action potential	propagated change of the membrane potential of a nerve or muscle cell. If the membrane is depolarized (its inside made more positive) to threshold, a sudden influx of sodium ions occurs that makes the membrane potential transiently positive. It becomes negative again by an outflux of potassium ions.
Activation	stimulation of a receptor or neuron so that it starts firing action potentials or increases its discharge frequency.
Active TrPs	trigger points (TrPs) that cause a clinical pain complaint or other abnormal sensory symptons.
Acute pain	pain caused by a short-lasting noxious stimulus acting on normal nociceptive structures.
Adenitis	Inflammation of a gland.
Adenosine triphosphatase|ATPase	An enzyme that splits adenosine triphosphate into adenosine diphosphate and phosphate plus energy.
Adenosine triphosphate|ATP	a molecule that provides energy for energy-dependent cell processes by splitting into adenosine diphosphate and energy.
Adhesions	inflammatory bands that bind surfaces together that are covered by mucous membranes.
Adventitia	connective tissue surrounding blood vessels and some inner organs.
Affective-motivational component of pain	pain component that mediates the suffering associated with pain.
Afferent fiber or nerve cell	a neuron or its fiber that conducts action potentials from the periphery to the central nervous system (primary afferent fiber) or to higher centers within the central nervous system (secondary or higher order afferent neurons). Often, sensory is used as a synonym for afferent.
Afferent unit	an afferent (sensory) fiber together with its receptive ending and cell body.
Afterdischarge	a discharge of neurons outlasting the duration of the stimulus.
Algesic	pain-producing.
Algesic substance	one of the substances that cause pain or increase the sensitivity of nociceptors.
Algogenic	pain-producing
Algometer|Algesiometer	an instrument for measuring the degree of sensitivity to a painful stimulus.
Algometry	Measurement of pain
Allodynia	pain caused by a stimulus that does ot normally provoke pain.
Alpha-Motor fiber	a thick myelinated nerve fiber of a somatomotor neuron that supplies striated muscle.
Amino acid transmitters	neurotransmitters that consist of amino acid such as glutamate and aspartate.
Amyloidosis	a disease of unknown cause characterized by the extracellular accumulation of amyloid in various organs and tissues of the body.
Analgesia	absence of pain in response to a stimulus that would normally be painful.
Anaphylaxis	immediate transient kind of immunologic (allergic) reaction characterized by contraction of smooth muscle and dilatation of capillaries, resulting from the release of pharmacologically active substances such as histamine.
Angina pectoris|Stenocardia	severe constricting pain in the chest, usually caused by coronary disease.
Anorexia	diminished appetite, aversion to food.
Antidromic	an impulse propagation against the normal direction.
Aponeurosis	a fibrous sheet or expanded tendon giving attachment to muscular fibers and serving as the means of origin or insertion of a flat muscle.
Arterioles	small arterial vessels of a size between arteries and capillaries. In contrasto to capllaries, the wall of arterioles contains a thin layer of smooth muscle cells.
Arteritis	inflammation involving an artery.
Asepsis	a condition in which living pathogenic organisms are absent.
Association cortex	those parts of the cortex thar are not specialized as target areas of the special sense organs (e.g., eye and ear).
Atrophy	a wasting of tissue
Autoimmune disease	a disease arising from and directed against the individual´s own tissues.
Autonomic nervous system	those efferent parts of the nervous system that are not under voluntary control. It consists of two main parts, the sympathetic and the parasympathetic nervous system.
Average pain threshold|APT	sum of dolorimeter readings at the 18 designated tender point sites (kg/cm2) divided by 18.
Axial muscles	head and trunk muscles that are situated in the central part of the body.
Axodendritic synapse	a contact between the axon of one neuron and the dendrite of another nerve cell.
Axon	a process of a neuron that conducts action potentials away from the cell body. The axon is the output portion of a neuron.
Axon reflex	in sensory nerve fibers, the invasion of nonexcited branches of a receptive ending by antidromic action potentials arising in other excited branches of the ending or in the axon. The invasion is followed by the release of neuropeptides and other substances from the ending.
Axotomy	transection of nerve fibers or a nerve.
Basal ganglia	originally, all of the large masses of grey matter at the base of the cerebral hemisphere; currently, the corpus striatum (caudate and lentiform nucleus) and cell groups associated with the corpus striatum.
Benign	denoting the mild character of the nonmalignant character of a neoplasm.
Biofeedback	a training technique that enables an individual to gain some element of voluntary control over autonomic (or other involuntary) body functions. In electromyographic feedback training, the patient sees or hears the electromyogram of the affected muscle and thus receives information (feedback) about the contractile state of the muscle he is trying to relax or activate.
Biogenic amines	substances formed by decarboxylation of amino acids. e.g.: histamine, serotonin.
Botulinum A toxin	one of a series of toxins from the bacterium <I>Clostridium</I> <I>botulinum</I>, which may be present in improperly preserved food and acts by permanently inactivating acetylcholine release and destroying the neuromuscular junction. The toxin is used in the therapy of spasticity.
Bradykinin|BK	a molecule composed of nine amino acids (a nonapeptide). One of the so-called vasoneuroactive substances; it dilates blood vessels and sensitizes or excites nociceptors.
Brainstem|Hindbrain	mesencephalon plus rhombencephalon. The rhombencephalon includes the pons, cerebellum, and medulla oblongata.
Brawny edema	a thickening and dusky edema.
Brodmann area	a region of the cortex characterized by a particular cytoarchitecture, i.e., size, arrangement, and density of nerve cells.
Bruxism	a clenching of the teeth, resulting in rubbing, gritting, or grinding together of the teeth, usually during sleep.
Bundle of muscle fibers	a muscle fascicle. A group of muscle fibers surrounded by perimysium.
C fiber	an unmyelinated nerve fiber that conducts action potentials at a velocity of less than 2.5m/s in humans.
c-fos	cellular (c) oncogene that controls the growth of osteosarcoma (os). It is one of the immediate-early genes that are expressed in neurons within a few hours following stimulation of sensory endings or fibers.<BR><BR>c-FOS - the transcription factor (protein) synthesized by the c-fos gene.
c-jun	a cellular oncogene that - similarly to c-fos - is expressed in neurons in response to input from the body periphery.<BR><BR>c-JUN - the protein synthesized by the oncogene c-jun.
Calcium pump	energy-dependent transport mechanism that transports Ca++ across a membrane. For instance, it returns Ca++ ions into the sarcoplasmic reticulum to terminate muscle contraction following their release to activate the contraction.
Calculosis	tendency to form calculi or stones; also used to describe the presence of stones in the urinary or biliary tract.
Calculus	a stone-like concretion formed in the passages of the biliary and urinary tracts; it is usually composed of salts of inorganic or organic acids or of other material, such as cholesterol.
Capillary	the smallest blood vessel. Here, the exchange processes between blood and tissue take place. Capillaries consist of an inner layer of endothelial cells and a basal lamina. They lack a muscle layer.
Capsaicin	the active ingredient of the chilli pepper that causes the burning sensation after ingestion. It is a powerful stimulating agent for afferent C fibers.Its stimulating action is often followed by reduced sensitivity of C nociceptors (i.e.: by desensitization)
Carrageenan	a sulfate polysaccharide derived from Irish moss; it is used in animal experiments to induce a sterile inflammation.
Catalepsy	a morbid state in which there is a waxy rigidity of the limbs, which may be placed in various positions that can be maintained for a time; there is unresponsiveness to stimuli, pulse and respiration are slow, and the skin is pale.
Catecholamines	pyrocatechols with an alkylamine side chain; e.g.: epinephrine.
Caudal	related to or in the direction of the tail end of an organism.
Causalgia	a syndrome of sustained burning pain, allodynia, and hyperpathia after a traumatic nerve lesion, often combined with vasomotor and sudomotor dysfunction and later trophic changes.
Cellulitis	inflammation of cellular or connective tissue.
Central nervous system|CNS	the brain and the spinal cord.
Central pain	pain initiated or caused by a primary lesion or dysfunction in the central nervous system. It may result, for example, from spinal cord injury.
Central sensitization	increase in excitability of central nervous system neurons; this excitability can last for long periods of time following an acute painful stimulus.
Cerebral ventricles	normal cavities in the brain that are interconnected and filled with cerebrospinal fluid.
CGRP	Calcitonin gene-related peptide - a neuropeptide composed of 37 amino acids; it has a strong vasodilating action.
Cholecystitis	inflammation of the gallbladder.
Chorea	irregular, spasmodic, involuntary movements of the limbs or facial muscles.
Chronic pain	pain that persists past the normal time of healing; in clinical practice, a period of 3 months is recognized as a convenient dividing line between acute and chronic pain.
Cingulate cortex or gyrus	a gyrus on the medial aspect of a hemisphere located directly above and running parallel to the corpus callosum.
Clearance	removal of a substance from the blood.
Colic	spasmodic pain in the abdomen.
Collateral	a side branch of an axon.
Compliance	the compressibility, for example, of a muscle that can be assessed clinically by pressing a finger into it or by squeezing it between the fingers to determine how easily it is indented and how "springy" it is.
Compound action potential	summed action potentials of many fibers in a nerve that are excited simultaneously, for example, by an electrical stimulus.
Concentric contraction|Shortening	a reduction of muscle length produced by generation of muscle force.
Contractile activity	forms of activation of the contractile apparatus of a muscle.
Contraction-sensitive receptor	a muscle receptor that responds strongly to physiologic contractions.
Contracture	1. in the clinical (static) sense: shortening of muscle caused by remodeling of connective tissue. <BR>2. in the physiologic (dynamic) sense: an activation of the contractile mechanism of a muscle.
Convergence	a neuroanatomic connection implying that inputs from many sources make synaptic contacts with a single neuron in the central nervous system.
Coronary infarction	a sudden insufficiency of the blood supply in the coronary arteries as a result of emboli, thrombi, or external pressure.
Coryza	mucous discharge from the nostrils, running at the nose.<BR>An acute rhinitis.
Cramp	a painful muscle spasm associated with electromyographic activity, such as nocturnal leg cramp.
Cranial	relating to the head end of an organism.
Cranial nerve	a large peripheral nerve whose fibers originate and terminate in the supraspinal portions of the central nervous system (brainstem and diencephalon).
