##name	NATO Acronyms
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2004/01/13, 07:26
##author	Marcus Levy Swiss Air Force
##email	marcus.levy@lw.admin.ch
##description	Summary of NATO Acronyms mainly related to Air Operations.
##browsingEnabled	
##bgl_creationTime	2004/01/13, 07:20
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
A/C	Aircraft
A/G	Air-to-Ground
A2C2	Army Airspace Command &amp; Control
AA	Assembly Area
AAA	Anti-Aircraft-Artillery
AADC	Area Air Defence Commander
AAFES	Army Air Force Exchange Service (US)
AAM	Air-to-Air Missile
AAP	Allied Administrative Publication (AAP-6) NATO Publications
AAR	Air-to-Air Refueling
AAWC	Anti-Air Warfare Commander
AB	Airbase
ABCCC	Airborne Command, Control &amp; Communications
ABM	Anti Ballistic Missile Treaty 1972
ABNOC	Airborne Operations Centre
AC	Alliance Committee
ACA	Airspace Control Authority
ACBT	Air Combat Training
ACC	Air Component Commander
ACCAP	ACE CIS Contingency Assets Pool
ACCHAN	Allied Command Channel
ACCIS	Automated Command and Control Information System
ACCS	Air Command and Control System
ACE	Allied Command Europe
ACEADGE	Allied Command Europe Air Defence Ground Environment
ACEHIGH	ACE Troposphericscatter Communications System
ACINT	Acoustic Inteligence
ACL	Allowable Cabin/Cargo Load
ACLANT	Allied Command Atlantic ACT as per 01.09.2003
ACM	Airspace Control Means
ACMREQ	Airspace Control Means Request
ACO	Allied Command Operations Former SACEUR
ACOC	Air Command Operations Centre
ACOS	Assistant Chief of Staff
ACP	Airborne Command Post
ACROSS	ACE Resource Optimisation Software System Allied Command Europe
ACS	Airspace Control System
ACSTP	ACE Command and Staff Training Programme
ACT	Allied Command Transformation Former SCLANT
ACTORD	Activation Order
ACTREQ	Activation Request
ACTWARN	Activation Warning
ACW	Airborne Control &amp; Warning
AD	Air Defence
ADAMS	Allied Deployment and Movement System
ADATS	Air Defence Anti-Tank System
ADC	Air Defence Commander
ADC2S	ACE Deployable Command &amp; Control System CRO / PSO
ADGE	Air Defence Ground Environment
ADIZ	Air Defence Identification Zone
ADL	Allied Disposition List
ADM	Administration
ADOC	Air Defence Operations Centre
ADP	Automatic Data Processing
ADR	Airfield Damage Repair
ADROE	Air Defence ROE
AECC	Aeromedical Evacuation Control Centre
AEDP	ACE Exercise Directive Programme
AEGIS	AEW Ground Interpretation System
AERB	ACE Exercise Review Board
AES	Aeromedical Evacuation System
AEW	Airborne Early Warning (Radar Picket Aircraft)
AF	Amphibious Forces
AFAC	Airborne Forward Air Controller
AFCENT	Allied Forces, Central Europe *
AFFSC(E)|AFFSC	Air Forces Flight Safety Committee (Europe)
AFL	Allied Forces List
AFNORTH	Allied Forces North
AFNORTHWEST	Allied Forces, North-western Europe (MSC)
AFRC	Armed Forces Recreation Centre
AFS	ACE Forces Standards
AFSOUTH	Allied Forces, Southern Europe
AFV	Armoured Fighting Vehicles
AGARD	Advisory Group for Aerospace Research and Development
AGL	Above Ground Level
AGM	Air-to-Ground Missile
AGS	Allied Ground Surveillance System
AH	Armed/Attack Helicopter
AHC	Attack Helicopter Crew
AI	Air Interdiction
AICV	Armoured Infantry Combat Vehicle
AIE	Alternate means of insertion and extraction
AIFS	ACE Information Flow System
AIGS	Airborne Ineterrogation &amp; Guidance System
AII	Area of Intelligence Interest
AIM	Air Intercept Misssile
AIP	Aeronautical Information Publication
AIR	Area of Intelligence Responsibility
AIRCENT	Allied Air Forces, Central Europe (PSC), Ramstein
AIREX	Air (Live) Exercise
AIRNORTHWEST	Allied Air Forces Northwestern Europe
AIRSOUTH	Allied Air Forces, Southern Europe
AJ / AZE	Azerbaijan Nation
AJF	Allied Joint Force
AJO	Allied Joint Operations
AJODWG	Allied Joint Operations Doctrine Working Group
AJODWP	Allied Joint Operations Doctrine Working Party
AJP	Allied Joint Publication (e.g AJP-06, 15, ect) NATO Publications
AL / ALB	Albania Nation
ALARM	Air Launched Anti-Radar Missile
ALC	ACE Logistics Centre
ALCE	Airlift Coodination Centre
ALCM	Air-Launched Cruise Missile
ALO	Air Liaison Officer
ALP	ACE Logistics Publication
ALSS	Avanced Logistics Support Site
ALT TOT	Alternate Time on Target
AM	Augmentation Module
AM / ARM	Armenia Nation
AMC	Airborne Mission Commander
AMCC	Allied Mobility / Movement Coordination Centre
AMF(A) / (L)|AMF(A) /	ACE Mobile Force (Air) / (Land)
AMHS	Automated Message Handling System
AMIB	Allied Military Intelligence Battalion
AMRAAM	Advanced Medium Range Air-to-Air Missile (AIM-20)
AMSFOR	Airmobile Security Forces
AMSL	Above Mean Sea Level
ANPP	ACE Nuclear Planning Process
AOA	Amphibious Objective / Operations Area
AOAD	Army Organic Air Defence
AOB	Air Order of Battle
AOC	Air Operations Centre
AOCC	Air Operations Control Centre (Land/Maritime)
AOD	Air Operations Directive
AOEC	Air Operational English Course
AOFPG	Air Operations Functional Planning Group
AOI	Area of Interest
AOO	Area of Operations
AOP	Air Operation Procedures
AOPG	Air Operations Planning Guide
AOR	Area of Responsibility
AP	Allied Publication NATO Publications
APA	Air Patrol Area
APAG	Atlantic Policy Advisory Group
APC	Armored Personnel Carrier
APIC	Allied Press Information Centre
APO	American Post Office
APOD	Airport of Debarkation
APOE	Airport of Embarkation
