##name	Pharmaceutical terms
##sourceLang	English
##targetLang	Chinese (S)
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp936
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp936
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2004/07/16, 02:06
##author	Allen
##description	Names of diseases,Medical Glosaries, and More......A good pain-killer for you.
##browsingEnabled	
##bgl_creationTime	2003/11/03, 03:43
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Adenovirus	腺病毒
Alstrom-Hallgren syndrome	梦的
Alzheimer disease	阿尔茨海默病
Anthrax	炭疽病
Aphthae Epizootic	口蹄疫
Baastrup syndrome	巴斯特鲁普氏综合征<BR> 又称米肖特（Michotte)氏综合征。唇样骨赘增生。X线表现为在变性关节邻近骨赘之间骨桥形成，有别于其他老年性脊柱强直。脊椎棘突的接触是引起压迫神经根的许多原因中重要的一种。颈、胸或腰椎可受累。
Bacillary dysentery	细菌性痢疾
Bacteriocin	细菌素
Bacteriod	类杆菌
Bacteriophage	噬菌体
Becker muscular dystrophy|Duchenne	肌营养不良
Botulism	肉毒中毒
Bowel Obstruction	肠阻塞
Brucellosis	布氏杆菌病
Cerebral embolism	脑栓塞
Chronic Atrophic Gastritis	瓜胺酸血症
Chronic Lymphocytic Leukemia	慢性淋巴細胞性白血癌
Chronic Myelocytic Leukemia	慢性骨髓細胞性白血癌
Circumcision	包皮切除术
Citrullinemia	瓜胺酸血症
Congenital Cytopenia	先天性血球細胞缺乏症
Congenital adrenal hyperplasia	先天性肾上腺增生
Congenital hydrocephaly	先天脑积水
Congenital melanocytic nevus	先天性黑素细胞痣
Conjunctivitis	结膜炎
Constipation	便秘
Cystinosis	胱胺酸症
Delayed Ejaculation	迟延射精
Delirium	譫妄
Dengue virus	登革病毒
Dermatophytes	皮肤丝状菌
Diabetic Gastroparesis	糖尿病胃轻瘫
Diphtheria	白喉
Diplococcus	双球菌
Diverticulosis	憩室病
Dysmetria	辨距不良
