##name	Pokemon_english
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2001/03/15, 18:24
##author	Jonatan Hultberg
##email	nemesis4k@hotmail.com
##description	A descriptio over most of the pokemons.
##browsingEnabled	
##bgl_creationTime	2001/03/15, 14:53
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
Abra|63	An esper type pokemon. Can only be controlled by psychic trainers. Can teleport and distrort matter.<HR># 63
Alakazam|65	The evolution of kadabra. Uses the ultimate psychic attacks. May be the hardest pokemon to train.<HR># 65
Arbok|24	The evolved form of ekans. Takes the shape of a cobra.<HR># 24
Arcanine|59	The evolved form of Growlithe. Uses stronger fire attacks to subdue its enemies.<HR># 59
beedrill|15	The evolved form of weedle and kakuna. Unlike buterfree, beedrill takes the shape of a bee. On his first set of legs, 2 drills are attached to them. Beedrill will us these drills to stab his enemy while flying.<HR># 15
Bell sprout|69	A total plant pokemon. It uses its vines to attack it enemies. Also it can send poison through its vines to make its enemies sick.<HR># 69
blastoise|9	The evolved form of squirtel and wartortle. Instead of using its mouth, blastoise is equipped with to cannnons filled with water. Using these "cannons" blastoise is able to subdue his enemies quicker.<HR># 9
bulbasaur|1	Grass pokemon. A strange seed is planted on its back from birth.<HR># 1
butterfree|12	The evolved forms of caterpie and metapod. Seen as a butterly, butterfree slies around. His best attack is sleep dust. His sleep dust will quickly make another pokemon fall asleep so that its trainer can call another pokemon to finish the battle.<HR># 12
charizard|6	The evolved form of charmander and charmeleon. He is 300% larger than charmander. His flame attacks are more hazardous and can cause serious damage to its opponent.<HR># 6
Clefable	The evolution of clefairy. No further informaion availible.<HR># 36
clefairy|35	A cute pokemon. No further information availible.<HR># 35
Cloyster|91	The evolved form of shellder. Cloyster is encased in another shell giving it 2 shells for protection.<HR># 91
cubone	coming soon.....
dewgong|87	The evolved form of seel. Its body is slimmer and longer and its attacks twice as strong.<HR># 87
Diglett|50	A mole pokemon. Digs under the ground to attack its enemies. Can move at high speed of light when bobbing their heads up and down from the ground. Diglett are claimed to be creators of the forest before Fuschia city.<HR># 50
dodrio|85	The evolved form of doduo. It is incredibly tall and has three heads.<HR># 85
doduo|84	An ostrich pokemon that can run at high speeds. It has two heads.<HR># 84
drowzee|96	A tapir pokemon. He uses his mind to make his enemies or others to fall asleep and dream.<HR># 96
Dugtrio|51	The evolution of diglett. Instead of 1 body dugtrio has three. It is three times the size of diglett.<HR># 51
Ekans|23	A snake pokemon. When thrown into the air, ekans will rotate at high speeds, and almost like a wheel, wil run over its opponent. Also uses poison attacks.<HR># 23
Farfetchd	coming soon...
Fearow|22	The evolved form of spearow. Has larger wings and a bigger body. Like pidgeotto, it also uses wind attacks to finish its enemies.<HR># 22
gastly|93	A ghost pokemon who can make itself invisible. Usually found in haunted houses where it scares its guests away.# 93
gengar	The evoluion of Haunter. It grows two legs and gets the form of normal pokemon, but can still float.
Geodude	A rock pokemon. Used mainly as a fighting pokemon or in battle. Uses famous attacks such as seismic toss. Mysteriously floats in the air.<HR># 74
Gloom|44	The evolution of oddish. Its leaves turn red and its head grows a mushroom like structure.<HR># 44
golbat|42	the evolution of Zubat. Uses hevier attacks.<HR># 42
Golduck|55	The evolved form of psduck. This one is dark blue and stands taller and slimmer than psyduck, Uses similiar attacks and its headache is less severe.<HR># 55
Golem|76	The evolution of graveler. Can roll itself into a ball and can whitstand all elemental attacks to a certain degree. Once it rolls into its ball form, it can bash and crush its enemies<HR># 76
Graveler|75	The evolved form of geodude. Its mass is twice geodude´s and its attacks are just as powerful. Graveler floats also.<HR># 75
grimmer|88	A sludge pokemon. Its body is composed of sludge. Its body smells horrible maken others unwanting to fight it. <HR># 88
Growlithe|58	A tiger pokemon. Uses fire attacks similiar to Vulpix.<HR># 58
haunter|93	The evolved form of gastly. Grows 2 hands. No further information availible.<HR># 93
Hypno|97	The evolved form of drowzee. Has a timepiece on a gold band and swings it back and forth to hypnotize his enemies. Its attacks are more effective than Drowzee`s.<HR># 97
jigglypuff	A fluffy pokemon. No further information availible.<HR># 39
kadabra|64	The evolved form of abra. Uses stronger psychic attacks.<HR># 64
kakuna|14	Also similar to Metapod. Kakuna´s color is a goldish color. Kakuna is Weedle´s evulotion.<HR># 14
Kingler|99	The evolved form of krabby. Its shell and claws are large and shouldn´t be played with.<HR># 99
Krabby|98	A crab pokemon that lives on beaches. Beware: Krabby is dangerous when using its claws.<HR># 98
machamp|68	The evolution of machoke. Machamp grows an extra 2 arms, wich add to its current strength.<HR># 68
Machoke|67	The evolved form of machop. Its height is much taller than machop´s. Its muscle power is 5 tikes that of machop´s.<HR># 67
Machop|66	A purely fighting pokemon. Its entire body is consisted of muscles. Its small size make it seem easy, but when it battles, it showws its real power.<HR># 66
Magnemite|81	A magnet pokemon of the electric type. Uses thundershock often. Its mysterious floating notions are unexplaineble. <HR># 81
Magneton|82	The evolved form of magnemite. Two more magnets are attached to its body and its electricity levels are almost off the scale.<HR># 82
