##name	Terms and Definitions
##sourceLang	English
##targetLang	English
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Office of Rare Diseases
##description	Terms and definitions related to rare diseases.
##bgl_creationTime	2000/06/07, 06:51
Acquired mutations	Gene changes that arise within individual cells and accumulate throughout a person's lifetime; also called somatic mutations. (See hereditary mutation.)
Adenine (A)|a|adenine	A nitrogenous base, one member of the base pair A-T (adenine-thymine).
Advanced maternal age	Women over age 34 (age 35 at delivery) at increased risk for genetic changes in fetus.
AEC	Atomic Energy Commission
Alleles	Variant forms of the same gene. Different alleles produce variations in inherited characteristics such as eye color or blood type.
Alpha-fetoprotein (AFP)|afp|alpha-fetoprotein	A protein excreted by the fetus into the amniotic fluid and from there into the mother's bloodstream through the placenta.
Amino acid	Any of a class of 20 molecules that are combined to form proteins in living things. The sequence of amino acids in a protein and hence protein function are determined by the genetic code.
Amino acid sequence	The linear order of the amino acids in a protein or peptide.
Amniocentesis	Prenatal diagnosis method using cells in the amniotic fluid to determine the number and kind of chromosomes of the fetus and, when indicated, perform biochemical studies.
Amniocyte	Cells obtained by amniocentesis.
Amplification	An increase in the number of copies of a specific DNA fragment; can be in vivo or in vitro. See cloning, polymerase chain reaction.
Aneuploidy	State of having different chromosome numbers (too many or too few). (i.e. Down syndrome, Turner syndrome).
ANL	Argonne National Laboratory, Argonne, IL
Artificial insemination	The placement of sperm into a female reproductive tract or the mixing of male and female gametes by other than natural means.
ATCC	American Type Culture Collection, Rockville, MD
Autoradiography	A technique that uses X- ray film to locate radioactively labeled molecules or fragments of molecules; used in analyzing length and number of DNA fragments after they are separated by gel electrophoresis.
Autosome	Any of the non-sex-determining chromosomes. Human cells have 22 pairs of autosomes.
Bacteriophage	A virus whose host is a bacterium; commonly called phage.
Barr body	The condensed single X-chromosome seen in the nuclei of somatic cells of female mammals.
Base pair (bp)|base-pair|bp	The two complementary, nitrogen-rich molecules held together by weak chemical bonds. Two strands of DNA are held together in the shape of a double helix by the bonds between their base pairs. (See chemical base.)
Base sequence|sequence	The order of nucleotide bases in a DNA molecule.
Base sequence analysis	A method, sometimes automated, for determining the base sequence.
Benign (be-NINE)|benign	Not cancerous; does not invade nearby tissue or spread to other parts of the body.
Biological therapy (by-o-LOJ-i-kul)|biological-therapy|immunotherapy	Treatment to stimulate or restore the ability of the immune system to fight infection and disease. Also called <I>immunotherapy</I>.
Biopsy (BY-op-see)|biopsy	The removal of a sample of tissue, which is then examined under a microscope to check for cancer cells. When only a sample of tissue is removed, the procedure is called incisional biopsy; when the whole tumor is removed, it is excisional biopsy. Removing tissue or fluid with a needle is called needle biopsy or needle aspiration.
Biotechnology	A set of biological techniques developed through basic research and now applied to research and product development.
BNL	Brookhaven National Laboratory, Upton, NY
Bone marrow transplantation	A procedure in which doctors replace marrow destroyed by treatment with high doses of anticancer drugs or radiation. The replacement marrow may be taken from the patient before treatment or may be donated by another person. When the patient's own marrow is used, the procedure is called <I>autologous</I> (aw-TOL-o-gus) bone marrow transplantation.
BRCA1	A gene that normally helps to restrain cell growth.
BRCA1 breast cancer susceptibility gene	A mutated version of BRCA1, which predisposes a person toward developing breast cancer. <BR>
Cancer	A term for diseases in which abnormal cells divide without control. Cancer cells can invade nearby tissue and can spread through the bloodstream and lymphatic system to other parts of the body.
Carcinogen (kar-SIN-o-jin)|carcinogen	A substance or agent that is known to cause cancer.
Carrier	An individual heterozygous for a single recessive gene.
Catheter (KATH-e-ter)|catheter	A thin plastic tube. When a catheter is place in a vein, it provides a pathway for drugs, nutrients, or blood products. Blood samples also can be removed through the catheter.
cDNA	Complementary DNA produced from a RNA template by the action of RNA-dependent DNA polymerase.
Cell	Small, watery, membrane-bound compartment filled with chemicals; the basic subunit of any living thing.
Centimorgan (cM)|centimorgan|cm	A unit of measure of recombination frequency. One centimorgan is equal to a 1% chance that a marker at one genetic locus will be separated from a marker at a second locus due to crossing over in a single generation. In human beings, 1 centimorgan is equivalent, on average, to 1 million base pairs.
Centromere	A specialized chromosome region to which spindle fibers attach during cell division.
CEPH	Centre d'Etude du Polymorphisme Humain
Chemical base	An essential building block. DNA contains four complementary bases: adenine, which pairs with thymine, and cytosine, which pairs with guanine. In RNA, thymine is replaced by uracil.
Chemotherapy (kee-mo-THER-a-pee)|chemotherapy	Treatment with anticancer drugs.
Chorionic villus sampling	An invasive prenatal diagnostic procedure involving removal of villi from the human chorion to obtain chromosomes and cell products for diagnosis of disorders in the human embryo.
Chromosome banding	A technique for staining chromosomes so that bands appear in a unique pattern particular to the chromosome.
Chromosomes	Structures found in the nucleus of a cell, which contain the genes. Chromosomes come in pairs, and a normal human cell contains 46 chromosomes, 22 pairs of autosomes and two sex chromosomes, x and y.
Clinical trials	Research studies that involve patients.
Clone	A group of identical genes, cells, or organisms derived from a single ancestor.
Cloned DNA	Any DNA fragment that passively replicates in the host organism after it has been joined to a cloning vector.
Cloning	The process of making genetically identical copies.
Codon	A sequence of three nucleotides in messenger mRNA that specifies an amino acid.
Colonoscopy	Examination of the colon through a flexible, lighted instrument called a colonoscope.
Colony-stimulating factors	Substances that stimulate the production of blood cells. Treatment with colony-stimulating factors (CSF) can help the blood- forming tissue recover from the effects of chemotherapy and radiation therapy. These include granulocyte colony-stimulating factors (G-CSF) and granulocyte-macrophage colony-stimulating factors (GM-CSF).
Consanguinity	Genetic relationship. Consanguineous individuals have at least one common ancestor in the preceding few generations.
Conservative change	An amino acid change that does not affect significantly the function of the protein.
Conserved sequence|evolutionarily-conserved	A base sequence in a DNA molecule (or an amino acid sequence in a protein) that has remained essentially unchanged throughout evolution.
Contiguous genes	Genes physically close on a chromosome that when acting together express certain traits.
CRADA	Cooperative Research and Development Agreement
CT or CAT scan|cat-scan|ct-scan	Detailed pictures of areas of the body created by a computer linked to an x-ray machine. Also called computed tomography scan or computed axial tomography scan.
Cytogenetics	The study of chromosomes.
Cytoplasm	The cellular substance outside the nucleus in which the cell's organelles are suspended.
Deletion	The loss of a segment of the genetic material from a chromosome.
Deletion mapping	The use of overlapping deletions to localize the position of an unknown gene on a chromosome or linkage map.
Diploid	A full set of genetic material, consisting of paired chromosomes one chromosome from each parental set. Most animal cells except the gametes have a diploid set of chromosomes. The diploid human genome has 46 chromosomes. Compare haploid.
DKFZ	German Cancer Research Center
DNA	The substance of heredity; a large molecule that carries the genetic information that cells need to replicate and to produce proteins. DNA is a double-stranded molecule held together by weak bonds between base pairs of nucleotides. The four nucleotides in DNA contain the bases: adenine (A), guanine (G), cytosine (C), and thymine (T). In nature, base pairs form only between A and T and between G and C; thus the base sequence of each single strand can be deduced from that of its partner.
DNA fingerprint technique	A method employed to determine differences in amino acid sequences between related proteins; relies upon the presence of a simple tandem-repetitive sequences that are scattered throughout the human genome.
DNA hybridization	A technique for selectively binding specific segments of single-stranded (ss) DNA or RNA by base pairing to complementary sequences on ssDNA molecules that are trapped on a nitrocellulose filter.
DNA probe	Any biochemical used to identify or isolate a gene, a gene product, or a protein.
DNA repair genes|proofreader-genes	Certain genes that are part of a DNA repair pathway; when altered, they permit mutations to pile up throughout the DNA.
DNA replication	The use of existing DNA as a template for the synthesis of new DNA strands. In humans and other eukaryotes, replication occurs in the cell nucleus.
DNA sequence	The relative order of base pairs, whether in a fragment of DNA, a gene, a chromosome, or an entire genome. See base sequence analysis.
DOE	Department of Energy
Domain	A discrete portion of a protein with its own function. The combination of domains in a single protein determines its overall function.
Dominant	Alleles that determine the phenotype displayed in a heterozygote with another (recessive) allele.
Double helix	The shape that two linear strands of DNA assume when bonded together.
E. coli	Common bacterium that has been studied intensively by geneticists because of its small genome size, normal lack of pathogenicity, and ease of growth in the laboratory.
Electrophoresis	A method of separating large molecules (such as DNA fragments or proteins) from a mixture of similar molecules. An electric current is passed through a medium containing the mixture, and each kind of molecule travels through the medium at a different rate, depending on its electrical charge and size. Separation is based on these differences. Agarose and acrylamide gels are the media commonly used for electrophoresis of proteins and nucleic acids.
ELSI	<U>E</U>thical, <U>l</U>egal and <U>s</U>ocial <U>i</U>mplications (of Human Genome Project).
Endonuclease	An enzyme that breaks the internal phosphodiester bonds in a DNA molecule.
Endoscopy (en-DOS-ko-pee)|endoscopy	A procedure in which the doctor looks inside the body through a lighted tube called an endoscope.
Enzyme	A protein that facilitates a specific chemical reaction.
ERDA	Energy Research and Development Administration
Erythrocytes	The hemoglobin-containing cell found in the blood of vertebrates, red blood cells.
Estrogen (ES-tro-jin)|estrogen	A female hormone.
Ethics	The study of fundamental principles that defines values and determines moral duties and obligation.
Euchromatin	The chromatin that shows the staining behavior characteristic of the majority of the chromosomal complement.
Eugenics	The improvement of humanity by altering its genetic composition by encouraging breeding of those presumed to have desirable genes.
Eukaryote	Cell or organism with membrane- bound, structurally discrete nucleus and other well- developed subcellular compartments. Eukaryotes include all organisms except viruses, bacteria, and blue- green algae. Compare prokaryote. See chromosomes.
Exogenous DNA	DNA originating outside an organism.
Exons	The protein- coding DNA sequences of a gene. Compare introns.
FCCSET	Federal Coordinating Council on Science, Engineering, and Technology
Fecal occult blood test (FEE-kul-o-KULT)|fecal-occult-blood-test	A test to check for hidden blood in stool. (Fecal refers to stool. Occult means hidden.)
FISH|florescent-in-situ-hybridization	a technique for uniquely identifying whole chromosomes or parts of chromosomes using florescent tagged DNA.
Flow cytometry	Analysis of biological material by detection of the light-absorbing or fluorescing properties of cells or subcellular fractions (i.e., chromosomes) passing in a narrow stream through a laser beam. An absorbance or fluorescence profile of the sample is produced.
Flow karyotyping	Use of flow cytometry to analyze and/or separate chromosomes on the basis of their DNA content.
Fragile sites	A non-staining gap of variable width that usually involves both chromatids and is always at exactly the same point on a specific chromosome derived from an individual or kindred.
Functional gene tests	Biochemical assays for a specific protein, indicating a specific gene is not merely present but active.
Gamete	Mature male or female reproductive cell (sperm or ovum) with a haploid set of chromosomes (23 for humans).
GDB	Genome Data Base
Gene	A unit of inheritance; a working subunit of DNA. Each of the body's 50,000 to 100,000 genes contains the code for a specific product, typically, a protein such as an enzyme.
Gene amplification	Any process by which specific DNA sequences are replicated disproportionately greater than their representation in the parent molecules; during development, some genes become amplified in specific tissues.
Gene deletion	The total loss or absence of a gene.
Gene expression|expressed-gene	The process by which a gene's coded information is translated into the structures present and operating in the cell (either proteins or RNAs).
Gene families	Groups of closely related genes that make similar products.
Gene mapping	Determining the relative positions of genes on a chromosome and the distance between them.
Gene markers	Landmarks for a target gene, either detectable traits that are inherited along with the gene, or distinctive segments of DNA.
Gene product	The biochemical material, either RNA or protein, resulting from expression of a gene. The amount of gene product is used to measure how active a gene is; abnormal amounts can be correlated with disease- causing alleles.
Gene testing	Examining a sample of blood or other body fluid or tissue for biochemical, chromosomal, or genetic markers that indicate the presence or absence of genetic disease.
Gene therapy	Treatment that alters genes (the basic units of heredity found in all cells in the body). In early studies of gene therapy for cancer, researchers are trying to improve the body's natural ability to fight the disease or to make the tumor more sensitive to other kinds of therapy.<BR><BR>Addition of a functional gene or group of genes to a cell by gene insertion to correct an hereditary disease.
Genetic code	The sequence of nucleotides, coded in triplets (codons) along the mRNA, that determines the sequence of amino acids in protein synthesis. The DNA sequence of a gene can be used to predict the mRNA sequence, and the genetic code can in turn be used to predict the amino acid sequence.
Genetic counseling	The educational process that helps individuals, couples, or families to understand genetic information and issues that may have an impact on them.
Genetic linkage map	A chromosome map showing the relative positions of the known genes on the chromosomes of a given species.
Genetic screening	Testing groups of individuals to identify defective genes capable of causing hereditary conditions.
Genetic variation	A phenotypic variance of a trait in a population attributed to genetic heterogeneity.
Genetics	The scientific study of heredity how particular qualities or traits are transmitted from parents to offspring.
Genome|genetic-material	All the genetic material in the chromosomes of a particular organism; its size is generally given as its total number of base pairs.
Genome maps	Charts that indicate the ordered arrangement of the genes or other DNA markers within the chromosomes.
Genome projects	Research and technology development efforts aimed at mapping and sequencing some or all of the genome of human beings and other organisms.
Genomic library|gene-library|overlapping-clones	A collection of clones made from a set of randomly generated overlapping DNA fragments representing the entire genome of an organism.
Genotype	Genetic constitution of an organism.
Germ cells	The reproductive cells of the body, either egg or sperm cells.
Haploid	A single set of chromosomes (half the full set of genetic material), present in the egg and sperm cells of animals and in the egg and pollen cells of plants. Human beings have 23 chromosomes in their reproductive cells. Compare diploid.
Hardy-Weinberg Law	The concept that both gene frequencies and genotype frequencies will remain constant from generation to generation in an infinitely large, interbreeding population in which mating is at random and there is no selection, migration or mutation.
HERAC	Health and Environmental Research Advisory Committee
Hereditary mutation|germline-mutation	A gene change in the body's reproductive cells (egg or sperm) that becomes incorporated in the DNA of every cell in the body; also called germline mutation.
Heterogeneity	The production of identical or similar phenotypes by different genetic mechanisms.
Heterozygosity	The presence of different alleles at one or more loci on homologous chromosomes.
Heterozygote	Having two alleles that are different for a given gene.
HGCC	Human Genome Coordinating Committee
HGMIS	Human Genome Management Information System (ORNL)
HGP	Human Genome Project.
HHMI	Howard Hughes Medical Institute.
Homeobox	A short stretch of nucleotides whose base sequence is virtually identical in all the genes that contain it. It has been found in many organisms from fruit flies to human beings. In the fruit fly, a homeobox appears to determine when particular groups of genes are expressed during development.
Homologies	Similarities in DNA or protein sequences between individuals of the same species or among different species.
Homologous chromosomes	A pair of chromosomes containing the same linear gene sequences, each derived from one parent.
Homozygote	Having identical alleles at one or more loci in homologous chromosome segments.
Hormone therapy	Treatment that prevents certain cancer cells from getting the hormones they need to grow.
Hormones	Chemicals produced by glands in the body. Hormones control the actions of certain cells or organs.
Housekeeping genes	Those genes expressed in all cells because they provide functions needed for sustenance of all cell types.
HUGO	Human Genome Organization. (international)
Human gene therapy	Insertion of normal DNA directly into cells to correct a genetic defect.
Human genome	The full collection of genes needed to produce a human being.
Human Genome Initiative	Collective name for several projects begun in 1986 to (1) create an ordered set of DNA segments from known chromosomal locations, (2) develop new computational methods for analyzing genetic map and DNA sequence data, and (3) develop new techniques and instruments for detecting and analyzing DNA. This DOE initiative is now known as the Human Genome Program. The national effort, led by DOE and NIH (now including the National Human Genome Research Institute), is known as the Human Genome Project.
Human Genome Project	An international research effort (led in the United States by the National Institutes of Health and the Department of Energy) aimed at identifying and ordering every base in the human genome.
Hybridization	The process of joining two complementary strands of DNA or one each of DNA and RNA to form a double- stranded molecule.
Imaging	Procedures that produce pictures of areas inside the body.
Immune system	The complex group of cells and organs that defends the body against infection and disease.
Impotence (IM-po-tens)|impotence	Inability to have an erection.
Imprinting	A biochemical phenomenon that determines, for certain genes, which one of the pair of alleles, the mother's or the father's, will be active in that individual.
In situ hybridization	Use of a DNA or RNA probe to detect the presence of the complementary DNA sequence in cloned bacterial or cultured eukaryotic cells.
In vitro	Outside a living organism.
Inborn errors of metabolism	Inherited diseases resulting from alterations in genes that code for enzymes.
Incomplete penetrance	The gene for a condition is present, but not obviously expressed in all individuals in a family with the gene.
Informatics	The study of the application of computer and statistical techniques to the management of information. In genome projects, informatics includes the development of methods to search databases quickly, to analyze DNA sequence information, and to predict protein sequence and structure from DNA sequence data.
Interferon (in-ter-FEER-on)|interferon	A type of biological response modifier (a substance that can improve the body's natural response to disease). It slows the rate of growth and division of cancer cells, causing them to become sluggish and die.
Interleukin-2 (in-ter-LOO-kin)|interleukin-2	A type of biological response modifier (a substance that can improve the body's natural response to disease). It stimulates the growth of certain disease-fighting blood cells in the immune system. Also called <I>IL-2</I>.
Interphase	The period in the cell cycle when DNA is replicated in the nucleus; followed by mitosis.
Introns	The DNA base sequences interrupting the protein- coding sequences of a gene; these sequences are transcribed into RNA but are cut out of the message before it is translated into protein. Compare exons.
Isochromosome	A metacentric chromosome produced during mitosis or meiosis when the centromere splits transversely instead of longitudinally; the arms of such chromosome are equal in length and genetically identical, however, the loci are positioned in reverse sequence in the two arms.
JHU	Johns Hopkins University
JITF	Joint Informatics Task Force
Karyotype	A set of photographed, banded chromosomes arranged in order from largest to smallest.
