##name	Terms and symbols used in pharmacology
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2000/11/21, 07:57
##author	Edward W. Pelikan, M.D.
##description	Glossary of terms and symbols used in pharmacology\nCopyright 1995 -98 by Trustees of Boston University. All rights reserved.
##browsingEnabled	
##bgl_creationTime	2000/11/09, 12:16
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
A	An amount of drug or chemical in units of mass such as milligrams. Special attributes of the amount are indicated by subscripts: A<sub>0</sub>, the amount of drug in the body at "zero-time;" A<sub>B</sub>, the amount of drug in the body; A<sub>U</sub>, the amount of drug recovered in the urine, etc. The amount of drug in the drug's volume of distribution is equal to the concentration of the drug times the volume: A = C · V<sub>d</sub>.
a:|a	The earlier segment of a biphasic plot of log C against <I>t</I> (following intravenous injection of a drug) represents the "distributive phase" of a drug's sojourn in the body. a is used as a subscript for pharmacokinetic parameters appropriate to the distributive phase, e.g., t<sub>1/2 a</sub>, V<sub>d a</sub>, etc.<BR><BR>Cf. <a href="bword://b">b</A>, <a href="bword://Compartment">Compartments</A>, <a href="bword://Volume of Distribution">Volume of Distribution</A>, <a href="bword://Half-Life">Half-Life</A>
Absorption Rate Constant|Absorption Rate	<a href="bword://ka">See ka</A>
Accumulation, Accumulation Ratio|Accumulation|Accumulation Ratio	<a href="bword://Css">See Css</A>
Accuracy	The use of the word "accurate" - free of error - in referring to a scientific observation or scientific method sometimes obscures the fact that even the best methods and observations are only relatively free from error. The use of the single word "accurate" also hides the fact that a number of separate elements contribute to over-all freedom from error. "Accurate" is frequently used to refer indiscriminately to the effect of any of these elements, or to the combined effects of all of them on the freedom from error of a system. Effective use of a method or observation requires that we know the ways and degrees to which the data are free of error, not that we know only that the data are "accurate" or "inaccurate". <BR><BR>The elements to be taken into account in a complete evaluation of a method or system can be derived from the properties of the quantitative relationship between the "input" and the "output" for the system. The input-output relationship, for all its generality, has specific application--and specific names--in different scientific fields and for different kinds of experimental or observational systems. In physics and engineering, the "stress-strain diagram" is a special<BR>representation of the input-output relationship; in pharmacology, the "dose-effect curve" is an example of the input-output relationship. In quantitative chemical analyses, the "calibration curve" is an example of the input-output relationship. Generally, "input" can be looked on as the measured value of an independent variable or "measurand"; "output" can be viewed as a measurement made under non-standard or test conditions. <BR><BR>"Accuracy", as formally defined, and the elements that contribute to it can be only briefly outlined here. <BR><BR><B>Accuracy</B> <BR>In engineering, "accuracy" is the ratio of the "error" of a system to the range of values for output that are possible, i.e., the ratio of error to so-called Full-Scale Output. Error is defined as the algebraic difference between an indicated output value and the true measure of the input or measurand. Error, as defined by the engineer, is most like "precision" as defined below. <BR><B>Validity </B><BR>The degree to which output reflects what it purports to reflect, i.e., input; the degree to which output is a function of known input and it alone. For example, does an essay examination validly measure a student's knowledge of material, or is it invalid, actually measuring his literary skill or the state of the grader's digestion? <BR><B>Reliability </B><BR>The degree to which the input-output relationship is reproducible if the relationship is studied repeatedly under comparable conditions. For example, if a student took the same examination twice, or in two forms, would he get the same grade both times? If the same work were reviewed by two graders, would they both assign the same mark? <BR><B>Sensitivity </B><BR>The lowest value of input that can be inferred with a given degree of<BR>validity and reliability from measurements of output. Analogous to the usage for the word "threshold" is the phrase "threshold dose". The engineer uses the word "threshold", however, to mean the smallest change in input that will result in change in output. <BR><B>Amplification </B><BR>The amount of change in measured output per unit change in input. The slope of the input-output, or dose-effect, curve. (Engineers sometimes refer to "amplification" as "sensitivity".) <BR><a href="bword://PHARMACOLOGY - Accuracy">More...</A>
Accuracy (More...)|PHARMACOLOGY - Accuracy	<B>Precision</B> <BR>The capacity of the system to discriminate between different values of input; the "fineness" with which different values for input can be inferred from measured values of output. The pooled deviation of observed from expected values of output, all divided by the amplification, yields the "index of precision". The square of the reciprocal of the index of precision is the measure of the amount of information that can be delivered by the system. <BR><BR>Specifically, precision is computed in several steps. First, the deviation of each observed value of output from the corresponding predicted value is squared; predicted values are determined from the curve relating input and output for all the data. The squared deviations are summed and divided by N-2, the number of "degrees of freedom"; the square root of the quotient is determined and is a number analogous to the standard deviation. This "root mean square deviation" is then divided by the slope of the input-output curve, i.e., the amplification, to yield the "index of precision"; it is assumed that the input-output relationship is linear. <BR><B>Comparability </B><BR>The ability of a system to deliver data that can be compared in standard units of measurement and by standard statistical techniques with the data delivered by other systems. While not a critical component of accuracy, comparability of data generated by a system is critical to evaluating its accuracy and usefulness. <BR><B>Economy </B><BR>The ability of a system to deliver data of high information content at a low overall cost per item of data; economy does not, of course, contribute to "accuracy" but is an important determinant of the practical usefulness of a system or method.
Activity, Intrinsic|Activity Intrinsic|Intrinsic activity	See <A HREF="bword://Intrinsic Activity">Intrinsic Activity.</A>
Addiction	Defined by the Drug Addiction Committee of the National Research Council as "A state of periodic or chronic intoxication, detrimental to the individual and to society, produced by the repeated administration of a drug: its characteristics are a compulsion to continue to take the drug and to increase the dose, with the development of psychic and sometimes physical dependence on the effects of the drug, so that the development of means to continue the administration of the drug becomes an important motive in the addict's existence." (See: Sever, M.D., <I>J.A.M.A.<U>,181</U></I> ,92, 1962.) Cf. Tolerance, Habituation, Dependence, Harrison Narcotic Act, Drug Dependence, Drug Abuse.
Affinity	The equilibrium constant of the reversible reaction of a drug with a receptor to form a drug-receptor complex; the reciprocal of the dissociation constant of a drug-receptor complex. Under the most general conditions, where there is a 1:1 binding interaction, at equilibrium the number of receptors engaged by a drug at a given drug concentration is directly proportional to their affinity for each other and inversely related to the tendency of the drug-receptor complex to dissociate. Obviously, affinity depends on the chemical natures of both the drug and the receptor. "Affinity" is not the same as "duration of action". (See: Ariens, E.D. <I>et al.</I>, <I>Pharmacol. Rev. 9:</I> 218, 1957).
