##name	The Harry Potter Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2001/07/04, 16:34
##author	Omer Kabir & Nadav Slotky
##email	zerk2000@hotmail.com
##description	A complete glossary for the Harry Potter series.
##bgl_creationTime	2000/09/13, 10:50
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
7th Floor|Gryffindor	Entrance to the Gryffindor common room.
Abbott, Hannah|Abbott|Hannah|Hannah Abbott|Hufflepuff	"Pink-faced girl with blonde pigtails", a Hufflepuff.
Abyssinian Shrivelfigs|Abyssinian|Shrivelfigs	Plants in the Herbology class.<BR>
Accidental Magic Reversal Squad|Accidental|Magic|Ministry of Magic|Reversal|Squad	A team of rescuers from the Ministry of Magic, also known as Obliviators [4].<BR>
Accio|Summoning	A summoning spell. It used used in this way: Accio + the name of the summoned item.<BR><U>Origin:</U><BR>Accipio - Latin for take, receive or accept
Acid Pops|Acid|pops	Candy bought at Honeydukes in Hogsmeade that burns holes in your tongue.<BR>
Ackerley, Stewart|Ackerley|Ravenclaw|Stewart|Stewart Ackerley	A Ravenclaw student [4].
Aconite|monkshood|plant|potion|wolfsbane	A plant used in potions which is also known as 'monkshood' or 'wolfsbane'.<BR>
Advanced Transfiguration|Transfiguration	A Transfiguration book for the 7th grade at Hogwarts [4].
Adventures of Martin Miggs, the Mad Muggle, The|Adventure|Adventures|Martin|Martin Miggs|Miggs|Muggle|The adventures of Martin Miggs	Comic books Ron owns.<BR>
Age Line|Age|Line	Magical line Dumbledore uses which prevents anyone under 17 from crossing [4].
Aging Potion|Aging|Potion	Potion taken to become older [4].
Agrippa	A wizard depicited on the Chocolate Frogs trading card series [1]; historically, a noted founder in the study of Alchemy.
Albania|Bertha|Bertha Jorkins|Jorkins|Lord|Lord Voldemort|Voldemort	The hiding place of Lord Voldemort; where Bertha Jorkins went on holiday.<BR>
Alchemy	A medieval science that is based on turning any metal into pure gold.
alohomora|spell	A spell to unlock a door.<BR>
Animagus [an-im-AJ-us]|Animagi|Animagus	A wizard who is able to transform into an animal form; (plural: Animagi)<BR><U>Origin:</U><BR>Animagus - "Soul of a wizard" in Latin (animus being soul, magus is wizard).
Anthology of 18th. Century Charms, An|18th. Century Charms|An Anthology of 18th. Century Charms|Anthology of|Anthology of 18th. Century Charms|Century Charms	Book in the Hogwarts library [4].
Aparecium|spell	A spell to make invisible ink appear.<BR>
Apparate|disappear|reapper	The magical ability to disappear and reapper at your destination.<BR>
Appraisal of Magical Education in Europe, An|An Appraisal of Magical Education in Europe|Appraisal of Magical Education in Europe|Education|Magical Education|Magical Education in Europe	Book Hermione read about Beauxbatons Academy of Magic [4].
Aragog|spider	A huge spider in the forbidden forest.
Archie	A very old wizard who tries to pass as a Muggle wearing a long flowery nightgown [4].
Arithmancy|divination|numerology	A class taken by Hermione, dealing with the study of numbers; an early form of numerology where divination is made through numbers (especially those numbers associated with the letters of a person's name).
Armadillo Bile|armadillo|bile	A potions ingredient [4].
Astronomy	A class at Hogwarts for the study of the galaxy, planets, stars, etc; Taught by Prof. Sinistra.
Aunt Marge|Aunt|Marge	Uncle Vernon's sister; she hates Harry and openly insults him.
Auror	A witch or wizard that tracks down Death Eaters and other bad/dark wizards and takes them to Azkaban.
Avada Kedavra|Avada|Kedavra|Unforgivable	Worst of the Unforgivable Curses, the killing curse. Flash of blinding green light and rushing sound. Kills without leaving a mark.<BR><U>Origin:</U><BR>Avada Kedavra - Aramaic for "let the thing be destroyed", it's said to be the original saying of Abra Kadabra.
Avery|Death Eater	A named Death Eater [4].
Avis	Spell which fires birds out of the wand.
Azkaban|prison	The wizard prison.
Baddock, Malcolm|Baddock|Malcolm|Malcolm Baddock|Slytherin	Slytherin student [4].
Badger|Hufflepuff	The mascot for Hufflepuff.
Bagman, Ludovic (Ludo)|Bagman|Bagman, Ludo|Bagman, Ludovic|Ludo|Ludo Bagman|Ludovic|Ludovic Bagman	Head of the Department of Magical Games and Sports [4].<BR><U>Origin:</U><BR>Bagman - Someone who collects money from illegal activities.<BR>Ludo - Latin for "to play".
Bagman, Otto|Bagman|Otto|Otto Bagman	Brother of Ludo Bagman.<BR><U>Origin:</U><BR>Bagman - Someone who collects money from illegal activities.
Bagshot, Bathilda|A History of Mag|Bagshot|Bathilda|Bathilda Bagshot|History of Magic	Wrote <I>A History of Magic</I> [1].
Balderdash|Gryffindor	Password to get into the Gryffindor Tower [4].
Ballycastle Bats|Ballycastle|Bat|Bats	Professional Quidditch team [4].
Banana Fritters|Banana|Fritters	A Gryffindor password [4].
Bandon Banshee|Bandon|Banshee|Lockhart	Banshee banished by a harelipped witch, for which Lockhart took credit.
Bane	A centaur in the Forbidden Frest; black haired and bodied.<BR><U>Origin:</U><BR>Bane - Poison, ruin or bad luck
Bashir, Ali|Ali|Ali Bashir|Bashir	A wizard who is angry about the embargo on flying carpets [4].
Basic Hexes for the Busy and Vexed|Basic Hexes	A book Harry looks through [4].
Basil	A wizard wearing a muggle &quotkilt" at the World Cup [4].
Basilisk|Serpent|snake	The king of serpents; anyone who is fixed with the beam of the giant snake's eyes dies instantly.<BR>Read about the real Basalisk at <A href='http://encarta.msn.com/index/conciseindex/30/030b6000.htm'>Microsoft Encarta</A>.<BR><U>Origin:</U><BR>Balisk - a mythical serpent with the head of a chicken, it can kill with one glance.<BR>
Beater|Quidditch|bludger	Position on Quidditch team; two beaters per team try to protect their teammates from bludgers. They try to redirect the balls toward their opponents.<BR>
Beauxbatons|france|school	A school of witchcraft and wizardry in France [4].<BR><U>Origin:</U><BR>Beauxbatons - French for "beautiful sticks", refering to wands.<BR>
Beauxbatons' carriage|Beauxbatons	Means by which Beauxbatons students arrive at Hogwarts; pulled by a dozen winged palaminos.
Beginner's Guide to Transfiguration|Guide to Transfiguration|Transfiguration	One of Ginny Weasley's books; Written by Emeric switch [2].
Bell, Katie|Bell|Gryffindor|Katie	Chaser on the Gryffindor Quidditch team.
Bertie Bott's Every Flavor Beans|Bertie|Bertie Bott's|Bott's|Every Flavor|Every Flavor Beans|Flavor Beans	Wizard candy coming in every flavor, such as chocolate, peppermint, spinach, liver, tripe and vomit!
Bezoar	A stone taken from the stomach of a goat which will save one from most poisons.
Billius (also Uncle Billius)|Billius|Uncle Billius	Ron's uncle who saw a grim and died 24 hours later.
Binky	Lavendar Brown's pet rabbit.
Binns, Prof.|Binns|History of Magic	A ghost who teaches History of Magic at Hogwarts.
Black Forest|Quirrell	Where Quirrell was rumored to have run into vampires and become &quotjumpy".
Black, Sirius|Black|Sirius|Sirius Black	Best friend of James Potter in their Hogwarts days, was in Azkaban on murder charges.<BR><U>Origin:</U><BR>Sirius - &quotDog" in Latin, also a star of the constellation Canis Major that is the brightest star in the sky (also called the &quotDog Star").
Blast Ended Skrewts|Skrewt|Skrewts	A magical creature which look like deformed, shell-less lobsters: horribly pale and slimy-looking, with legs sticking out in odd places and no visible heads. Smell of rotting fish, females have a sucker on their bellies, males have a stinger [4].
Blood-flavoured lollipops|blood flavoured	Treats for vampires.
Bloody Baron, The|Baron|Bloody|Bloody Baron|Peeves|Slytherin|the Bloody Baron	The ghost of the Slytherin Tower. Not much is known about him other than he is very wicked and scary looking; his eyes are blank, black sokets and his robes are covered in silver blood. He is the only "person" who can control Peeves the Poltergeist.
Bludger|Quidditch	A jet black Quidditch ball, slightly smaller than a soccer ball; 2 bludgers per game which fly around trying to knock players from their brooms. Can cause serious injury.
Boa Constictor|Boa|Constictor	Snake at the zoo Harry &quottalks" to [1].
Boarhound	The type of dog that Hagrid has (Fang).
Bode	A member of the Department of Mysteries.
Boggart	A shape shifiter which takes on the likeness of one's worst fear.
