##name	The Internet Dictionary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Bill Earles
##email	mrbill@oh-no.com
##description	Commonly used Internet terms and definitions
##browsingEnabled	
##bgl_creationTime	2000/08/01, 12:58
##bgl_middleUpdated	2000/08/02, 08:56
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
56K line	A data transmission line with the capacity to move information at 56,000bps. Compare <A href="bword://ISDN">ISDN</A> , <A href="bword://T-1, T-3 line">T-1, T-3 lines</A> .
586	The unofficial name given to the Pentium processor. Intel calls its new processor the Pentium because it was a marketable name and easily protected by copyright laws. Many people in the computer industry, however, referred to the Pentium processor as the 586 in reference to its predecessors, which were called the 286, 386, and 486. Also, the name given to Pentium-class processors produced by Intel Corporation competitors.
686	The name given to Pentium Pro-class processors produced by Intel Corporation competitors.
account	An area partitioned for a user of a particular host computer. To assure validity, account holders cannot gain access without using assigned login and password information.
address	An individualized name (or number) identifying a computer user or computer. Used in network communications for the transmission of messages for a particular person or machine.
ADO	(<I>ActiveX Data Objects</I>).
anonymous FTP	Internet <I>File Transfer Protocol</I> tool allowing you to connect to a site, search through available files, and download any file, document, or program without having to establish a user-id and password on the system where the material resides. By using the special user-id &quotanonymous", the network user will circumvent local security checks and have access to publicly accessible files on the remote system. Most systems that permit anonymous login require the user's <A href="bword://electronic mail">e-mail</A> address as the password.
API|Application Programming Interface	(<I>Application Programming Interface</I>) Interfaces that extend the capabilities of <A href="bword://Web server">Web servers</A> ; used by programmers to write applications that can interact with other applications. A server API is a published interface that lets software developers write programs that become part of the Web server itself. Usually these are DLLs (Windows dynamic load libraries) that are loaded into memory and stay resident at all times. Some common server APIs and the servers they support:<BR><BR><B>ISAPI</B> - Microsoft Internet Information Server<B>NSAPI</B> - Netscape Commerce and Enterprise Server<B>WSAPI </B>- O'Reilly Web Site and Web Site Pro<BR>
application	Software that executes a particular task, such as word processing or spreadsheet analysis.
Archie	A program used to search files at FTP sites; there are currently about 30 Archie servers in the world.
archive site	A mechanism that renders access to a collection of files across the Internet; also, a computer on which such a collection is stored.
ARPAnet|Advanced Research Projects Agency	(<I>Advanced Research Projects Agency</I>) The experimental network, established in the 1970s, where the theories and software on which the Internet is based were tested.
ASCII|American Standard Code for Information Exchange	(<I>American Standard Code for Information Exchange</I>) The standard method for encoding characters as 8-bit sequences of binary numbers, allowing a maximum of 256 characters. Text files are customarily called &quotASCII files".
ASP|Active Server Pages	(<I>Active Server Pages</I>) By Microsoft. An open, compile-free application environment in which you can combine HTML pages, scripts, and ActiveX server components to create powerful Web-based business solutions. (These pages use the extension .asp)
authentication	The process of identifying users before they are allowed access to computer systems or networks, typically by user-ids and passwords.
b2b|Business to Business	<I>(Business to Business)</I>.  Normally used to describe an <A href="bword://eBusiness">eBusiness</A> solution that caters to other businesses.
b2Commerce|Business to Commerce	(<I>Business to Commerce)</I>.  See <A href="bword://b2b">b2b</A> above.
backbone	A high-speed connection within a network that links shorter (usually slower) branch circuits. An example is the <A href="bword://NSFNet">NSFNet</A> , generally considered to be the backbone of the Internet in the United States.
bandwidth	Measure in kilobytes of the traffic transferred via one of the several Internet <A href="bword://protocol">protocols</A> .
baud rate	(Same as <I>bps</I>--Bits Per Second). A unit used to measure the number of data bits a modem can transfer in one second. One baud is how many signals a modem can handle in one second. Information is measured in bits, and bits come in the signal. Higher baud modems can send and receive more signals in a second, and the faster speeds also cram more bits into a signal.
BBS|Bulletin Board System	(<I>Bulletin Board System</I>) Computers access by remote users via modems for discussion, file downloads, and other BBS services. BBSs are typically stand-alone systems not on the Internet, though many have gateways.
