##name	The Knighthood, Chivalry & Tournaments Arms and Armour Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Brian R. Price
##copyright	<a href=http://www.chronique.com/Library/Glossaries/glossary-AA/armsindx.htm></a>
##email	editor@chronique.com
##description	This glossary contains technical terms for elements of European Arms and Armour from the 9th - 16th centuries as part of the Knighthood,Chivalry & Tournaments Resource Library medieval content.
##browsingEnabled	
##bgl_creationTime	2000/07/26, 13:38
##bgl_middleUpdated	2000/08/18, 11:06
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
F9248926.png	File: F9248926.png
"Barrel" helmet|Barrel|Barrel helmet	See <A href="bword://Heaulm">Heaulm</A> .
'Cry the Tournament'|Cry the Tournament	The '<A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_b.htm#bans">bans</A> ' crying for a <A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_t.htm#tournament">tournament</A> -the announcement sent with <A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_h.htm#heralds">heralds</A> to notify <A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_n.htm#nobility">nobles</A> that a tourney was to be held 'at a certain time and certain place-'tel temps, tel place...'). This is now called the '<A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_t.htm#tournament declaration">tournament declaration</A> ', a posting of the tournament or <A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_t.htm#tournaments, rules for">rules</A> of a <A href="http://www.chronique.com/Library/Glossaries/glossary-KCT/gloss_p.htm#pas d'armes">pas d'armes</A> , generally published in advance of the tourney.
'Faites vos devoirs!'|Faites vos devoirs	<A href="bword://Heraldry and Heralds">Herald’s</A> cry for combatants to prepare themselves, to hold themselves ready, uttered three times in a <A href="bword://Judicial Duel">judicial duel</A> .
Abbey	Society of monks or nuns governed by an abbot or for women, an abbess, and by extension the buildings themselves. Abbeys gathered unto themselves large tracts of land as wealthy men became monks, but the constant struggle between the secular authority and the church resulted in many confiscations.
Abbot	A "chief monk" in the head of a monastary or an abbey.
Accolade	Ceremony conferring the honor of <A href="bword://Knighthood">knighthood</A> . Generally the most important element of the accolade historically was the girding on of the <A href="bword://Sword">sword</A> , the giving of the <A href="bword://Military belt">military belt</A> that signified the &quotcoming of age" in a martial sense. See also <A href="http://www.chronique.com/Chronique/chrniq05.htm">Chronique: The Journal of Chivalry #5</A> for more knighting ceremonies.
Accoutrement	All the pieces of a knight’s office: his <A href="bword://Sword">sword</A> , symbolizing justice and mercy; his <A href="bword://Spurs">spurs</A> , <A href="bword://Chain (of fealty)">chain of fealty</A> , and <A href="bword://Military belt">military belt</A> .
Acre	A port city on the Bay of Haifa in the eastern Mediterranean, a critical city in the <A href="bword://Holy Lands">Holy Lands</A> , seized by Christian armies in 1104, but retaken by Saladin in 1187, recaptured by Richard I in 1191, finally falling to the <A href="bword://Saracen">Saracens</A> for the last time in 1291.
Admiral	Derived from an old <A href="bword://Saracen">Saracen</A> term ‘<A href="bword://Emir">emir</A> ,’ meaning prince. Sometime during the late 13th century it became used as naval term of rank as leader for a fleet of ships—possibly ‘prince of the sea.’
Adoubement	The girding of the <A href="bword://Military belt">military belt</A> , the most important element of a knighting ceremony. See also <A href="bword://Accolade">accolade</A> and <A href="http://www.chronique.com/Chronique/chrniq05.htm">Chronique: The Journal of Chivalry #5</A> .
Adventurous Shield	A <A href="bword://Shield (construction of)">shield</A> in the White Abbey, destined for Galahad, the perfect knight in Arthurian legend.
Agincourt, Battle of|Agincourt|Battle of Agincourt	25 October 1415. The monumental battle between Henry V and the French forces arrayed against him, slaying three French <A href="bword://Duke">dukes</A> , the <A href="bword://Constable">constable</A> of France, nine <A href="bword://Count">counts</A> , 90 lords and more than 5,000 <A href="bword://Knight">knights</A> . The battle crushed the French resistance to Henry’s renewed claim to the French throne, resulting in the Treaty of Troyes, 1420, in which Henry was betrothed to Catherine and thus their heir of France. It was this battle that Shakespeare immortalized in his &quotSaint Crispen’s Day" speech in <B><I>Henry V</B></I>.
Aiguilette	Literally "point of a shield," the small metal end that was capped onto a lacing point in order to keep it from fraying. Also called aglet, aiglet, anglet.
Ailettes, ailets|Ailettes|ailets	(Fr. &quotlittle wings") small square shields applied to the shoulders commonly worn during the 13th century. Commonly worn by crusaders. They were often painted with a heraldic device; the last reference I was able to locate was from 1313 when Piers Gaveston wore a pair covered in pearls. Not popular after the mid-14th century.
Aketon,acton,arming coat,auqueton,gambeson,hacketon,wambais,wambesium,wambesium,wambs|Aketon|acton|arming coat|auqueton|gambeson|hacketon|haqueton|wambais|wambesium|wambs	A kind of arming coat worn during the 13th - 15th century both as a complete armour unto itself and as padding for additional armour worn over the top. They were generally quilted, either sewn or stuffed with linen, tow or even grass. Most of the illustrations from the 14th century show many buttons or laces up the front, and there are a few examples that feature a high collar to assist in the <A href="bword://Neck, defense of">defense of the neck</A> . 14th century Aketons were generally cut wide around the arm holes in a manner that followed the line of the <A href="bword://breastplate">breastplate</A> or <A href="bword://cuirass">cuirass</A> . These extra-large arm-holes served to grant complete mobility for a full range of arm motion while providing a last-ditch defense of the area under the arm. I can find no evidence of Aketons ever being open under the arm, though this is a common SCA style. See also the <A href="bword://pourpoint">pourpoint</A> , a garment worn under the arming coat useful for attaching the laces for the attachment of a <A href="bword://leg harness">leg harness</A> . A workable pattern for a 14th century model can be found in <A href="http://www.chronique.com/Chronique/chrniq02.htm">Chronique: The Journal of Chivalry #2</A> . <BR>Major Developments during the 14th century<BR>- 1300-1350 Knights wore the haubergeon over their aketon<BR>- 1350-1400 Aketon shortened and begins to be worn under the <A href="http://www.chronique.com/Library/Glossaries/glossary-AA/arms_c.htm#jupon">jupon</A> , sometimes the only body defense. Strongly wasp-waisted form common to the period.<BR>- 1350-1400 Sleeves were sometimes &quotbanana sleeved" or ballooning out or were narrow so as to fit under the <A href="bword://arm harness">arm harness</A> . Both seem popular for the entire period.
Albion	Britain.
Albuquerque	Spanish <A href="bword://Castle">castle</A> built by Alfonso Sanches during the very early 14th century. It is situated on a commanding pinnacle of rock, overlooking rich countryside. It was beseiged many times during the conflict between Castile and Portugal.
Alexander	A late 14th century English prose work in which Alexander the Great encounters an Amazon queen, battles Darius and later marries his daughter Roxana, and accounts for his death by poison at age 33. Also an incomplete High German courtly epic by Rudolf von Ems, where he is depicted as the ideal medieval ruler—brave, just, and generous.
Alexandre,  Roman de|Roman de Alexandre	An Old French epic after which the unique 12 syllable verse form was named ‘alexandrine.’ The work went through many hands, evolving during two centuries.
Alexiad	The 12th century account of the Byzantine princess Anna Comnena, wherein the earliest reliable reference to tourney-like games is found. The following quotation is from a French Crusader heard at court to say: <BR><BR><I>&quotI am a pure Frank and of noble birth. One thing I know: at a crossroads in the country where I was born in an ancient shrine; to this anyone who wishes to engage in single combat goes, prepared to fight; there he prays to God for help and he stays awaiting the man who will dare to answer his challenge. At that crossroads have I often spent time, waiting and longing for the man who would fight, but there was never a one who dared."</I>
Alleron	The wing-tip of a hawk.
Allure	Walkway along the <A href="bword://Ramparts">ramparts</A> of a <A href="bword://Castle">castle</A> .
Almain	Germany
Almerie	A pantry or buttery.
Almoner	Member of the priest’s staff in <A href="bword://Court">court</A> or in a <A href="bword://Castle">castle</A> , responsible for offerings to the poor. The almoner gathered leftovers from the table, made gifts of cloth and tallow to the poor.
Alms	Monetary penance. Usually a priest hearing confession of a member of the nobility would assign a small value in alms to be paid to the poor.
Alms House	Originally an a house attached to an <A href="bword://Abbey">abbey</A> were <A href="bword://Alms">alms</A> and food were distributed, they eventually became hospitals.
Ambler	A saddle horse, distinct form a <A href="bword://Courser">courser</A> , <A href="bword://Destrier, Dextrarius">destrier</A> or warhorse.
Amorette	A love-knot interlaced like a rosette.
