##name	The 100% Simpsons Page
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##email	stuffthepigs@yahoo.com
##description	Glossary of terms and names of the famous  TV show.
##browsingEnabled	
##bgl_creationTime	2000/08/02, 06:25
##bgl_middleUpdated	2000/08/02, 06:37
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
"AY CARUMBA"|AY CARUMBA	Popular phrase of surprise used mainly by one BART SIMPSON, which was coincidentally his first word.
"D'OH"|D'OH	Popular phrase of stupidness used by HOMER SIMPSON during hard times.
"DON'T HAVE A COW|MAN"	Catchphrase used by BART SIMPSON, when trying to calm down someone he's annoyed - most of the time this is HOMER.
"EXCELLENT"|EXCELLENT	Catchphrase of loveless billionaire CHARLES MONTGOMERIE BURNS.
"I DIDN'T DO IT"|I DIDN'T DO IT	Catchphrase used by BART SIMPSON on the KRUSTY THE KLOWN show. This phrase made him famous to everyone in SPRINGFIELD, he was known as 'The I Didn't Do It Boy'.
"MMM..."|MMM	Phrase of temptation used by HOMER SIMPSON.
"OOOH..."|OOOH	Phrase used by HOMER SIMPSON to show when he's impressed by something or other.
"WOO HOO"|WOO HOO	Phrase of delight used by HOMER&nbspSIMPSON.
"YES I AM A VAMPIRE"|YES  I AM A VAMPIRE	A book written by CHARLES&nbspMONTGOMERIE&nbspBURNS, the foreword of the book is by Steve Allen.
AEROSMITH	Popular rock band who played at MOE'S TAVERN during the era of his money-spinning drink the FLAMING MOE. Top-class AEROSMITH songs include Pink and Don't Wanna Miss A Thing, as well as the classic Crazy.
ALIENS	Many of these have been spotted in various episodes, the most common appearers being KANG & KODOS. One ALIEN caused so much of a stir that X-FILES stars Mulder and Scully were called.
APU NAHASAPEEMAPETILON	The operator of the SPRINGFIELD branch of the KWIK-E-MART. He has been shot in repeated robbery's, nearly causing him to miss a day of work.
B-SHARPS	1980's group formed in SPRINGFIELD group formed in SPRINGFIELDconsisting of HOMER SIMPSON, APU NAHASAPEEMAPETILON, SEYMOUR SKINNER and BARNEY GUMBLE (who replaced POLICE CHIEF WIGGUM as he made the group look too much like the Village People). Hits included Baby On Board and their second album Bigger Than Jesus, the group also won a Grammy Award.
BARFLIES	Common name given to people who hang around MOE'S TAVERN.
BARNEY GUMBLE	Overweight, unemployed drunk who hangs around MOE'S TAVERN with HOMER SIMPSON and the other BARFLIES.
BART SIMPSON	10-year-old, devious, underachieving, school-hating boy. Has in the past discovered a comet that was on a crash-course with SPRINGFIELD, and BLINKY THE THREE-EYED FISH. Known for causing school riots and severing any links the States had with Australia. Once sold his soul for $5. First got drunk at the age of 10, causing beer to be banned in SPRINGFIELD. See also: EL BARTO, "AY CARUMBA", "DON'T HAVE A COW" and "I DIDN'T DO IT".
BLEEDING GUMS MURPHY	This late jazz star was the inspiration LISA SIMPSON needed to learn to play the saxophone all by herself.
BLINKY THE THREE-EYED FISH	Found in a SPRINGFIELD river by one BART SIMPSON. This fish is unique by the means that it has three eyes, possibly caused by swimming in water that was polluted by the NUCLEAR POWER PLANT.
CAPTAIN LANCE MURDOCK	Professional stuntman who inspired BART SIMPSON to become a junior daredevil.
CAPTAIN McCALLISTER	Sea Captain, who is - understandably - not very successful due to the fact that he has 2 glass eyes.
CARL	Works at the NUCLEAR POWER PLANT with friends HOMER SIMPSON and LENNY, enjoys a drink at MOES TAVERN.
CHARLES MONTGOMERY BURNS	Loveless billionaire and owner of the NUCLEAR POWER PLANT, was once shot-down by one MAGGIE SIMPSON. Recently found the Lock Ness Monster (aptly named Nessie) and gave him a job in his Casino.
CHESTER J LAMPWICK	The real founder of ITCHY & SCRATCHY and thus, the founder of cartoon violence.
CLETUS THE SLACK-JAWED YOKEL	Southerner with 26 kids, husband of Brandine.
COMIC BOOK GUY	The guy who owns the Comic Book Store, a very overweight individual.
DOLPH	One of 4 SPRINGFIELD ELEMENTARY SCHOOL bullies. Friend of JIMBO JONES, KEARNEY and NELSON MUNTZ.
DONUTS	Favourite snack of HOMER SIMPSON, he once had his head turned into a DONUT.
EDNA KRABAPPEL	School teacher at SPRINGFIELD ELEMENTARY SCHOOL, among others, she teaches BART SIMPSON, MILHOUSE, MARTIN and NELSON MUNTZ. Her taste in men is appalling and she can now be described as "desperate".
EL BARTO	Alias used by BART SIMPSON, graffiti of this figure pops up all over town.
FAIL	Most common grade given to BART SIMPSON.
FAT TONY	Head of the SPRINGFIELD mob, once tried to assassinate MAYOR QUIMBY.
FLAMING MOE	Popular alcoholic drink that was created by HOMER SIMPSON, see also: MOE'S TAVERN and AEROSMITH.
FLANDERS	Stupidly religious family who reside next door to the SIMPSONS, see also: NED FLANDERS.
FLYING HELLFISH	World War II infantry led by GRANDPA SIMPSON, also included were, CHARLES MONTGOMERIE BURNS, Iggy Wiggum and Sheldon Skinner.
FRANK GRIMES (R.I.P.)|FRANK GRIMES|R.I.P.	Biggest enemy of HOMER SIMPSON, resentful that HOMER got through life so easily, when it's been so difficult for him. Died after being electrocuted at the NUCLEAR POWER PLANT, was previously blown up in a silo explosion.
FREDDY QUIMBY	Nephew of MAYOR DIAMOND JOE QUIMBY, was found not guilty of of Grievous Bodily Harm after BART SIMPSON'S testimony.
GAY	See WAYLON SMITHERS
GERALD	The baby with one eyebrow, MAGGIE SIMPSON'S one true enemy.
GRANDPA SIMPSON	Father of HOMER SIMPSON, now resides at the SPRINGFIELD RETIREMENT CASTLE. Was once the leader of the FLYING HELLFISH and a member of the STONECUTTERS.
HANK SCORPIO	Supervillian and former employer of HOMER SIMPSONduring their short stay in Cypress Creek. His arch nemesis is JAMES BONT (film tie-in by any chance).
HANS MOLEM	Stumpy, shortsighted old man.
HERMAN	One-armed military antiques salesman. Once tried to increase his income by selling counterfeit jeans.
HOMER SIMPSON	A rather simple man it must be said. Currently works at the NUCLEAR POWER PLANT . Has before won a Grammy, been in space, been on tour with Cypress Hill and the Smashing Pumpkins. Member of Be-Sharps, charged with sexual harassment, fought world heavyweight boxing champion Dredrick Tatum, befriended Michael Jackson, supplied the voice of the Itchy & Scratchy character Poochie. Fave beverage: Duff. Fave food: Donuts. Weight: Around 239lbs.
HUGO SIMPSON	BART SIMPSON'S sinister half-brother who lives in the attic and survives on a bucket of fish heads once a week.
ITCHY & SCRATCHY	Popular cartoon show among the younger generation. The show consists of 2 characters, Itchy is a mouse who is always inventing new ways to try and kill Scratchy (the cat).
JAMES BONT	Arch nemesis of HANK SCORPIO. Unfortunately Mr BONT does not thwart SCORPIO'S PLANS.
JEBADIAH SPRINGFIELD	Founder of the town of SPRINGFIELD. Legend has it that he killed a bear with his bare hands. Although a hero among the townspeople, LISA SIMPSON has found out that JEBADIAH was a phony, he was actually a pirate named Hans Sprungfeld.
JIMBO JONES	One of the 4 school bullies. See also NELSON MUNTZ, KEARNEY and DOLPH.
JULIUS HIBBERT	Family doctor of the SIMPSON family. Delivered all 3 of MARGE'S children. Has also performed important surgery on HOMER and GRANDPA SIMPSON including a liver transplant.
KANG & KODOS	2 of the popular aliens to have appeared in SPRINGFIELD. Before they have: been on the Jerry Springer Show, ran for President, impregnated MARGE and kidnapped the SIMPSONS, they're not all bad though.
KBBL	Local radio station where BART won his elephant, STAMPY. To win their prises, you have to answer the phone with the phrase "KBBL is gonna give me somethin' stupid".
KENT BROCKMAN	Local TV anchorman who is married to Stephanie the weather girl. Among others, he presents Smartine, My Two Cents and Eye On SPRINGFIELD.
KERNEY	another bully at the school. See also, DOLPH, JIMBO JONES and NELSON MUNTZ.
KRUSTY THE KLOWN	Hero and idol of BART SIMPSON. Was once wrongly accused of robbing the KWIK-E-MART. His own moneymaking product are stung with many faults, the phone number for complains is: 1-800-DONT-SUE.
KWIK-E-MART	The SPRINGFIELD branch is run by APU NAHASAPEEMAPETILON. It is renowned for it's high prices and high crime rate.
KWYJIBO	Once used by BART in a game of Scrabble, this word would have got a minimum points score of 26 and a maximum of 86, according to BART, a KWYJIBO is a "fat, dumb, balding North American ape with no chin".
LADDIE	Dog bought by the SIMPSONS to replace SANTA'S LITTLE HELPER after he went mad. Was later given to a blind old man.
