##name	Odontonomy
##sourceLang	English
##targetLang	Turkish
##bgl_sourceCharset	cp1254
##bgl_targetCharset	cp1254
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1254
##bgl_targetEncoding	cp1254
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2001/03/17, 23:49
##author	Dt.TIPYARDIM B.
##email	dt_baris@yahoo.com
##description	Dental Terminology
##browsingEnabled	
##bgl_creationTime	2001/02/03, 23:33
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
abate	azaltmak, dindirmek (ağrı)<BR>
abatticulation|abatikülasyon	<B>1.</B> Eklem kayması<BR><B>2.</B> Çıkık<BR>
abdomen	Karın, batın.<BR>
abdominal	karına ait, batına ait.<BR>
abducent	uzaklaştırıcı, çekici, ayıran, açan.<BR>
abduct	Çekme, Uzaklaştırma, Ayırma.<BR>
abductor|abdüktör	Çekici, Uzaklaştırıcı kas<BR>
abiosis	Hayat yokluğu, noksanlığı.<BR>
abiotrophy|abiotrofi	Vücut hücrelerindeki hayatiyetin yokluğu veya tetrici olarak azalması.<BR>
ablactation|ablaktasyon	Çocuğu memeden kesme<BR>
ablate	Kesip atma, kesme.<BR>
ablepsia|ablepsi	körlük<BR>
abluent	Temizleyici.<BR>
abocclusion|aboklüzyon	alt ve üst çenenin birbirine temas edemediği durum<BR>
abrasion|abrazyon	Aşınma<BR>
abrasive|abraziv	Aşındırıcı.<BR>
absence	Yokluk, eksiklik, Baygınlık, Şuur kaybı<BR>
abstraction|abstraksiyon	Çenelerin anormal derecede birbirnden uzak olduğu bir tür maloklizyon.<BR>
acanthoameloblastoma|akantoameloblastom	sedefsi veya dikenli tip hücre içeren bir ameloblastoma<BR>
acanthoid|akantoid	dikensi, kılıçsı<BR>
acanthoma|akantoma	keratinize epitel içeren bir epidermoid tümör.<BR>
acellular|aselüler	hücresiz.<BR>
acidogenic|asidojen	asit yapan.<BR>
acquired pellicle|aedilgin pelikül	diş yüzeyinde veya çekim boşluğunu dolduran pıhtının üzerinde biriken aselüler organik madde tabakası; çekim boşluğu pıhtısının üzerindekine 'kahverengi pelikül' de denir.<BR>
acretion|akresyon	bir yüzeye yapışan yabancı madde birikimi.<BR>
acrocephaly|akrosefali	sivri ve yüksek kubbeli kafatası ile karakterize durum, oksisefali<BR>
acromegaly|akromegali	kemiklerin, baş ve ekstremitelerin büyümesi ile karakterize, hipofiz hipefonksiyonuna bağlı gigantizm<BR>
actinic carcinoma|aktinik karsinom	direkt güneş ışığına maruz kalma sonucu yüz ve öteki çıplak vücut yüzeylerini etkileyen ve çoğu kez bazal hücreli karsinom.<BR>
actinomyces|aktinomiçes	ağızda saprofit olarak bulunan, ancak bazen şiddetli yangılara sebep olan bir mantar.<BR>
actinomycosis|aktinomikoz	aktinomiçes bovis' in neden olduğu bir kronik enfeksiyon.<BR>
acute|akut	ani başlayan, kısıtlı süreli.<BR>
adamantine|adamantin	diş minesine ilişkin<BR>
adamantinocarcinoma|adamantinokarsinom	ameloblastomanın habis şekli<BR>
adamantinoma|adamantinom	Odontojen epitelyumdan kaynaklanan, ancak mine ve başka bir diş dokusu içermeyen lokal agresif çene tümörü<BR>
adamantoblastoma|adamantoblastom	adamantinom<BR>
addiction|adiksiyon	ilaca tutsaklık, bağımlılık.<BR>
adduction|addüksiyon	merkeze veya orta çizgiye doğru çekme<BR>
adenalgia|adenalji	bir salgı bezini etkileyen ağrı<BR>
adenectomy|adenektomi	bir bezin cerrahi olarak çıkarılması<BR>
adenitis|adenit	bir bezin iltihaplanması<BR>
adeno	salgı bezi anlamında önek<BR>
adenocarcinoma|adenokarsinom	salgıbezi dokusundan kaynaklanıp, bir dereceye kadar organın kendisini hatırlatan bir habis tümör<BR>
adenoid	<B>1.</B> Bez benzeri <BR><B>2. </B>Nazofarinksteki lenfoid doku.<BR>
