##name	Unified Dentistry Dictionary
##sourceLang	English
##targetLang	Arabic
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1256
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1256
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2004/10/23, 16:48
##author	k_hm@gawab.com
##email	k_hm@gawab.com
##description	All words are from Dentistry Dictionary of World Health Organization\n\nk_hm@gawab.com\nSyria, Latakia, 2004
##browsingEnabled	
##bgl_creationTime	2004/10/23, 16:36
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
AA|AAs	ana<BR>مختصر مِنْ كُلّ (أدوية)<BR><BR>ana<BR>مختصر مِنْ كُلّ
AAA|AAAs	amalgam<BR>مختصر مُلْغَم
ABG|ABGs	arterial blood gases<BR>مختصر غازاتُ الدَّمِ الشِّرْيانِيّ
ACTH|ACTHs	adrenocorticotropic hormone<BR>مختصر الهُرْمُونُ المُوَجِّهُ لقِشْرِ الكُظْر
ACTH-RF|ACTH-RFs	adrenocorticotropic hormone releasing factor<BR>مختصر العامِلُ المُطْلِقُ للهُرْمُونِ المُوَجِّهِ لقِشْرِ الكُظْر
ACh|AChs	acetylcholine<BR>مختصر أسيتيل كُولين
AChE|AChEs	acetylcholinesterase<BR>مختصر أسيتيل كولينستراز
AIDS|AIDSs	مختصر مُتَلازِمَةُ العَوَزِ المَناعِيِّ المُكْتَسَب
ANUG|ANUGs	acute necrotizing ulcerative gingivitis<BR>مختصر الْتِهابُ اللِّثَةِ المُنَخِّرُ التَّقَرُّحِيُّ الحادّ
AR|ARs	1. alarm reaction, 2. aortic regurgitation, 3. artificial respiration<BR>تَنَفُّسٌ اِصْطِنَاعِيٌّ , قَلَسُ الاَبْهَر<BR> , مختصر تَفَاعُلُ النَّذير<BR>
ASCII|ASCIIs	American Standard Code Information Interchange<BR>أَسْكِي , مختصر: الراموز الأمريكي القياسي لتبادل المعلومات
AV|AVs	مختصر شِرْيانِيٌّ وَرِيْدِيّ
Acc|Accs	accommodation<BR>مختصر تَكَيُّف
Actinobacillus|Actinobacilluses	المُشَعْشَعَة , جراثيم سلبية الغرام
Actinomyces|Actinomyceses	الشُّعِّيَّة , جِنْسٌ مِنَ الجَراثيم
Ad 2 vic|Ad 2 vics	ad duas vices<BR>مختصر جُرْعَتان لمَرَّتَين (أدوية)
Ad def. an.|Ad def. an.s	ad defectionem animi<BR>مختصر حَتَّى الإِغْماء
Ad deliq|Ad deliqs	ad deliquium<BR>مختصر حَتَّى الإِغْماء
Ad pond. om.|Ad pond. om.s	ad pondus omnium<BR>مختصر حَتَّى الوَزْنِ الكُلِّيّ (أدوية)
Adam crib|Adam cribs	مَهْدُ آدم
Adams clasp|Adams clasps	مِشْبَكَةُ آدامْس , في تقويم الأسنان
Adhib|Adhibs	adhibendus<BR>مختصر للتَّعاطِي (أدوية)
Adv.|Adv.s	adversum<BR>مختصر مُعاكِس
Aeby's muscle|Aeby's muscles	musculus depressor labii inferioris<BR>عَضَلَةُ إيبي , العَضَلَةُ الخافِضَةُ للشَّفَةِ السُّفْلَى
Aeg|Aegs	aeger<BR>مختصر المَريض
Aeromonas|Aeromonases	الغازِيَّة , جنس جراثيم من فصيلة الضمّيات
Ag|Ags	antigen<BR>رمز ف ; Ag , الفِضَّة , مختصر: المُسْتَضِدّ<BR>
Agit. vas.|Agit. vas.s	agitato vase<BR>مختصر تُرَجُّ الزُّجَاجَة (أدوية)
Al|Als	aluminium<BR>رمز الأَلَمِنْيُوم , Al; ألو<BR>ـال , لاحقة تَدُلُّ عَلَى وُجُودِ زُمْرَة ألْدَهِيدِيَّة
Alexander crown|Alexander crowns	تاجُ آلكسندر , تاج معدني لدعم جِسْرٍ سِنِّيّ
Alexander gold|Alexander golds	ذَهَبُ آلكسندر
Alt. dieb.|Alt. dieb.s	alternis diebus<BR>مختصر كُلُّ يَومَين (أدوية)
Amh|Amhs	ametropia mixed with hyperopia<BR>مختصر خَلَلُ الانْكِسارِ المَدِّي
An.|AN	رمز المَصْعَد (كَهْرَباء)
Andresen appliance|Andresen appliances	طَبيقَةُ أَنْدِرْسِن , لتنشيط الوظِيفَة
Angle's classification|Angle's classifications	تَصْنيفُ أَنْغِل , لسوء إطباق الأسنان
Angle's splint|Angle's splints	جَبيرَةُ أنجل , لكسور الفك السفلي
Aq. dest.|AQDEST	aqua destillata<BR>مختصر ماءٌ مُقَطَّر
Aq. pur.|AQPUR	aqua pura<BR>مختصر ماءٌ نَقِيّ
Aq. tep.|AQTEP	aqua tepida<BR>مختصر ماءٌ فاتِر
Arkansas stone|Arkansas stones	حَجَرُ أركانسو , لشحذ الأدوات السنية القاطعة
Arnold sterilizer|Arnold sterilizers	مُعَقِّمَةُ آرنولد
As|Ases	astigmatism<BR>مختصر اللابُؤْرِيَّة
As. H.|ASH	hypermetropic astigmatism<BR>مختصر لَابُؤْرِيَّةٌ مَدِّيَّةٌ
As. M.|ASM	myopic astigmatism<BR>مختصر لَابُؤْرِيَّةٌ حَسَرِيَّةٌ
Asco|Ascoes	سابقة بمعنى الزِّق
Ast.|Ast.s	astigmatism<BR>مختصر اللابُؤْرِيَّة
Asth.|Asth.s	asthenopia<BR>مختصر وَهَنُ البَصَر
At. wt.|ATWT	atomic weight<BR>مختصر الوَزْنُ الذَّرِّيّ
Au|Aus	رمز الذَّهَب
