##name	A Dictionary of Alternative-Medicine Methods
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2000/11/19, 14:46
##author	Jack Raso, M.S., R.D., Director of Publications, American Council on Science and Health
##copyright	<a href=http://www.canoe.ca/AltmedDictionary/home.html></a>
##email	raso@acsh.org
##description	The most comprehensive work on individual alt-med methods that has ever been available to the public. With an emphasis on theories, it succinctly describes well over 1,300 health-related methods - ranging alphabetically from abhyanga to Zulu Sangoma bones - that are medically non-mainstream in the Western Hemisphere.
##browsingEnabled	
##bgl_creationTime	2000/11/19, 10:19
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
"Acupuncture Osteopathy"|Acupuncture Osteopathy	A purported "meridian acupuncture" approach to releasing myofascial "body constitutions," advanced by author Mark D. Seem, Ph.D.
"Black Hah Feng Shui"|Black Hah Feng Shui	Form of feng shui according to whose theory the front door ("The mouth of Chi") determines "directions."
"creator force" geometric healing methods|creator force|creator force geometric healing methods	Apparently, a purported means of attuning the "heart chakra" to "'creator force' energy." Such attuning allegedly enhances all forms of energy healing (see "vibrational medicine").
"Healing the Heart" workshop|Healing the Heart workshop	Psychospiritual component of a "healing" program run by cardiologist Stephen Sinatra, M.D. In 1995 the program included meditation and a "visualization" involving patients' requesting guidance from believable "spiritual powers."
"See & Be" technique|See and Be technique	Form of direct image substitution that involves picturing one's bodily condition as perfectly healed, then mentally constructing a three-dimensional image of one's body or a part thereof, and last, superimposing the image on whatever needs healing.
"stick pad" technique|stick pad technique	Mode of radionic diagnosis that involves using a "radionic diagnostic instrument" with a rotatable magnet.
"The Flocco Method"|Flocco Method|The Flocco Method	Form of ear reflexology, Foot Reflexology, and hand reflexology taught by Bill Flocco.
"The Transition Method"|The Transition Method|Transition Method	Subject of an "incredible" correspondence course offered by The Transition Institute(R), in Conifer, Colorado. The institute's president, reputed former millionaire Bob Scheinfeld, assembled and christened the method, which purportedly spawns "daily miracles." One of its postulates is that a "vast communications network" interconnects all earthlings; supposedly, this (alleged) linkage exists in humans at the level of the unconscious.
18 Lohan Tiger/Dragon Qigong|18 Lohan Dragon Qigong|18 Lohan TigerQigong|eighteen Lohan TigerQigong	Group of Chinese "healing" exercises purportedly designed to develop "'hidden' internal powers." It supposedly pacifies the soul.
21 Day Rejuvenation Program|21 Day Rejuvenation|twenty one Day Rejuvenation	Regimen promoted by Joseph Kurian (see "Kalaripayat" and "marma science"). It involves using J. Kurian Skin Care creams, which purportedly unblock "subtle energy channels" under the skin, and teas. The program allegedly "unlocks" energy and "inner peace."
3-day energy fast|3 day energy fast|three day energy fast	Subject of The 3-Day Energy Fast: Cleanse Your Body, Clear Your Mind, and Claim Your Spirit (1997), by Pamela Serure. Purportedly, the 3-day energy fast is an "integrated body, mind and spirit" program to effect "life detox." It includes exercises that allegedly are "oriented" in part to "cleaning out" physical, emotional, and spiritual toxins and to balancing the body and spirit.
3-Dimensional chi analysis (Lane System analysis, 3-Dimensional analysis)|3 D chi analysis|3-Dimensional chi analysis	Component of the Lane System of 3-dimensional bioenergy analysis and nutritional healing. Its theory posits 100 "bioenergy layers" of the human body.
30-Day Body Purification Program|30 Day Body Purification|30 Day Body Purification Program|thirty Day Body Purification	Group of "purification techniques" whose postulate is that "cleansing" the body's internal ecosystem with herbs and "pure nutrients" is the key to "restoring" a healthy environment in and around the body. The program embraces: aromatherapy; food combining a la Natural Hygiene and macrobiotics; the Schuessler biochemic system of medicine (tissue salts therapy); and a "visualization technique" wherein one visualizes dust, toxins, and the color gray leaving one's body.
61-points relaxation exercise (61-points exercise, 61-points, shavayatra)|61 points|61 points relaxation exercise|shavayatra|sixty one points	Meditative mode of exercise whereby one purportedly travels mentally throughout one's body while one is supine and corpselike. "Shavayatra" means "traveling through the corpse." The 61 points are specific parts of the body. Supposedly, the exercise affects one's "pranic field" and eliminates muscular tension.
7 Keys Meditation Program|7 Keys Meditation|seven keys	System based on seven spiritual tools "revealed" to David Wheeler. The "Keys" purportedly can "unlock" one's potential for "transformation" and healing. During "Initiation," students receive them and allegedly access the "Universal Energy" or "Divine Energy" inside themselves. Supposedly, this "energy" is transmittable.
A Course in Miracles|Course in Miracles	Form of spiritual psychotherapy based on A Course in Miracles, whose three volumes--The Text, Workbook for Students, and Manual for Teachers--comprise well over a thousand pages. "The Course" originated in 1965, was completed in 1972, and was first published (as a photocopy of typescript) in 1975. It allegedly is the fruit of channeling from Jesus Christ to Helen Cohen Schucman (1909-1981), a research psychologist at Columbia University.
A.T.C.|ATC	Certified Athletic Trainer.
