##name	English to Hebrew Idioms & slang
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2004/01/11, 19:27
##author	Yael Sela-Shapiro
##description	This glossary compiles many English and American idioms and provides hebrew translation, both in high prose and slang.
##browsingEnabled	
##bgl_creationTime	2002/06/28, 10:56
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
absent mindedly|absent minded	בהיסח הדעת
according to Hoyle	לפי כל כללי המשחק
alarmus and excursion	תהפוכות, קלחת
albatross|millstone around the neck	כאבן ריחיים על הצוואר
all and sundry	הכל מכל כל
all his worldly goods|All her worldly goods|All his worldly goods|All one's worldly goods|All their worldly goods|worldly goods	כל רכושו עלי אדמות
all in the same boat|all in one boat	כולם באותה סירה<BR>
all in this together	(כולנו) באותה קלחת
all wool and a yard wide	שופרא דשופרא, משובח
ancestral acres	נחלת אבות / ארץ אבות<BR>
ants in one's pants	קוצים בתחת
apple of one's eye|Apple of her eye|Apple of his eye|Apple of my eye|Apple of our eye|Apple of their eye	בבת עינו
as good as dead	חשוב בכמת
as the crow line|as the crow flies	בקו ישיר, מעוף הציפור<BR>
ashamed|shame	בוש להודות
at breakneck speed|breakneck speed	במהירות מסחררת
at one's fingertips|At her fingertips|At his fingertips|At my fingertips|At one's fingertips|At our fingertips|At their fingertips|fingertips	על קצה / בקצה האצבעות
at the crack of dawn|crack of dawn	עם הנץ החמה / השכם בבוקר / עם הזריחה
at the earliest	לכל המוקדם
at the time	בשעתו
at the tip of one's tongue|at the tip of his tongue|at the tip of my tongue|at the tip of the tongue	על קצה הלשון<BR>
avoid like the plague|plague	לברוח כמו מאש / ממגפה
back and fill	להסס
back to square one|Back to the drawing table|back to the drawing board	חזרה לנקודת המוצא / להתחלה / להתחיל מאפס
bag of bone	גרוגרת ד'רבי צדוק, "שחיף" , רזה
bag of tricks	הפתעות מלוא הטנא
barkis is willin'	מוכן ומזומן; נכון לבצע<BR>
be all things to all men	להאיר / להסביר פנים<BR>
bear the brunt	לשאת בעול / בנטל<BR>
