##name	Bodybuilding Jargon
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Rossella Pruneti.
##description	The jargon bodybuilders use to describe their exercises, their equipments, their bodies and their feelings while working out and competing on the stages.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2000/09/30, 12:04
##bgl_middleUpdated	2000/11/04, 21:57
'oids|'roids|gear|juice|sauce|steroids	short for <a href="bword://steroids">steroids</A> .
'roids|'oids|gear|juice|sauce|steroids	short for <a href="bword://steroids">steroids</A> .
1/4 crunch	exercise for the <a href="bword://abs">abs</A>.<BR>Directions: Same as an ab <a href="bword://crunch">crunch </A> except that you raise your shoulder up, instead of pulling them toward your pelvis.
1RM|One Rep Max	<a href="bword://One Rep Max">One Rep Max</A>
6-pack abs|abs|pack of six|washboard	<a href="bword://ripped">ripped</A> and etched abs that you can see the separate muscle under the skin.
AS	short for anabolic<a href="bword:// steroids"> steroids</A>
BV|biological value	short for <a href="bword://biological value">biological value</A>.
Ez-curl bar|EZ-bar	a curved, <a href="bword://knurled">knurled</A> <a href="bword://bar">bar</A> used primarily for biceps and triceps work.<BR>
French press	exercise for the <a href="bword://triceps">triceps</A> .<BR>It can be performed either standing, seated, or lying down on a bench using a strainght <a href="bword://bar">bar</A> , curved bar, rope, <a href="bword://dumbbell">dumbbells</A> , or <a href="bword://weight machine">machine</A> .<HR>Directions: grasp a <a href="bword://bar">bar</A> with an <a href="bword://overhand grip">overhand grip</A> and your hands about shoulder-width apart. Lie down on the <a href="bword://weight bench">bench</A> . Straighten your arms up to raise the <a href="bword://bar">bar</A> directly over your shoulders. Keeping your upper arms still and your elbows in, bend your elbows and lower the <a href="bword://bar">bar</A> toward your forehead. Then strainghten your arms to raise the <a href="bword://bar">bar</A> back up overhead.
GVT|German volume training	short for <a href="bword://German volume training">German volume training</A>.
Gaspari bar	A short weight bar with rotating handles mounted in-line with the bar so that they are free to rotate. Generally used for bicep curls , the Gaspari bar allows the lifter's hands to rotate freely <BR>
German volume training|GVT	a training technique in which ten <a href="bword://set">sets</A> of ten <a href="bword://reps">reps</A> are performed for each exercise. The same weight is used for each set and <a href="bword://rest">rest</A> periods between sets are kept to a minimum. <BR>
HIT|High Intensity Training	short for <a href="bword://High Intensity Training">High Intensity Training</A>
High Intensity Training|HIT	a method that states it is not about doing 'more' or 'less' exercise but rather an appropriate amount on exercise to stimulate optimum muscle growth. <BR>
IFBB	the International Federation of Bodybuilders, the premier both professional and amateur bodybuilding organization founded by Ben and Joe Weider in 1946. <BR>Web site: <a href="http://www.ifbb.com">www.ifbb.com</A> <BR><img src="5FD1701A.jpg" align="center" width="80" height="52"><BR>
LBM	short for <a href="bword://lean body mass">lean body mass.</A>
MRP|meal replacement powder	short for <a href="bword://meal replacement powder">meal replacement powder</A>.<BR>
NPC	the Nationa Physique Committee, the American amateur bodybuilding organization which is affiliate of the <a href="bword://IFBB">IFBB</A>.
Olympic barbell	Olympic <a href="bword://bar">bar</A>:<BR><img src="256420B7.jpg" align="center" width="410" height="34">
Olympic plate	Olympic plates have 2" holes--actually 2-1/8" typically, to give them room to slip onto a 2" diameter <a href="bword://bar">bar</A>. There's some variation in size of the holes in the plates and in the diameter of the bar, depending on whether the manufacturer is thinking in ISO/standard units (2" diameter bar) or metric (5cm, a little smaller). <BR>
One Rep Max|1RM	Your absolute strength in a given movement. <BR>
PR	short for personal record.
Roman chair sit-up	exercise for the <a href="bword://abs">abs</A>.<HR>Directions: sit on a Roman chair. Take a <a href="bword://plate">plate</A> and hold it firmly against your chest. Lean back at a 30- to 45-degree angle, and then squeeze and contract your <a href="bword://abs">abs</A> by coming up until your upper torso is nearly vertical.
Scott bench	a piece of equipment used to perform the <a href="bword://Scott curls">Scott curls</A> . <BR><img src="3628E0E2.jpg" align="center" width="110" height="104">
Scott curls|preacher curls	exercise named after Larry Scott.<BR>See <a href="bword://preacher curls">preacher curls</A>.
Smith machine	a piece of bodybuilding equipment, named after Randy Smith, an influtential figure in fitness in 1970s. You use a regular free-weight <a href="bword://bar">bar</A> , but the <a href="bword://bar">bar</A> is trapped inside a track so that it must travel straight up and down.<BR><img src="EF159F87.jpg" align="center" width="113" height="150">
Smith machine squat	exercise for the <a href="bword://quads">quads</A> and <a href="bword://glutes">glutes</A>.<HR>Directions: same as squat, except you use a <a href="bword://Smith machine">Smith machine</A>.
SuperSlow	an exercise protocol whereby the weight is lifted in approximately 10 seconds and lowered in 5 seconds. <BR>
Weider Principle	set of coherent rules and principles for muscle growth and development which were named and categorized by Joe Weider.<BR><I>See also </I><a href="bword://IFBB">IFBB</A> <I>.</I>
abdominals|abs	the muscles that form the wall of the abdomen.<BR><img src="26536A7C.jpg" width="148" height="245">
abdominals and thighs	a compulsory pose.<HR>Directions: Standing face front to the judges, the competitor will place both arms behind the head and will place one leg forward. He will then contract the abdominal muscles by &quotcrunching" the trunk slightly forward. At the same time, he will contract the thigh muscles of the forward leg. <BR><BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .
abs|6-pack abs|pack of six	abbreviated jargon for <a href="bword://abdominals">abdominals</A> or rectus abdominis.
advanced bodybuilder	a bodybuilder who have trained longer than 12 months.<BR><BR><I>See also </I><a href="bword://beginner bodybuilder">beginner bodybuilder</A> <I>, and </I><a href="bword://intermediate bodybuilder">intermediate bodybuilder</A> <I>.</I>
aerobic	term which refers to low impact exercise for longer periods of time. <BR>
aerobic endurance	The ability to continue <a href="bword://aerobic">aerobic</A> activity over a period of time.<BR>
agonist	This is a muscle or a muscle group that is primarily responsible for a specific joint movement when contracting.<BR><BR><I>See also </I><a href="bword://antagonist">antagonist</A> .
anabolism	a highly metabolic condition in which new molecules are synthesized, known as muscle growth. <BR>See also <a href="bword://catabolism">catabolism.</A>
ankle collar	a <a href="bword://cable attachments">cable attachment</A> - a wide leather ankle bracelet - commonly used for leg exercises.<BR><img src="0F883E93.jpg" align="center" width="235" height="85">
antagonist	a muscle or a muscle group that counteracts the contraction of another muscle or muscle group.<I>See also </I><a href="bword://agonist">agonist</A><BR>
back delt fly	exercise for the posterior <a href="bword://delts">delts</A> .<BR><I>See </I><a href="bword://bent-over lateral raise">bent-over lateral raise</A><I>.</I>
back double biceps	a compulsory pose.<BR>Directions: Standing with his back to the judges, the competitor will bend the arms and wrists as in the Front Double Biceps pose, and will place one foot back, resting on the toes. He will then contract the arm muscles as well as the muscles of the shoulders, upper and lower back, thigh and calf muscles. <BR><BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .
