##name	health surveillance for women infants and children
##sourceLang	English
##targetLang	English
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Center for Disease Control and Prevention
##copyright	<a href='http://www.cdc.gov/nccdphp/drh/datoact/pdf/apdindx.pdf'>Center for Disease Control and Prevention</a>
##description	Glossary of terms related to health surveillance for women infants and children
##bgl_creationTime	2000/06/15, 15:20
##bgl_middleUpdated	2000/06/28, 13:27
082F1865.txt	File: 082F1865.txt
ACOG	American College of Obstetricians and Gynecologists.
AGI	Alan Guttmacher Institute.
AIDS	Acquired immunodeficiency syndrome.
antepartum fetal death	Fetal death occurring before the initiation of labor.<BR>
Audio-CASI	Audio computer-assisted self-interviewing.
birth cohort prevalence rate	In developmental disabilities surveillance, the prevalence of a specific disorder in a geographic area, among children of a specific age who were born in that geographic area, within a specified time interval.
birth defect	A structural abnormality present at birth.
birth weight-specific mortality	The number of infant deaths that occurred among live births in a specific birth weight category in a calendar year, divided by the total number of live births that occurred in that category in that year, multiplied by 1,000.
BMDP	Birth Defects Monitoring Program.
BMI	Body mass index, expressed as kilograms of body mass per height in meters squared (kg/m 2 ).
CAPI	Computer-assisted personal interviewing.
case ascertainment	Identification of cases of an exposure or health outcome in public health surveillance, usually according to a specific case definition.<BR>
CATI	Computer-assisted telephone interviewing.
cause-of-death	As defined by the World Health Organization, the underlying cause of death, indicated on the death certificate, and defined as a) the disease or injury which initiated the train of morbid events leading directly to death, or b) the circumstances of the accident or violence which produced the fatal injury.
CI|confidence-interval	Confidence interval; a range of values for a vari-able of interest, constructed so that this range has a specified probability of including the true value of the variable <a href="082F1865.txt">(1) </A>.
CNS	Central nervous system.
cohort infant mortality rate	The number of infant deaths that occurred among live births in a calendar year, divided by the total number of live births that year, multiplied by 1,000.
contraceptive failure rate	The average probability of having an unintended pregnancy in a year of using a specific contraceptive method.
coverage survey	In population vaccination assessment, a survey using population-based sampling techniques to identify vaccination coverage in a specific target population.
CSTE	Council of State and Territorial Epidemiologists.
current mortality sample	A 10% systematic sample of death certificates filed in state vital records offices and coded by the National Center for Health Statistics.<BR>
developmental disability	One of a group of heterogeneous conditions that 1) are attributable to mental and/or physical impairments, 2) are manifested before the person reaches 22 years of age, 3) are likely to continue indefinitely, 4) result in substantial functional limitations in three or more areas of self-care, and 5) reflect the need for specialized services.
DTP	Diphtheria-tetanus-pertussis vaccine.
E-codes	The current standard of coding external causes of injury for nonfatal cases, from the ICD-9-CM Supplemental Classification of External Causes of Injury and Poisoning.
EPSDT	Early and Periodic Screening, Diagnosis, and Treatment.
FAE	Fetal alcohol effects.
FAS	Fetal alcohol syndrome.
fetal death	As defined by the World Health Organization; “death prior to the complete expulsion or extraction from its mother of a product of conception, irrespective of the duration of pregnancy. The death is indicated by the fact that after such separation, the fetus does not breathe or show any other evidence of life such as beating of the heart, pulsation of the umbilical cord, or definite movement of voluntary muscles.” This definition includes stillbirths, spontaneous abortions, and miscarriages as fetal deaths.
fetal mortality rate	The number of fetal deaths divided by the sum of the number of live births plus the number of fetal deaths in a specified time period, multiplied by 1,000.
fetal mortality ratio	The ratio of the number of fetal deaths to live births in a specified period, multi-plied by 1,000.
final data	Complete data from vital records (such as birth and death certificates and fetal death reports) that have been reviewed by the National Cen-ter for Health Statistics for validity and consistency; available about 2 years after the close of a data year.
gestational weight gain	Maternal weight gain during pregnancy.<BR>
GISP	Gonococcal Isolate Surveillance Project.
